ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,"[39.5, 22.2]",,,,,,,,,,,,0.813411,,,,,,,,,,,,,,,c52a5023-7018-4aad-b3b5-8139590f3cd1,834,,"[34.9, 20.5]",3754220,18,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yohan Cabaye,3277.0,Right Defensive Midfield,51,Crystal Palace,31,"['77d27d76-64eb-411c-b2a6-b7feca674b20', '8311c090-32aa-40c3-a25e-7ab15aaaa7df']",55,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:18:55.738,Carry,
,,"[52.4, 72.4]",,,,,,,,,,,,2.216141,,,,,,,,,,,,,,,ab083b2a-7b03-49f0-ba07-39132ef110f8,842,,"[42.0, 57.4]",3754220,19,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Joel Ward,3443.0,Right Back,51,Crystal Palace,31,"['56edf931-a134-4974-a72b-ac5344149c64', 'b4b9dbdb-48c4-4eda-b6ec-f7163718ed3f']",1,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:19:01.765,Carry,
,,"[64.1, 15.6]",,,,,,,,,,,,1.074,,,,,,,,,,,,,,,ed27919e-946b-47a6-b884-103ba3329adf,847,,"[58.3, 12.3]",3754220,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Emre Can,3493.0,Left Center Midfield,52,Liverpool,24,"['1d166859-5604-4737-91d5-48c27448c1d6', '7a69ae20-4e12-48c2-8c00-7ca714684d29', 'cd2440f1-5a41-4b53-b70f-110f0bf430bb']",6,,,,,,,,,,,,,,,,,,Liverpool,24,00:19:06.161,Carry,True
,,"[91.4, 22.7]",,,,,,,,,,,,1.864292,,,,,,,,,,,,,,,89ad737f-5050-4c43-87bb-e00244f79ee4,852,,"[78.3, 23.7]",3754220,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Adam David Lallana,4090.0,Left Midfield,52,Liverpool,24,"['48bacde3-bb2a-4573-934b-e3be5f2ef8cb', '7cc5c448-be8a-4ca8-96f6-a56ce5087211', '8bb2eabf-1b0b-42ae-8ce0-bdfccd61c498', 'e683771d-9a03-4ae7-8ec5-f4ad51bedfff']",8,,,,,,,,,,,,,,,,,,Liverpool,24,00:19:08.839,Carry,True
,,"[22.9, 52.4]",,,,,,,,,,,,0.634898,,,,,,,,,,,,,,,9a4f8974-5aa3-436b-9661-c88588cd6ca0,857,,"[29.3, 53.7]",3754220,19,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Scott Dann,3407.0,Right Center Back,53,Crystal Palace,31,"['3b407fad-011d-4284-9793-66734c1bdd07', 'a1c4855b-bb5c-468c-9014-15797b04e061']",11,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:19:11.404,Carry,
,,"[8.8, 45.7]",,,,,,,,,,,,7.12,,,,,,,,,,,,,,,51d49db7-39f5-4532-98cf-fa26d0447fe0,860,,"[4.1, 42.0]",3754220,19,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alex McCarthy,3619.0,Goalkeeper,53,Crystal Palace,31,"['3ade5925-507a-49b7-ae1c-a5f7ce1bc992', '47f6314c-055b-4aef-aedd-e5a3852d39e1']",13,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:19:13.639,Carry,
,,"[55.1, 17.8]",,,,,,,,,,,,0.937007,,,,,,,,,,,,,,,36f227c6-d854-4248-b046-f9364640d166,867,,"[55.1, 17.2]",3754220,19,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pape N''Diaye Souaré,4884.0,Left Back,53,Crystal Palace,31,"['d57ef432-4b19-4cc9-b5a5-a651bbe5b407', 'e3afc183-a751-4360-84d3-ec1c5faf192c']",28,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:19:28.057,Carry,
,,"[53.5, 23.0]",,,,,,,,,,,,0.02501,,,,,,,,,,,,,,,836c7aca-d78c-4ecd-921b-d51cf891b16c,870,,"[53.5, 23.0]",3754220,19,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mile Jedinak,5489.0,Left Defensive Midfield,53,Crystal Palace,31,"['53997b9a-9d31-49a0-9e7d-ed32a8cfa753', 'a5348151-7daf-4351-9a9c-be485205157b']",29,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:19:29.848,Carry,
,,"[15.6, 44.2]",,,,,,,,,,,,15.891436,,,,,,,,,,,,,,,eb07e0eb-57cf-4250-b953-832d0db3aeb4,881,,"[5.2, 42.3]",3754220,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Simon Mignolet,3539.0,Goalkeeper,55,Liverpool,24,"['33b6b3d3-eb1d-407c-9b43-fd8ef8df043c', 'c9297f55-ad46-4649-a4e6-9a84cfa6f8a3']",4,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:04.057,Carry,
,,"[49.8, 9.6]",,,,,,,,,,,,2.096908,,,,,,,,,,,,,,,3a1d20f9-4f93-4efa-a1fc-ab684f9c62f7,889,,"[50.0, 10.4]",3754220,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Emre Can,3493.0,Left Center Midfield,56,Liverpool,24,"['03feb5d3-3555-4044-90cd-7d837a1711d7', '08123764-50b6-40c5-968a-3ffc29357a16', 'd4545b46-eb9d-47a3-9236-ad040b0a01c3']",40,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:40.764,Carry,True
,,"[20.8, 16.3]",,,,,,,,,,,,2.701649,,,,,,,,,,,,,,,88bb8a47-ad4e-4861-b3b3-868a6e7dfb32,893,,"[34.5, 13.3]",3754220,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mamadou Sakho,3483.0,Left Center Back,56,Liverpool,24,"['3d83943b-75c0-429f-b980-11e13eeb0e6b', '762bb568-a303-4669-86b0-219c85565bb5']",44,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:44.199,Carry,
,,"[29.3, 33.6]",,,,,,,,,,,,2.093409,,,,,,,,,,,,,,,5d81ec32-2aa6-4e71-b1a3-9c070c122213,896,,"[40.5, 21.0]",3754220,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Emre Can,3493.0,Left Center Midfield,56,Liverpool,24,"['14950ab0-b647-4aab-b8f5-e052b3508eb1', '50a658c0-10a4-4367-bf2e-29a45509fcdf']",47,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:47.955,Carry,
,,"[46.4, 73.5]",,,,,,,,,,,,1.514271,,,,,,,,,,,,,,,53ed6424-ed7e-49ea-b391-e23c95129c68,899,,"[47.2, 77.1]",3754220,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jon Flanagan,10007.0,Right Back,56,Liverpool,24,"['26d966a8-2701-4178-9aa8-3d005bf0b032', '3c0d67ab-67a1-4795-9cfb-2d544dae35e0']",52,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:52.180,Carry,
,,"[47.7, 62.0]",,,,,,,,,,,,0.098958,,,,,,,,,,,,,,,70cbc04e-0622-410a-bbce-b5c74dd36975,902,,"[47.7, 62.2]",3754220,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordan Brian Henderson,3532.0,Right Defensive Midfield,56,Liverpool,24,"['c345b9b9-94e2-41fa-b2e1-f32eb44dc9dd', 'c463535e-bf97-46b6-aedd-a163afe57980']",54,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:54.468,Carry,
,,"[35.5, 65.7]",,,,,,,,,,,,1.036559,,,,,,,,,,,,,,,5af62f31-5fb5-4440-a04f-afef2d8eecf6,905,,"[34.2, 65.9]",3754220,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Dejan Lovren,3471.0,Right Center Back,56,Liverpool,24,"['71a80d41-48bd-41f3-adbb-855a4d92967f', '80b972f9-3634-4020-8dfe-4ac7e82765e7']",55,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:55.805,Carry,
,,"[59.1, 56.4]",,,,,,,,,,,,0.478762,,,,,,,,,,,,,,,d7bd3dbb-ea39-4c2b-bb14-bc9054adea4e,909,,"[60.4, 56.6]",3754220,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,56,Liverpool,24,"['11e9a47c-7b68-4453-af0c-87a249d9db5b', '416ca829-1953-4068-ac7d-6edb7a01d45d', 'be2bc0f3-3b52-4649-bb41-884f28dfdc14']",57,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:57.811,Carry,True
