50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.402603,,,,,,,,,,,,,,671dc4fa-0ffd-4936-8ef3-f3798cc7f61d,20,,"[86.2, 71.1]",3754020,0,,,,,-2.1156602,,Right Foot,,"[84.2, 67.8]",,Ground Pass,,3.8587563,,Incomplete,,Jordan Brian Henderson,3532.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Right Wing,2,Liverpool,24,"['1b19b107-01ba-4e3a-a191-186fab0e9ff4', '48aa6bb6-cd01-43cf-8972-d0c457be82fc']",11,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:11.699,Pass,
,,,,,,,,,,,,,,,,1.317478,,,,,,,,,,,,,,c917e039-2a89-46de-ac48-23c85758b105,25,,"[107.3, 80.0]",3754020,0,,,,,-2.2577484,,,,"[100.0, 71.1]",,Low Pass,,11.510864,,,,Philippe Coutinho Correia,3501.0,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,3,Liverpool,24,['40b3154e-bdc8-4d3a-87fa-c22da8dc09e9'],24,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:24.191,Pass,
,,,,,,,,,,,,,,,,2.274508,,,,,,,,,,,,,,6dceb22d-5435-4c21-aca1-41c7ec7f0b28,30,,"[25.4, 18.1]",3754020,0,,,,,0.1919641,,Right Foot,,"[57.3, 24.3]",,Low Pass,,32.49692,,Incomplete,,,,,,,,Recovery,1,From Throw In,Eunan O''Kane,13248.0,Right Center Midfield,3,Liverpool,24,['bc71d69f-8368-4bea-abcb-d9722d39bc1d'],27,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:27.605,Pass,
,,,,,,,,,,,,,,,,2.096202,,,,,,,,,,,,,,bc71d69f-8368-4bea-abcb-d9722d39bc1d,31,,"[62.8, 55.8]",3754020,0,,,,,-1.5707964,,Right Foot,,"[62.8, 29.2]",,Ground Pass,,26.6,,,,Joe Gomez,3495.0,,,,,Recovery,1,From Throw In,Dejan Lovren,3471.0,Left Center Back,3,Liverpool,24,"['272955c5-2fc4-4932-b3d8-811a5e98061f', '6dceb22d-5435-4c21-aca1-41c7ec7f0b28']",29,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:29.879,Pass,
,,,,,,,,,,,,,,,,1.239999,,,,,,,,,,,,,,6b1a0914-e4a4-46ae-8e26-fa81ab4ca48c,34,,"[64.3, 22.7]",3754020,0,,,,,-1.0973451,,Right Foot,,"[74.7, 2.4]",,Ground Pass,,22.808989,,,,Jordon Ibe,3635.0,,,,,,1,From Throw In,Joe Gomez,3495.0,Left Back,3,Liverpool,24,['71cb731b-870b-4f0f-bce8-535028520eb2'],33,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:33.123,Pass,
,,,,,,,,,,,,,,,,2.502132,,,,,,,,,,,,,,78b3e87c-66f0-431a-af91-21695bae34a2,38,,"[69.5, 4.9]",3754020,0,,,,,2.0606523,,Right Foot,,"[42.2, 56.1]",,Low Pass,,58.02353,,,,Martin Škrtel,18872.0,,,True,,,1,From Throw In,Jordon Ibe,3635.0,Left Wing,3,Liverpool,24,"['61dad70c-9453-41bd-83e6-6348143ef516', '86f41be1-091b-4677-98b4-7c351ce23702']",36,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:36.272,Pass,True
,,,,,,,,,,,,,,,,1.503109,,,,,,,,,,,,,,f04889a1-9c53-47f5-ba01-149c5d13cac4,41,,"[50.9, 63.8]",3754020,0,,,,,0.9652517,,Left Foot,,"[58.1, 74.2]",,Ground Pass,,12.649111,,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,3,Liverpool,24,['303b2930-03c1-4575-8d9e-2b9ac3f00ed8'],41,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:41.563,Pass,
,,,,,,,,,,,,,,,,1.999999,,,,,,,,,,,,,,ca19ce5d-478e-4f57-8f4c-ad6bb0f76622,44,,"[58.1, 74.2]",3754020,0,,,,,-2.5304103,,Right Foot,,"[43.4, 63.9]",,Ground Pass,,17.949373,,,,Martin Škrtel,18872.0,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,3,Liverpool,24,['4a263555-e89b-48e9-98df-f6694cc430dc'],43,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:43.784,Pass,
,,,,,,,,,,,,,,,,1.001316,,,,,,,,,,,,,,d9a6edd3-4ff5-4b18-a066-b859ffaafd83,47,,"[43.4, 63.9]",3754020,0,,,,,-0.7974458,,Right Foot,,"[55.7, 51.3]",,Ground Pass,,17.608236,,,,Jordan Brian Henderson,3532.0,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,3,Liverpool,24,['d27969dc-6454-46f1-9623-97898c8b8b5e'],46,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:46.171,Pass,
,,,,,,,,,,,,,,,,1.543106,,,,,,,,,,,,,,4ad1f38d-e652-4cb0-ad9e-671b179105e8,49,,"[55.7, 51.3]",3754020,0,,,,,2.3923233,,Right Foot,,"[42.8, 63.3]",,Ground Pass,,17.618456,,,,Martin Škrtel,18872.0,,,,,,1,From Throw In,Jordan Brian Henderson,3532.0,Left Center Midfield,3,Liverpool,24,['364201e9-86a9-4979-a743-14697d3f4de6'],47,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:47.172,Pass,
