ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.084436,,,,,,,,,,,fc369650-86cf-4890-8562-e90cab37e176,20,,"[27.7, 57.0]",3753991,0,,,,,-1.0092607,,Right Foot,,,"[45.0, 29.5]",,High Pass,32.489075,,Incomplete,,Fernando Luiz Rosa,3054.0,,,,,,1,From Kick Off,Vincent Kompany,3101.0,Right Center Back,2,Manchester City,36,"['708afc1c-c684-41f4-8947-96ef0aef76e6', '7cebadb0-7916-4eb2-98e4-fde77e5b7a1f']",8,,,,,,,,,,,,,,,Manchester City,36,00:00:08.204,Pass,
,,,,,,,,,,,,,,3.571531,,,,,,,,,,,7cebadb0-7916-4eb2-98e4-fde77e5b7a1f,22,,"[75.1, 50.6]",3753991,0,,,,,0.570685,,Head,,,"[106.1, 70.5]",,High Pass,36.837616,,Incomplete,,Divock Okoth Origi,4747.0,,,,,Recovery,1,From Kick Off,James Philip Milner,3473.0,Right Midfield,2,Manchester City,36,"['89a7d00c-2a8b-4d78-8565-2e9afe755730', 'c7b5de2a-fe31-41dc-93b1-8791de6507d3', 'fc369650-86cf-4890-8562-e90cab37e176']",10,,,,,,,,,,,,,,,Liverpool,24,00:00:10.289,Pass,
,,,,,,,,,,,,,,2.003772,,,,,,,,,,,9dda3813-1905-4e3e-95de-830723628f1c,41,,"[109.1, 68.8]",3753991,0,,,,,2.918116,,Right Foot,,,"[95.9, 71.8]",,Ground Pass,13.536617,,Incomplete,,Jon Flanagan,10007.0,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Midfield,2,Manchester City,36,"['8240d799-2656-43f4-bedf-c455d8e4ed77', 'acb43aba-c202-404b-aaaf-4b16ff6d5dad', 'b29967ca-2acc-461f-bb93-e431081c411f']",21,,,,,,,,,,,,,,,Liverpool,24,00:00:21.486,Pass,True
,,,,,,,,,,,,,,0.896791,,,,,,,,,,,7a828617-8c26-440c-b328-47f3e2388d45,56,,"[101.9, 73.7]",3753991,1,,,,,-1.2540332,,Right Foot,True,,"[109.8, 49.6]",,High Pass,25.361782,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Jordan Brian Henderson,3532.0,Right Center Midfield,4,Liverpool,24,['66b499df-7bdb-4486-8232-4fafcb94fe75'],15,,,,,,,,,,,,,,,Liverpool,24,00:01:15.603,Pass,
,,,,,,,,,,,,,,1.710789,,,,,,,,,,,15790a83-4fae-4a73-9486-d200a9089ae9,61,,"[32.6, 33.5]",3753991,1,,,,,0.5191461,,Right Foot,,,"[48.0, 42.3]",,Ground Pass,17.736967,,Incomplete,,,,,,,,Recovery,1,From Free Kick,Fernando Francisco Reges,16003.0,Right Defensive Midfield,4,Liverpool,24,"['a60d14f0-48b7-4bcf-bf46-87a2d0805a6f', 'c59188fc-8f35-486c-8d98-a1a48a3ce243']",21,,,,,,,,,,,,,,,Manchester City,36,00:01:21.785,Pass,True
,,,,,,,,,,,,,,1.953357,,,,,,,,,,,a60d14f0-48b7-4bcf-bf46-87a2d0805a6f,62,,"[72.1, 37.8]",3753991,1,,,,,-2.2135088,,Right Foot,,,"[56.9, 17.5]",,Ground Pass,25.360008,,,,Nathaniel Edwin Clyne,4590.0,,,,,Recovery,1,From Free Kick,Dejan Lovren,3471.0,Left Center Back,4,Liverpool,24,"['15790a83-4fae-4a73-9486-d200a9089ae9', '7804f153-266c-4d04-b4ae-f2827bc120f6']",23,,,,,,,,,,,,,,,Liverpool,24,00:01:23.495,Pass,
,,,,,,,,,,,,,,2.54355,,,,,,,,,,,462286bc-9131-4b0c-9089-c4cf6e9b5afb,64,,"[56.9, 17.5]",3753991,1,,,,,-0.2167021,,Right Foot,,,"[94.6, 9.2]",,High Pass,38.602848,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,1,From Free Kick,Nathaniel Edwin Clyne,4590.0,Left Back,4,Liverpool,24,['6aa35c2d-3f34-4861-8e23-924d9556cacb'],25,,,,,,,,,,,,,,,Liverpool,24,00:01:25.449,Pass,
,,,,,,,,,,,,,,0.847827,,,,,,,,,,,50dc33fa-7d99-42a9-bba6-27ff34d51268,68,,"[94.2, 10.0]",3753991,1,,,,,1.6520982,,Right Foot,,,"[93.1, 23.5]",,Ground Pass,13.544741,,,,Emre Can,3493.0,,,,,,1,From Free Kick,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,4,Liverpool,24,"['156ebe92-2d91-4231-b52f-80e982ae1ef4', '376e40e0-b02c-418c-be5e-ac70ce38ada6']",30,,,,,,,,,,,,,,,Liverpool,24,00:01:30.507,Pass,True
,,,,,,,,,,,,,,0.636798,,,,,,,,,,,5afcb859-3e32-4c1a-a939-24911ac42c73,73,,"[102.1, 13.0]",3753991,1,,,,,1.4812163,,Right Foot,,,"[103.6, 29.7]",,Low Pass,16.76723,,Incomplete,,James Philip Milner,3473.0,,,,,Recovery,1,From Free Kick,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,4,Liverpool,24,"['04644ccd-3866-4133-a840-09795b7224e6', 'ed68e4e4-f023-4e8a-aaed-915521514f08']",34,,,,,,,,,,,,,,,Liverpool,24,00:01:34.060,Pass,
,,,,,,,,,,,,,,1.277805,,,,,,,,,,,d7bf678e-372f-4cdf-8151-7bc2e2db2fa9,76,,"[21.7, 55.8]",3753991,1,,,,True,0.38181186,,,,,"[34.9, 61.1]",,High Pass,14.224275,,Incomplete,,Jesús Navas González,6821.0,,,,,Recovery,1,From Free Kick,Fernando Luiz Rosa,3054.0,Left Defensive Midfield,4,Liverpool,24,"['674763b7-4bbd-48c5-ad09-0834bfbd02e0', '744ad520-e535-4f3e-9798-b58f7ef9ef06', '9a00bac0-66d0-4138-a3df-d6e4d26ff1a0']",36,,,,,,,,,,,,,,,Manchester City,36,00:01:36.675,Pass,True
