50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,3.426323,,,,,,,,,,,,,6759eda2-b841-4252-91f1-d53f0b3b9d9f,3673,,"[9.0, 44.5]",3754345,93,,,,,-0.55146325,,Right Foot,,,"[67.2, 8.7]",High Pass,,68.3292,,,Marouane Fellaini-Bakkioui,3296.0,,,,,,Free Kick,2,From Free Kick,David de Gea Quintana,3333.0,Goalkeeper,190,Manchester United,39,['046ceb76-8d1c-4052-8060-3fa11208b716'],17,,,,,,,,,,,,,,,,,Manchester United,39,00:48:17.164,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,446869c2-7644-4100-b479-8d35c03079f9,6,,"[60.6, 40.4]",3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,2,Liverpool,24,['29d12e39-f07e-4ce5-9a0f-f53eea2c997a'],0,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.917,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,1d3381bd-f5f3-4356-b49f-50242a5c0d04,8,,"[34.3, 32.7]",3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,['d4c19a0c-430c-4275-93a8-8ec0c33581a9'],2,,,,,,,,,,,,,,,,,Liverpool,24,00:00:02.907,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,426290a6-2fd2-46fa-a689-5c0a604c65ca,11,,"[6.0, 42.5]",3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Simon Mignolet,3539.0,Goalkeeper,2,Liverpool,24,['a431c178-cde0-4360-aaa0-f504a6060c69'],6,,,,,,,,,,,,,,,,,Liverpool,24,00:00:06.291,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,e9ae5be4-da63-4e4a-89e3-16c13ba02683,14,,"[90.3, 71.6]",3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Wing,2,Liverpool,24,['90dc3395-c848-4956-a9e3-bcf14b67bfe0'],17,,,,,,,,,,,,,,,,,Liverpool,24,00:00:17.995,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,3c421a72-bbf4-4780-a046-be193b2f1ac6,16,,"[101.3, 66.9]",3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,2,Liverpool,24,['6c5af1b2-27e9-475e-96d4-b68bd83fe496'],19,,,,,,,,,,,,,,,,,Liverpool,24,00:00:19.419,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,63831bd1-9983-48bf-ad93-8ac872980408,28,,"[8.2, 13.8]",3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Daley Blind,3311.0,Left Center Back,3,Manchester United,39,['5e835ff3-4fec-4ef1-8b9b-226e712e9cba'],47,,,,,,,,,,,,,,,,,Manchester United,39,00:00:47.148,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,8483d585-7a0d-423c-ac5e-7f55f097d543,32,,"[36.6, 38.5]",3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Morgan Schneiderlin,3600.0,Right Defensive Midfield,3,Manchester United,39,"['0613d0b7-5885-4b79-acf1-0a4d3a22baae', '83b80ae9-1f61-430b-9fb7-55f087a73af3']",57,,,,,,,,,,,,,,,,,Manchester United,39,00:00:57.849,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,d651171d-8b9d-4829-8d09-fa4b3cd9234d,35,,"[33.6, 17.4]",3754345,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Daley Blind,3311.0,Left Center Back,3,Manchester United,39,['0dc0de60-26b8-4038-9848-9fdb16767eb1'],59,,,,,,,,,,,,,,,,,Manchester United,39,00:00:59.336,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,a7faf7b5-f332-46b6-8d7c-2e1c23e16a9b,38,,"[4.3, 41.3]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,David de Gea Quintana,3333.0,Goalkeeper,3,Manchester United,39,['ed8adce5-d866-4f3b-bca0-92387b319619'],3,,,,,,,,,,,,,,,,,Manchester United,39,00:01:03.359,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,97ab3128-5cc1-48e8-86f5-e234cd5f596b,41,,"[69.2, 14.8]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Marouane Fellaini-Bakkioui,3296.0,Left Defensive Midfield,3,Manchester United,39,['fc50b5f4-c53e-40c5-b267-8d4aeb77f930'],9,,,,,,,,,,,,,,,,,Manchester United,39,00:01:09.176,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,a0f9dfcc-4e04-42a0-843f-ad47b076519b,44,,"[55.3, 62.0]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Emre Can,3493.0,Left Center Midfield,3,Manchester United,39,['f8f9f924-7cdf-4640-a95f-17cb5a40f492'],11,,,,,,,,,,,,,,,,,Liverpool,24,00:01:11.615,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,c1169987-51b9-476e-81c4-596c3c01e6c0,49,,"[58.0, 47.2]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adam David Lallana,4090.0,Left Wing,4,Liverpool,24,['9cd05dfd-a3fc-48b3-abd2-bd05da62312f'],15,,,,,,,,,,,,,,,,,Liverpool,24,00:01:15.193,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,2fb37011-6986-4227-becb-bc931300e2eb,51,,"[62.2, 60.9]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Wing,4,Liverpool,24,['7d8697f3-ed8b-48b9-92a6-5149dbbf239b'],15,,,,,,,,,,,,,,,,,Liverpool,24,00:01:15.226,Ball Receipt*,
