50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20317d60-04a0-4855-ba44-8a8758d177df,28,,"[67.7, 73.0]",3754216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Oluwaseyi Babajide Ojo,13200.0,Right Midfield,3,AFC Bournemouth,28,['1afaaa94-455f-4891-bb55-1a78f28be0fc'],14,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:14.701,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a45ae31-1b10-4138-96f4-a873cf61b7de,111,,"[113.3, 41.3]",3754216,1,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniel Andre Sturridge,3529.0,Center Forward,5,Liverpool,24,,51,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:51.991,Ball Recovery,
,,True,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9701261f-f492-49d1-8104-511ca4acfb39,224,,"[84.3, 4.7]",3754216,4,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordon Ibe,3635.0,Left Midfield,18,AFC Bournemouth,28,,26,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:04:26.217,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,38c860bf-879f-4017-9048-efbe18ecf58c,228,,"[35.1, 67.3]",3754216,4,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Simon Francis,3608.0,Right Back,18,AFC Bournemouth,28,"['7ee9ef19-ad6c-4b09-aa17-55505daaf4b3', 'a167bea8-a558-42cd-8609-7d8204ee121f']",28,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:04:28.419,Ball Recovery,True
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a3131e31-3d8a-4a04-88fc-393c9a721f74,312,,"[44.6, 75.4]",3754216,6,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matt Ritchie,3049.0,Right Midfield,23,AFC Bournemouth,28,,33,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:33.510,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3d31a93f-13c3-4a4a-931c-bf9bef46e8d8,327,,"[57.6, 7.1]",3754216,6,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordon Ibe,3635.0,Left Midfield,24,Liverpool,24,,42,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:42.239,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ecc954d2-088b-4c39-b294-d84ddb914bc1,337,,"[87.2, 32.5]",3754216,6,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,24,Liverpool,24,['dc5dd40b-9853-4351-ae61-239baae5376f'],58,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:58.802,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,86b07979-880b-4e2d-bc64-d6a23902e9fd,392,,"[28.9, 58.5]",3754216,7,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Simon Francis,3608.0,Right Back,28,AFC Bournemouth,28,['56b6a9e3-2cb9-4463-b443-3579fd8cc8d1'],58,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:07:58.056,Ball Recovery,True
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ae5c7967-da0c-4bb5-92ac-a07be88f514b,417,,"[32.5, 26.6]",3754216,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Steve Cook,3341.0,Left Center Back,29,Liverpool,24,['57c7c642-cb40-4bc1-aa61-efd76c25e54b'],49,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:49.948,Ball Recovery,
,,True,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aa0a3c29-6be1-4c4e-9dfd-273b3d363f6f,493,,"[17.5, 40.9]",3754216,10,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Connor Steven Randall,22058.0,Right Back,33,AFC Bournemouth,28,,16,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:10:16.638,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,12306c20-da50-46f3-9f3a-1335dc227c0f,494,,"[99.6, 38.8]",3754216,10,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Junior Stanislas,3463.0,Left Center Midfield,33,AFC Bournemouth,28,,17,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:10:17.612,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b01ab4c2-712a-45a6-8ed5-7986eee0b094,639,,"[66.9, 17.7]",3754216,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Junior Stanislas,3463.0,Left Center Midfield,43,Liverpool,24,,36,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:13:36.555,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e4715a5a-417f-4e99-b07a-f25be97b872b,716,,"[6.4, 28.4]",3754216,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Danny Ward,9914.0,Goalkeeper,51,Liverpool,24,['773a9e9b-1c5e-4d44-88b1-74d134977bec'],37,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:15:37.782,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,32b0e034-d123-4685-b621-98e20876052a,794,,"[57.0, 29.8]",3754216,16,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Joe Allen,10931.0,Left Center Midfield,55,Liverpool,24,,51,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:16:51.429,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,819b3ec2-c2bc-44b3-9244-683fad602fbd,814,,"[5.8, 29.4]",3754216,17,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Artur Boruc,20074.0,Goalkeeper,56,AFC Bournemouth,28,['d05dbb80-8984-4535-8aa6-7518295e8e0c'],6,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:17:06.496,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd612040-e5ea-4865-b33a-89aac856ece1,823,,"[16.5, 20.0]",3754216,17,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordon Ibe,3635.0,Left Midfield,57,Liverpool,24,,30,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:17:30.019,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,27fa2861-a924-45d7-bf8b-5a68daa01a63,912,,"[83.1, 11.4]",3754216,20,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,63,Liverpool,24,,32,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:32.599,Ball Recovery,
