50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.528171,,,,,,,,,,,,,40082620-739b-410f-b6fa-67709639e40c,17,,"[99.2, 0.1]",3754275,0,,,,1.1798054,,,,,,"[110.0, 26.3]",,High Pass,,28.338667,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Christian Fuchs,3812.0,Left Back,3,Leicester City,22,['9d1be4f1-5f14-44d6-88bf-a1359e57a242'],24,,,,,,,,,,,,,,,,,Leicester City,22,00:00:24.739,Pass,
,,,,,,,,,,,,,,,,2.028926,,,,,,,,,,,,,a960a20f-cd0c-4cc4-beb5-903d0a3e3eab,20,,"[72.5, 33.8]",3754275,0,,,,-2.7071338,,Left Foot,,,,"[44.7, 20.9]",,Ground Pass,,30.647186,,,,Wes Morgan,3813.0,,,,,Recovery,1,From Throw In,Danny Drinkwater,3662.0,Right Defensive Midfield,3,Leicester City,22,['79e623bc-57e0-48d6-8eca-ba74334ac513'],30,,,,,,,,,,,,,,,,,Leicester City,22,00:00:30.126,Pass,
,,,,,,,,,,,,,,,,3.63534,,,,,,,,,,,,,18197413-2370-469f-badc-cf65c22a0220,23,,"[40.2, 12.4]",3754275,0,,,,2.3249032,,Right Foot,,,,"[10.8, 43.7]",,Ground Pass,,42.9424,,,,Kasper Schmeichel,3815.0,,,,,,1,From Throw In,Wes Morgan,3813.0,Right Center Back,3,Leicester City,22,['5b2557bd-8116-47fd-9e29-0eb3d58408b7'],34,,,,,,,,,,,,,,,,,Leicester City,22,00:00:34.124,Pass,
,,,,,,,,,,,,,,,,2.042008,,,,,,,,,,,,,ccc7c67b-e68c-4d96-afca-dd0d27f467ac,26,,"[17.4, 45.1]",3754275,0,,,,-0.9319266,,Right Foot,,,,"[48.3, 3.5]",,Low Pass,,51.820557,,,,Christian Fuchs,3812.0,,True,,,,1,From Throw In,Kasper Schmeichel,3815.0,Goalkeeper,3,Leicester City,22,['bdfd4196-0e15-4f2d-a851-7e9ad9cc2092'],41,,,,,,,,,,,,,,,,,Leicester City,22,00:00:41.910,Pass,
,,,,,,,,,,,,,,,,0.960005,,,,,,,,,,,,,e1cc4dcb-878e-445f-9754-06517140c96c,29,,"[48.3, 3.5]",3754275,0,,,,1.1876197,,Left Foot,,,,"[53.5, 16.4]",,Ground Pass,,13.90863,,,,N''Golo Kanté,3961.0,,,,,,1,From Throw In,Christian Fuchs,3812.0,Left Back,3,Leicester City,22,['d7c1b272-9db2-465e-92c5-cd5d9c502742'],45,,,,,,,,,,,,,,,,,Leicester City,22,00:00:45.479,Pass,
,,,,,,,,,,,,,,,,1.852424,,,,,,,,,,,,,ae5d7975-15f0-48cb-978f-0038535d32db,32,,"[53.5, 16.4]",3754275,0,,,,-0.36745417,,Left Foot,,,,"[77.4, 7.2]",,Low Pass,,25.609568,,Incomplete,,,,,,,,,1,From Throw In,N''Golo Kanté,3961.0,Left Defensive Midfield,3,Leicester City,22,['80682aaa-bce5-4d0f-9e19-0f8f7e86afb0'],46,,,,,,,,,,,,,,,,,Leicester City,22,00:00:46.519,Pass,
,,,,,,,,,,,,,,,,2.862032,,,,,,,,,,,,,80682aaa-bce5-4d0f-9e19-0f8f7e86afb0,33,,"[42.7, 72.9]",3754275,0,True,,,-2.7430701,,Head,,,,"[40.8, 72.1]",,High Pass,,2.0615528,,,,Adam David Lallana,4090.0,,,,,Recovery,1,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,4,Liverpool,24,"['17bca077-6a84-439d-b856-9af664eac832', 'ae5d7975-15f0-48cb-978f-0038535d32db']",48,,,,,,,,,,,,,,,,,Liverpool,24,00:00:48.372,Pass,
,,,,,,,,,,,,,,,,2.532331,,,,,,,,,,,,,f2dc7db2-6bbf-43ba-9479-6b2325d4a1a0,35,,"[49.3, 63.2]",3754275,0,True,,,-2.3820953,,Head,,,,"[39.4, 53.8]",,High Pass,,13.65174,,,,Mamadou Sakho,3483.0,,,,,,1,Regular Play,Adam David Lallana,4090.0,Center Attacking Midfield,4,Liverpool,24,['76cf4505-e2a9-472f-baa4-cbf8bb8f2644'],52,,,,,,,,,,,,,,,,,Liverpool,24,00:00:52.097,Pass,
,,,,,,,,,,,,,,,,0.792337,,,,,,,,,,,,,8199e505-ada6-4ce8-a7c2-03f8da187bec,37,,"[46.1, 48.7]",3754275,0,,,,0.73585194,,Left Foot,,,,"[58.8, 60.2]",,Low Pass,,17.133009,,,,Lucas Pezzini Leiva,7780.0,,,,,,1,Regular Play,Mamadou Sakho,3483.0,Left Center Back,4,Liverpool,24,['84ea2efe-d714-4b7e-b9fd-0d9cfcee921e'],56,,,,,,,,,,,,,,,,,Liverpool,24,00:00:56.979,Pass,
,,,,,,,,,,,,,,,,1.117007,,,,,,,,,,,,,620917bf-dc61-4fe1-8b09-305359f20c82,43,,"[49.1, 18.9]",3754275,0,,,,0.6470028,,Left Foot,,,,"[81.0, 43.0]",,High Pass,,39.980244,,,,Jamie Vardy,10960.0,,,,,Recovery,1,Regular Play,Robert Huth,40123.0,Left Center Back,5,Leicester City,22,['c4dc0e31-589f-4811-94c7-419e18531377'],59,,,,,,,,,,,,,,,,,Leicester City,22,00:00:59.123,Pass,
