bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.290198,,,,,,,,,,,,,96efd598-5828-41ed-a90d-9193c9f6880f,3033,,"[75.2, 23.4]",3754047,74,,,,,-0.49666864,,Left Foot,,,,"[88.3, 16.3]",Ground Pass,,14.900335,,,,Adam David Lallana,4090.0,,,,,,,2,Regular Play,James Philip Milner,3473.0,Left Center Midfield,141,Liverpool,24,['a78c444c-660f-4484-b184-cd1c1cbbd6af'],33,,,,,,,,,,,,,,,,,,Liverpool,24,00:29:33.859,Pass,
,,,,,,,,,,,,,,,,,1.195653,,,,,,,,,,,,,65f3876f-d96f-4d94-aa98-2dbb471de2b3,3038,,"[98.7, 24.7]",3754047,74,,,,,-1.5075895,,Left Foot,,,,"[99.2, 16.8]",Ground Pass,,7.915807,,,,James Philip Milner,3473.0,,,,,,,2,Regular Play,Adam David Lallana,4090.0,Left Midfield,141,Liverpool,24,['05f0a6db-0d41-4ca8-a46f-6a618dd89fd2'],38,,,,,,,,,,,,,,,,,,Liverpool,24,00:29:38.371,Pass,
,,,,,,,,,,,,,,,,,0.838581,,,,,,,,,,,,,bb78c2cf-0bdc-4d8a-9e3b-e6299cf7e213,3041,,"[111.4, 1.0]",3754047,74,,,,,1.5605403,,Right Foot,,,,"[111.6, 20.5]",Low Pass,,19.501026,,,,Daniel Andre Sturridge,3529.0,,,,,,,2,Regular Play,James Philip Milner,3473.0,Left Center Midfield,141,Liverpool,24,['c7607470-0f4f-472d-8b71-6be03e2749c1'],46,,,,,,,,,,,,,,,,,,Liverpool,24,00:29:46.349,Pass,
,,,,,,,,,,,,,,,,,1.942049,,,,,,,,,,,,,f763e9f3-8618-4a01-bb9a-7da68b5e46f3,3044,,"[12.6, 46.3]",3754047,74,,,,,0.0676386,,Right Foot,,,,"[43.6, 48.4]",Ground Pass,,31.071047,,Incomplete,,Bafétimbi Gomis,20521.0,,,,,,Recovery,2,Regular Play,Ashley Williams,3644.0,Left Center Back,141,Liverpool,24,"['66e75161-37c2-4b44-9253-2b0ee959a3f2', '7f76abc4-6b64-4af2-84a6-e10e1db6e08a']",49,,,,,,,,,,,,,,,,,,Swansea City,26,00:29:49.010,Pass,
,,,,,,,,,,,,,,,,,4.97157,,,,,,,,,,,,,66e75161-37c2-4b44-9253-2b0ee959a3f2,3046,,"[76.5, 31.7]",3754047,74,,,,,2.2827783,,Right Foot,,,,"[40.6, 73.3]",Low Pass,,54.948795,,,,Nathaniel Edwin Clyne,4590.0,,,True,,,Interception,2,Regular Play,Emre Can,3493.0,Center Defensive Midfield,141,Liverpool,24,"['33b65fc0-02cc-41e1-b502-83d80ca18b41', 'f763e9f3-8618-4a01-bb9a-7da68b5e46f3']",50,,,,,,,,,,,,,,,,,,Liverpool,24,00:29:50.952,Pass,
,,,,,,,,,,,,,,,,,1.752149,,,,,,,,,,,,,86f3eaeb-b3a4-43a6-ae55-165af640fe94,3049,,"[42.2, 75.7]",3754047,74,,,,,-1.1362667,,Right Foot,,,,"[51.9, 54.8]",Ground Pass,,23.041267,,,,Emre Can,3493.0,,,,,,,2,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,141,Liverpool,24,['c78db9aa-23f7-41fa-9fbd-462c535148e0'],57,,,,,,,,,,,,,,,,,,Liverpool,24,00:29:57.245,Pass,
,,,,,,,,,,,,,,,,,3.803553,,,,,,,,,,,,,08046d4a-1d62-4970-b2b1-c60ce58c85c8,3052,,"[61.4, 70.5]",3754047,75,,,,,-0.13306727,,Right Foot,,,,"[112.2, 63.7]",High Pass,,51.253098,,Incomplete,,Jordan Brian Henderson,3532.0,,,,,,,2,Regular Play,Emre Can,3493.0,Center Defensive Midfield,141,Liverpool,24,"['570838bd-601e-4a40-b485-2df5c7632e02', 'fe49ccff-0f77-4c34-be36-6b2339c1d9b7']",1,,,,,,,,,,,,,,,,,,Liverpool,24,00:30:01.400,Pass,
,,,,,,,,,,,,,,,,,1.522359,,,,,,,,,,,,,c6e0fe1b-dd4a-4120-a1e9-8c23c5908523,3056,,"[10.5, 16.9]",3754047,75,,,,,-0.76456785,,Right Foot,,,,"[15.4, 12.2]",Ground Pass,,6.789698,,,,Ashley Williams,3644.0,,,,,,,2,Regular Play,Łukasz Fabiański,3262.0,Goalkeeper,142,Swansea City,26,['646adc8e-dc76-4309-9bd8-4e680a06865a'],5,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:05.654,Pass,
,,,,,,,,,,,,,,,,,2.043396,,,,,,,,,,,,,2d397eb0-6ae5-4b40-aa13-3195c0283ef9,3059,,"[18.6, 22.4]",3754047,75,,,,,1.6556362,,Right Foot,,,,"[15.7, 56.5]",Low Pass,,34.22309,,,,Kyle Bartley,4726.0,,,,,,,2,Regular Play,Ashley Williams,3644.0,Left Center Back,142,Swansea City,26,['40364645-87fb-499a-86e4-c101ad5ad66f'],11,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:11.846,Pass,
,,,,,,,,,,,,,,,,,2.917036,,,,,,,,,,,,,4b73e61d-1f53-4b82-9294-e15948462f62,3062,,"[17.5, 56.5]",3754047,75,,,,,0.6880925,,Right Foot,,,,"[42.8, 77.3]",Low Pass,,32.752556,,,,Kyle Naughton,3340.0,,,,,,,2,Regular Play,Kyle Bartley,4726.0,Right Center Back,142,Swansea City,26,['47a8a473-3401-4000-9271-bbcbd014c1cf'],15,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:15.491,Pass,
,,,,,,,,,,,,,,,,,1.488204,,,,,,,,,,,,,c75dc783-5c99-4cc3-ae52-2a09c5abe6d6,3065,,"[42.8, 77.3]",3754047,75,,,,,0.037860688,,Right Foot,,,,"[56.0, 77.8]",Ground Pass,,13.209466,,,,André Ayew Pelé,3347.0,,,,,,,2,Regular Play,Kyle Naughton,3340.0,Right Back,142,Swansea City,26,['4c911260-d1a9-4179-b8b9-4fa048688cf8'],18,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:18.488,Pass,
,,,,,,,,,,,,,,,,,1.521469,,,,,,,,,,,,,0caa91e7-4ca5-44d0-9a57-b850bb2492ac,3071,,"[55.3, 75.2]",3754047,75,,True,,,-2.9844296,,Right Foot,,,,"[37.0, 72.3]",Ground Pass,,18.528357,,,,Kyle Bartley,4726.0,,,,,,Free Kick,2,From Free Kick,André Ayew Pelé,3347.0,Left Midfield,143,Swansea City,26,['569e73a1-7d00-4724-b8ea-daceafc3329f'],38,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:38.271,Pass,
,,,,,,,,,,,,,,,,,1.098285,,,,,,,,,,,,,fe1418c6-b9ec-4a53-8ad1-d172df580b1f,3073,,"[34.7, 67.6]",3754047,75,,,,,-1.7297927,,Right Foot,,,,"[29.2, 33.3]",Ground Pass,,34.738163,,,,Ashley Williams,3644.0,,,,,,,2,From Free Kick,Kyle Bartley,4726.0,Right Center Back,143,Swansea City,26,['3cc265c4-71f1-4c32-8362-eaacec2c7f2f'],39,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:39.793,Pass,
,,,,,,,,,,,,,,,,,3.247897,,,,,,,,,,,,,f184cc42-bca4-4fcf-982e-cb96051b1a38,3075,,"[29.5, 33.5]",3754047,75,,,,,-0.8329813,,Right Foot,,,,"[54.5, 6.0]",High Pass,,37.165173,,,,Neil Taylor,9627.0,,,,,,,2,From Free Kick,Ashley Williams,3644.0,Left Center Back,143,Swansea City,26,['0c60537a-73a3-4ebb-b15c-1ef0e46d9888'],40,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:40.891,Pass,
