ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.221209,,,,,,,,,,,,,dbb5d9d8-0cb4-4ed0-84ae-55c1a262ae38,18,,,"[51.3, 0.1]",3754251,0,,,,2.9339035,,,,,"[25.2, 5.6]",,Low Pass,,26.673208,,,Mamadou Sakho,3483.0,,,,,,Throw-in,1,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,3,Liverpool,24,['17566ff9-262b-43af-92f3-f1a182b5a185'],18,,,,,,,,,,,,,,,,Liverpool,24,00:00:18.307,Pass,
,,,,,,,,,,,,,,,,,,3.425148,,,,,,,,,,,,,837d4982-ccd8-4586-b242-b8fa258f7d49,20,,,"[25.2, 5.6]",3754251,0,,,,2.0380197,,Left Foot,,,"[8.3, 39.1]",,Ground Pass,,37.52146,,,Simon Mignolet,3539.0,,,,,,,1,From Throw In,Mamadou Sakho,3483.0,Left Center Back,3,Liverpool,24,['fba7e804-a9a2-4623-99c4-15d426f97c28'],20,,,,,,,,,,,,,,,,Liverpool,24,00:00:20.529,Pass,
,,,,,,,,,,,,,,,,,,1.673523,,,,,,,,,,,,,e6558cab-c6fa-409f-8f62-8c93b4fe429f,23,,,"[8.1, 41.3]",3754251,0,,,,0.8934099,,Right Foot,,,"[19.2, 55.1]",,Ground Pass,,17.710167,,,Dejan Lovren,3471.0,,,,,,,1,From Throw In,Simon Mignolet,3539.0,Goalkeeper,3,Liverpool,24,['da1b6d2d-2a67-4da8-8c0f-5019f481041d'],24,,,,,,,,,,,,,,,,Liverpool,24,00:00:24.785,Pass,
,,,,,,,,,,,,,,,,,,1.92217,,,,,,,,,,,,,fdda7635-ece1-4886-ae0b-cef17cc8663b,26,,,"[28.9, 60.4]",3754251,0,,,,-2.4798841,,Right Foot,,,"[8.1, 44.2]",,Ground Pass,,26.36437,,,Simon Mignolet,3539.0,,,,,,,1,From Throw In,Dejan Lovren,3471.0,Right Center Back,3,Liverpool,24,['b0c9841b-ac47-4e3f-bf6b-d73c1d9d4dc2'],30,,,,,,,,,,,,,,,,Liverpool,24,00:00:30.004,Pass,
,,,,,,,,,,,,,,,,,,1.007661,,,,,,,,,,,,,2b7702ef-e52c-4f4f-aafa-ccb02b0fb79f,29,,,"[9.1, 45.8]",3754251,0,,,,-1.1625413,,Right Foot,,,"[18.4, 24.3]",,Ground Pass,,23.4252,,,Mamadou Sakho,3483.0,,,,,,,1,From Throw In,Simon Mignolet,3539.0,Goalkeeper,3,Liverpool,24,['6366d8c4-6862-47a3-a641-e16b669d64ab'],32,,,,,,,,,,,,,,,,Liverpool,24,00:00:32.974,Pass,
,,,,,,,,,,,,,,,,,,1.256008,,,,,,,,,,,,,aa05e8f2-7222-4851-b223-88b4cf9789db,33,,,"[25.6, 16.7]",3754251,0,,,,-0.24657866,,Left Foot,,,"[55.0, 9.3]",,Low Pass,,30.316992,Incomplete,,Alberto Moreno Pérez,3515.0,,,,,,,1,From Throw In,Mamadou Sakho,3483.0,Left Center Back,3,Liverpool,24,"['3eaf8fdf-2453-4ce4-ac10-fe364f43a6b4', '8c5b5c68-452c-4af6-b00d-739fd76079a2']",37,,,,,,,,,,,,,,,,Liverpool,24,00:00:37.210,Pass,
,,,,,,,,,,,,,,,,,,1.440417,,,,,,,,,,,,,3d3fe944-6ab3-4a36-b8e9-fda618b1d290,45,,,"[57.2, 22.8]",3754251,0,,,,1.6311257,,Right Foot,,,"[55.4, 52.6]",,Ground Pass,,29.854313,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Throw In,Christian Benteke Liolo,3380.0,Center Forward,3,Liverpool,24,['85ec15b9-534c-4b67-bc60-0a5467642949'],44,,,,,,,,,,,,,,,,Liverpool,24,00:00:44.617,Pass,
,,,,,,,,,,,,,,,,,,5.315491,,,,,,,,,,,,,c6d40898-0577-4399-90a9-b0efe221121d,49,,,"[54.9, 53.7]",3754251,0,,,,0.2551824,,Right Foot,,,"[119.3, 70.5]",,High Pass,,66.55524,Out,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,3,Liverpool,24,"['4d57799d-22b6-4263-84fa-90e38f0795f0', 'ef813ccb-0332-450f-a73e-a5071b4a41b6']",47,,,,,,,,,,,,,,,,Liverpool,24,00:00:47.404,Pass,True
,,,,,,,,,,,,,,,,,,1.613072,,,,,,,,,,,,,233686c2-e0c5-458b-9197-949020087e09,51,,,"[7.0, 36.1]",3754251,1,True,,,-0.8300114,,Right Foot,,,"[17.7, 24.4]",,Ground Pass,,15.854968,,,Angelo Obinze Ogbonna,3843.0,,,,,,Goal Kick,1,From Goal Kick,Adrián San Miguel del Castillo,3623.0,Goalkeeper,4,West Ham United,40,['654f6af1-5f35-4ec6-b2be-b3b4a01ad88b'],4,,,,,,,,,,,,,,,,West Ham United,40,00:01:04.486,Pass,
,,,,,,,,,,,,,,,,,,1.184652,,,,,,,,,,,,,c4f3d11a-731d-4b3c-aebf-448ec0eb380b,53,,,"[21.4, 21.3]",3754251,1,,,,-1.0088748,,Right Foot,,,"[31.6, 5.1]",,Ground Pass,,19.143667,,,Aaron Cresswell,3062.0,,,,,,,1,From Goal Kick,Angelo Obinze Ogbonna,3843.0,Left Center Back,4,West Ham United,40,['fb25db2c-c2a3-4462-8d72-bbad27d9ea84'],7,,,,,,,,,,,,,,,,West Ham United,40,00:01:07.449,Pass,
