ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.879051,,,,,,,,,,,,584e9508-f574-4f25-a29d-12273b65e127,17,,"[39.0, 14.6]",3754018,0,,,,-0.1870955,,Left Foot,,,,"[83.9, 6.1]",,High Pass,,45.697483,,,Incomplete,,Daniel Andre Sturridge,3529.0,,,,Through Ball,True,,1,From Kick Off,Dejan Lovren,3471.0,Left Center Back,2,Liverpool,24,"['63e1ceab-f285-4ebe-b0ea-2eb972dc2784', 'e907529c-25bf-4b06-ab03-de7a81bceb8a']",14,,,,,,,,,,,,,,,,,Liverpool,24,00:00:14.200,Pass,
,,,,,,,,,,,,,,,,,2.696801,,,,,,,,,,,,63e1ceab-f285-4ebe-b0ea-2eb972dc2784,19,,"[36.2, 74.0]",3754018,0,,,,0.03844259,,Head,,,,"[41.4, 74.2]",,High Pass,,5.2038445,,,,,Jack Frank Porteous Cork,3462.0,,,,,,Recovery,1,Regular Play,Àngel Rangel Zaragoza,3973.0,Right Back,3,Swansea City,26,"['584e9508-f574-4f25-a29d-12273b65e127', '65a73548-ff15-45d1-9d3f-17601839cb6a']",17,,,,,,,,,,,,,,,,,Swansea City,26,00:00:17.079,Pass,
,,,,,,,,,,,,,,,,,0.89319,,,,,,,,,,,,b3d81728-b101-498c-823c-1c7923577705,21,,"[41.4, 74.2]",3754018,0,,,,0.0,,Head,,,,"[50.1, 74.2]",,Low Pass,,8.7,,,,,Wayne Routledge,3449.0,,,,,,,1,Regular Play,Jack Frank Porteous Cork,3462.0,Right Defensive Midfield,3,Swansea City,26,['f2ca853f-dd5f-4263-b5a6-a2ab922eebaa'],19,,,,,,,,,,,,,,,,,Swansea City,26,00:00:19.856,Pass,
,,,,,,,,,,,,,,,,,1.804617,,,,,,,,,,,,9ddff2e0-8c91-4be0-9cbe-3715e113d006,25,,"[49.7, 74.2]",3754018,0,,,,-0.54884034,,Right Foot,,,,"[63.6, 65.7]",,High Pass,,16.292944,,,Incomplete,,André Ayew Pelé,3347.0,,,,,,,1,Regular Play,Wayne Routledge,3449.0,Right Wing,3,Swansea City,26,"['1b014827-9494-4d7f-b171-49f7ef9eb7bd', 'c5416d85-c6c2-4929-8c55-7ee72fcfaa97']",20,,,,,,,,,,,,,,,,,Swansea City,26,00:00:20.789,Pass,
,,,,,,,,,,,,,,,,,0.808812,,,,,,,,,,,,1b014827-9494-4d7f-b171-49f7ef9eb7bd,27,,"[56.5, 14.4]",3754018,0,,,,0.5070985,,Right Foot,,,,"[69.1, 21.4]",,Low Pass,,14.413882,,,Incomplete,,Daniel Andre Sturridge,3529.0,,,,,,Recovery,1,Regular Play,Dejan Lovren,3471.0,Left Center Back,3,Swansea City,26,"['3145a76e-bc2a-4c55-91b9-1de9cce290df', '9ddff2e0-8c91-4be0-9cbe-3715e113d006', 'fe57c3c6-ec1c-449f-baba-8adf4d85ad19']",22,,,,,,,,,,,,,,,,,Liverpool,24,00:00:22.594,Pass,
,,,,,,,,,,,,,,,,,1.127063,,,,,,,,,,,,fe57c3c6-ec1c-449f-baba-8adf4d85ad19,29,,"[51.0, 58.7]",3754018,0,,,,0.19739556,,Left Foot,,,,"[57.5, 60.0]",,Low Pass,,6.6287255,,,,,Gylfi Þór Sigurðsson,3944.0,,,,,,Recovery,1,Regular Play,Leon Britton,4631.0,Left Defensive Midfield,3,Swansea City,26,"['1b014827-9494-4d7f-b171-49f7ef9eb7bd', 'c7e50997-2e34-4908-b616-336606aa8b78']",23,,,,,,,,,,,,,,,,,Swansea City,26,00:00:23.403,Pass,
,,,,,,,,,,,,,,,,,0.47643,,,,,,,,,,,,b0236efe-58f1-4c84-910b-e26997a4aa3b,32,,"[57.1, 59.6]",3754018,0,,,,-0.96380866,,Right Foot,,,,"[62.1, 52.4]",,Low Pass,,8.765842,,,,,André Ayew Pelé,3347.0,,,,,,,1,Regular Play,Gylfi Þór Sigurðsson,3944.0,Center Attacking Midfield,3,Swansea City,26,['73562d69-4aee-4711-82fb-05650cf8f18c'],24,,,,,,,,,,,,,,,,,Swansea City,26,00:00:24.530,Pass,
,,,,,,,,,,,,,,,,,1.439293,,,,,,,,,,,,73ca3adc-3f2c-4628-a389-0a9781afe449,35,,"[62.3, 51.7]",3754018,0,,,,-2.3065898,,Right Foot,,,,"[55.6, 44.3]",,High Pass,,9.982485,,,,,Leon Britton,4631.0,,,,,,,1,Regular Play,André Ayew Pelé,3347.0,Center Forward,3,Swansea City,26,"['93e8f305-8fee-43cd-8051-5b1d93334af4', 'a98e7ab8-75b9-4857-9daa-ee7e83a05350']",25,,,,,,,,,,,,,,,,,Swansea City,26,00:00:25.006,Pass,True
,,,,,,,,,,,,,,,,,1.103552,,,,,,,,,,,,07579ba5-0a39-4b03-a5d5-32a96da69082,38,,"[55.8, 44.1]",3754018,0,,,,-1.2054547,,Right Foot,,,,"[62.8, 25.8]",,Ground Pass,,19.593111,,,,,Jefferson Antonio Montero Vite,7063.0,,,,,,,1,Regular Play,Leon Britton,4631.0,Left Defensive Midfield,3,Swansea City,26,['7bcda21f-ff5f-42d2-b9c8-a7ae9a8c7fdd'],26,,,,,,,,,,,,,,,,,Swansea City,26,00:00:26.446,Pass,
,,,,,,,,,,,,,,,,,0.903095,,,,,,,,,,,,19f2794d-8a2e-496d-bfc4-341824030cdc,44,,"[49.7, 63.7]",3754018,0,,,,-2.4961193,,Right Foot,,,,"[41.6, 57.6]",,Low Pass,,10.140019,,,,,Jordi Amat Maas,6652.0,,,,,,Recovery,1,Regular Play,Àngel Rangel Zaragoza,3973.0,Right Back,3,Swansea City,26,['c77f906c-c80a-4cc1-b325-3acce03f9498'],30,,,,,,,,,,,,,,,,,Swansea City,26,00:00:30.781,Pass,
