ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.24438,,,,,,,,,,,,,2edbdf84-7b18-4ef7-9d6a-908429ec84cc,2169,,"[54.6, 55.7]",3754055,49,,,,,-1.5707964,,Right Foot,,,,"[54.6, 53.8]",,Ground Pass,,1.9,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,2,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,117,Liverpool,24,"['4c29e8d2-430c-4cd4-8be2-2c6aa7dc77a0', 'b4f2c375-6718-4a72-93ab-5856889a67c1', 'e2343d4f-4a86-44bc-8b30-70d47aec4699']",55,,,,,,,,,,,,,,,,,,,Liverpool,24,00:04:55.760,Pass,True
,,,,,,,,,,,,,,,,,,1.420241,,,,,,,,,,,,,d76f4ec9-1d90-4fa8-b557-56fc6c5b1504,2179,,"[58.3, 52.4]",3754055,50,,True,,,1.7876699,,Right Foot,,,,"[57.0, 58.3]",,Ground Pass,,6.041523,,,Adam David Lallana,4090.0,,,,,Free Kick,2,From Free Kick,James Philip Milner,3473.0,Right Center Midfield,118,Liverpool,24,['4ce7742a-ba63-4e5b-9f15-028fb846489f'],11,,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:11.694,Pass,
,,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,,,,8a92bdc2-0e55-4b92-8e2a-f3e25759fbb8,2181,,"[57.0, 58.3]",3754055,50,,True,,,-1.2689546,,Right Foot,,,,"[74.0, 3.7]",,Ground Pass,,57.185314,,,Alberto Moreno Pérez,3515.0,,True,,,,2,From Free Kick,Adam David Lallana,4090.0,Right Midfield,118,Liverpool,24,['c7bd3597-5a4c-4183-8045-6e09896f2b13'],15,,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:15.120,Pass,
,,,,,,,,,,,,,,,,,,2.221072,,,,,,,,,,,,,44af48d0-f765-4381-b07a-c5a29a4e9563,2183,,"[74.9, 3.2]",3754055,50,,,,,0.010694779,,Left Foot,,,,"[93.6, 3.4]",,Ground Pass,,18.701069,,,Adam David Lallana,4090.0,,,,,,2,From Free Kick,Alberto Moreno Pérez,3515.0,Left Back,118,Liverpool,24,['fe81db35-971c-49a9-8952-ec8f5005b983'],17,,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:17.587,Pass,
,,,,,,,,,,,,,,,,,,1.108763,,,,,,,,,,,,,ccc83286-8b72-4b10-9f23-798f5f876e0c,2185,,"[98.8, 4.3]",3754055,50,,,,,1.9228406,,Left Foot,,,,"[93.4, 19.0]",,Ground Pass,,15.6604595,,,James Philip Milner,3473.0,,,,,,2,From Free Kick,Adam David Lallana,4090.0,Right Midfield,118,Liverpool,24,['f8cd358d-031c-4c48-a5a6-eb923a931a33'],19,,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:19.808,Pass,
,,,,,,,,,,,,,,,,,,1.286037,,,,,,,,,,,,,1fada473-e86d-4e24-8eac-3b63303eb60d,2188,,"[94.2, 17.3]",3754055,50,,,,,2.084716,47ab7176-dc51-4051-a506-46724ff85875,Left Foot,,,,"[90.7, 23.5]",,Low Pass,,7.119691,,,Roberto Firmino Barbosa de Oliveira,3535.0,True,,,,,2,From Free Kick,James Philip Milner,3473.0,Right Center Midfield,118,Liverpool,24,['f3c67002-8f37-44ad-b562-e3d8112b0759'],20,,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:20.924,Pass,
,,,,,,,,,,,,,,,,,,0.734701,,,,,,,,,,,,,8dca71ad-7b09-40ee-8f1e-dfd4febeac46,2193,,"[7.0, 44.1]",3754055,50,,True,,,0.0,,Right Foot,,,,"[16.9, 44.1]",,Ground Pass,,9.9,,,César Azpilicueta Tanco,3957.0,,,,,Goal Kick,2,From Goal Kick,Asmir Begović,3339.0,Goalkeeper,119,Chelsea,33,['48862d65-1c34-4680-8003-1677ee6e7307'],37,,,,,,,,,,,,,,,,,,,Chelsea,33,00:05:37.574,Pass,
,,,,,,,,,,,,,,,,,,2.944831,,,,,,,,,,,,,3ba7306a-83c4-4b81-819c-e8bfe60bcaca,2195,,"[40.5, 74.5]",3754055,50,,,,,-0.06969824,,Right Foot,,,,"[93.5, 70.8]",,High Pass,,53.128994,,,Eden Hazard,3621.0,,,,,,2,From Goal Kick,César Azpilicueta Tanco,3957.0,Right Back,119,Chelsea,33,['3a8811ca-d48b-4f60-a58d-d64413d9611b'],41,,,,,,,,,,,,,,,,,,,Chelsea,33,00:05:41.522,Pass,
,,,,,,,,,,,,,,,,,,1.116545,,,,,,,,,,,,,840adcad-e5b0-462f-8095-45c3f4998c2b,2200,,"[102.3, 77.0]",3754055,50,,,,,-2.3874342,,Right Foot,,,,"[95.7, 70.8]",,Ground Pass,,9.055386,Incomplete,,Bertrand Isidore Traoré,2956.0,,,,,,2,From Goal Kick,Eden Hazard,3621.0,Center Attacking Midfield,119,Chelsea,33,"['2d121814-796e-437c-9a99-8bbc9566855a', '45206dd2-bc4c-47a0-83cf-7b5e53b9db9b', 'ed47b15d-944e-4cb3-95bf-7924b0ef3803']",51,,,,,,,,,,,,,,,,,,,Chelsea,33,00:05:51.660,Pass,True
,,,,,,,,,,,,,,,,,,1.528443,,,,,,,,,,,,,9ca7b4f0-1d15-4386-b4d8-af3ae666b473,2209,,"[58.0, 1.4]",3754055,50,,,,,1.7046072,,Right Foot,,,,"[56.6, 11.8]",,Ground Pass,,10.493808,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,2,From Goal Kick,Emre Can,3493.0,Left Center Midfield,119,Chelsea,33,"['4ab7f300-4b22-4c3f-8904-63e3b1110466', 'bfd522a8-89d1-4f18-872e-81189ccb7164']",57,,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:57.414,Pass,
