ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781fb536-7be1-48ce-9d5d-b28842ec39f0,2173,,"[69.5, 75.8]",3749253,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,El-Hadji Ousseynou Diouf,40257.0,Right Midfield,145,Liverpool,24,['8aea7bce-040a-4722-a183-18ca110f8444'],26,,,,,,,,,,,,,,,,,,Liverpool,24,00:14:26.387,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6caab1bb-e437-4c50-bdd6-f0a5c1b514d9,2176,,"[75.5, 67.3]",3749253,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Steven Gerrard,19109.0,Left Defensive Midfield,145,Liverpool,24,['9a85a6eb-9582-4cee-ab53-fbd6b7c8c6fb'],27,,,,,,,,,,,,,,,,,,Liverpool,24,00:14:27.924,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02b73d69-fa65-4832-8893-f58d2c5a4d62,2180,,"[51.5, 54.7]",3749253,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Igor Bišćan,40254.0,Right Center Back,145,Liverpool,24,['31ff9781-f270-4172-bd31-57c47c4384fd'],30,,,,,,,,,,,,,,,,,,Liverpool,24,00:14:30.792,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47b1a32f-4676-4b03-9178-bee59f023458,2183,,"[38.7, 2.8]",3749253,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,John Arne Semundseth Riise,34386.0,Left Back,145,Liverpool,24,['4321525a-83ca-42c0-b98d-d4269b6877b5'],36,,,,,,,,,,,,,,,,,,Liverpool,24,00:14:36.329,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a8e77c00-21dd-4a2a-a582-fd4a57d61016,2186,,"[11.8, 30.8]",3749253,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jerzy Dudek,34390.0,Goalkeeper,145,Liverpool,24,['66e7a563-d728-412e-b6e0-51b283e76e4f'],39,,,,,,,,,,,,,,,,,,Liverpool,24,00:14:39.618,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15e923a7-d868-4690-a65a-632db62d5d37,2191,,"[56.7, 37.3]",3749253,59,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Thierry Henry,15516.0,Left Center Forward,146,Arsenal,1,"['8b37b6ee-4f50-48da-a68b-431af20d744f', 'f230da2b-70b4-4b0b-9105-cd7a02c37b72']",50,,,,,,,,,,,,,,,,,,Arsenal,1,00:14:50.510,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00c9af2f-706a-4fe0-ad9b-e3de398c6660,2196,,"[89.3, 26.3]",3749253,60,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ashley Cole,12529.0,Left Back,147,Arsenal,1,['7e31abd9-e7af-4671-b955-819dbf5727a6'],29,,,,,,,,,,,,,,,,,,Arsenal,1,00:15:29.662,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d8ec7a2f-1776-4927-8cf5-798a45fc6260,2201,,"[100.6, 27.2]",3749253,60,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Thierry Henry,15516.0,Left Center Forward,147,Arsenal,1,"['dfae2ae3-3f66-4cb4-93cb-bfe7badf6417', 'f0a8026d-e424-4d69-bda1-13dbe19e17fa']",31,,,,,,,,,,,,,,,,,,Arsenal,1,00:15:31.889,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c13c9b4e-c289-440e-a62a-a7a32c5443b9,2209,,"[14.4, 58.4]",3749253,60,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Igor Bišćan,40254.0,Right Center Back,148,Liverpool,24,['71b4ecc2-a1a1-4261-950c-bea904084773'],42,,,,,,,,,,,,,,,,,,Liverpool,24,00:15:42.583,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49c6aa6e-73dd-42a6-9db8-73c0113a3609,2211,,"[101.8, 76.5]",3749253,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,El-Hadji Ousseynou Diouf,40257.0,Right Midfield,149,Liverpool,24,['3cf6b629-70af-4967-aac9-e79ef0e4f163'],49,,,,,,,,,,,,,,,,,,Liverpool,24,00:15:49.970,Ball Receipt*,
