ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.856144,,,,,,,,,,,,,,00b26516-b520-4c4b-a1ab-c3df5c62e6a7,17,,"[26.4, 57.2]",3754294,0,,,,,-2.401497,,Right Foot,,,"[6.8, 39.3]",,Ground Pass,,26.543737,,,,,Simon Mignolet,3539.0,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Liverpool,24,['c7969513-a654-4a92-b98c-ebe4dd6eef75'],9,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:09.125,Pass,
,,,,,,,,,,,,,,,,,,1.598719,,,,,,,,,,,,,,ea751c60-1a3e-420e-b759-e0c187dcc85b,19,,"[6.8, 39.3]",3754294,0,,,,,-0.9479386,,Right Foot,,,"[19.8, 21.2]",,Ground Pass,,22.284748,,,,,Mamadou Sakho,3483.0,,,,,,1,From Kick Off,Simon Mignolet,3539.0,Goalkeeper,2,Liverpool,24,['3e86032f-8eb2-416d-b0b9-da9191fb7c3a'],10,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:10.982,Pass,
,,,,,,,,,,,,,,,,,,2.996968,,,,,,,,,,,,,,f34405b1-990f-4b35-8577-ba2997b9e73a,22,,"[26.1, 14.6]",3754294,0,,,,,-0.0072725993,,Left Foot,,,"[81.1, 14.2]",,High Pass,,55.001453,,,Incomplete,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,"['29ddbb99-2890-41f2-a83f-1940fa831e9c', '8a018001-3f6e-4c35-8b7d-4f7f785fac2e']",15,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:15.531,Pass,
,,,,,,,,,,,,,,,,,,1.327782,,,,,,,,,,,,,,29ddbb99-2890-41f2-a83f-1940fa831e9c,25,,"[39.0, 65.9]",3754294,0,,,,True,0.22189474,,,,,"[55.4, 69.6]",,Low Pass,,16.812199,,,,,Kevin Mirallas,4317.0,,,,,Recovery,1,From Kick Off,John Stones,3244.0,Right Center Back,2,Liverpool,24,"['64537bc7-3603-48ac-8b42-cff4e8e71bf9', 'd0eaffe5-c188-45ec-99a1-f4e76f422f35', 'f34405b1-990f-4b35-8577-ba2997b9e73a']",18,,,,,,,,,,,,,,,,,,Everton,29,00:00:18.528,Pass,True
,,,,,,,,,,,,,,,,,,1.509369,,,,,,,,,,,,,,3fbd6185-650c-46c2-aff8-3bd503366396,29,,"[50.9, 69.1]",3754294,0,,,,,-1.487655,,Right Foot,,,"[51.8, 58.3]",,Ground Pass,,10.837435,,,Incomplete,,James McCarthy,3607.0,,,,,,1,From Kick Off,Kevin Mirallas,4317.0,Right Wing,2,Liverpool,24,"['4d3e3771-17f7-4e6e-b67a-3052a9bd3735', 'b212f700-8f9e-401c-a943-3dd307be8a4e', 'e461cb8c-c4a4-4cb6-b6bc-fa9016c664ee']",20,,,,,,,,,,,,,,,,,,Everton,29,00:00:20.633,Pass,True
,,,,,,,,,,,,,,,,,,1.043916,,,,,,,,,,,,,,e461cb8c-c4a4-4cb6-b6bc-fa9016c664ee,32,,"[68.3, 21.8]",3754294,0,,,,,1.0379524,,Right Foot,,,"[75.2, 33.5]",,Ground Pass,,13.583077,,,,,Adam David Lallana,4090.0,,,,,Recovery,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,2,Liverpool,24,"['3fbd6185-650c-46c2-aff8-3bd503366396', '92d629a4-d21d-4b59-ad56-f57be43afbcd', 'bc8c0e95-04fc-44c3-926b-a02afbd55067']",22,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:22.143,Pass,True
,,,,,,,,,,,,,,,,,,1.546017,,,,,,,,,,,,,,ebea9d3d-76a2-4307-b4d1-b122fc3a1dd1,35,,"[73.5, 33.5]",3754294,0,,,,,1.8846015,,Left Foot,,,"[64.9, 60.0]",,Ground Pass,,27.860546,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Kick Off,Adam David Lallana,4090.0,Right Wing,2,Liverpool,24,['79ea7649-45bd-498e-87e1-5121347e8da0'],24,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:24.126,Pass,
,,,,,,,,,,,,,,,,,,0.944217,,,,,,,,,,,,,,a3c4e7f3-2136-4f0f-a600-65e54eabff5f,41,,"[93.0, 80.0]",3754294,0,,,,,-1.6503383,,,,,"[91.9, 66.2]",,Low Pass,,13.843771,,,,,James Philip Milner,3473.0,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,3,Liverpool,24,['369c6125-c324-4528-a0ae-1b915524fa65'],34,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:34.249,Pass,
,,,,,,,,,,,,,,,,,,0.634362,,,,,,,,,,,,,,472c5de5-73b3-4dfb-934b-3d2e6fedf558,45,,"[91.5, 67.2]",3754294,0,,,,,2.0816193,,Right Foot,,,"[86.4, 76.3]",,Ground Pass,,10.431683,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Throw In,James Philip Milner,3473.0,Right Defensive Midfield,3,Liverpool,24,['49b27329-38a5-488c-a442-0c61a9210736'],36,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:36.221,Pass,
,,,,,,,,,,,,,,,,,,1.769241,,,,,,,,,,,,,,9e28e616-c25e-4b3f-baba-655721372241,49,,"[78.3, 76.2]",3754294,0,,,,,-2.1523612,,Right Foot,,,"[64.1, 54.6]",,Ground Pass,,25.849566,,,,,Lucas Pezzini Leiva,7780.0,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,3,Liverpool,24,['842f551c-5cf9-40d0-8759-a31de15614f7'],38,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:38.143,Pass,
