ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.713888,,,,,,,,,,,,af7116b3-eefa-493d-9f9f-ecdb0aa4a180,13,,"[78.8, 2.7]",3754040,0,,,,,0.8081215,,Head,,,,"[83.1, 7.2]",,High Pass,,6.2241464,,,Matt Jarvis,22594.0,,,,,Recovery,1,Regular Play,Robert Brady,10967.0,Left Back,4,Norwich City,56,"['4b013ae0-5d9f-4417-9d34-e7c9e1acd5e9', '9bcf6324-2a5a-48ac-8dbc-48cab10d4cc8']",23,,,,,,,,,,,,,,,,,Norwich City,56,00:00:23.229,Pass,
,,,,,,,,,,,,,,,,1.238201,,,,,,,,,,,,7d58c6db-bb57-4e1c-a278-ded99087c2a2,15,,"[82.6, 7.2]",3754040,0,,,,,0.5456551,,Head,,,,"[88.2, 10.6]",,High Pass,,6.551336,Incomplete,,Cameron Jerome,4807.0,,,,,,1,Regular Play,Matt Jarvis,22594.0,Left Midfield,4,Norwich City,56,"['8b4f1f53-ff34-4ae5-8143-bc4537358bc4', 'f63542f1-11a9-4a86-9927-ff8ed2f540d2']",24,,,,,,,,,,,,,,,,,Norwich City,56,00:00:24.037,Pass,
,,,,,,,,,,,,,,,,0.179331,,,,,,,,,,,,8f1ee355-33bb-4407-9a4f-ac1a4df9eb90,18,,"[49.0, 72.0]",3754040,0,,,,,-0.1746722,,Right Foot,,,,"[52.4, 71.4]",,Low Pass,,3.4525354,Incomplete,,Daniel Andre Sturridge,3529.0,,,,,Recovery,1,Regular Play,Christian Benteke Liolo,3380.0,Left Center Forward,4,Norwich City,56,"['2aef4209-7f19-43dc-9700-2116f6553fb9', '62fd3637-180b-4e82-83b7-791a5722d26c']",26,,,,,,,,,,,,,,,,,Liverpool,24,00:00:26.777,Pass,
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,844a9a13-0c51-4cae-b024-d6f42b122616,21,,"[67.2, 8.7]",3754040,0,,,,,1.9070386,,Left Foot,,,,"[63.6, 19.0]",,Ground Pass,,10.911004,,,Alexander Banor Tettey,9463.0,,,,,Recovery,1,Regular Play,Jonathan Howson,9578.0,Left Center Midfield,4,Norwich City,56,['66607e86-3c92-4eb8-9598-7663a7377d80'],28,,,,,,,,,,,,,,,,,Norwich City,56,00:00:28.226,Pass,
,,,,,,,,,,,,,,,,1.218876,,,,,,,,,,,,0e02ff11-ed60-433f-ae99-672be56f3d42,24,,"[63.4, 18.3]",3754040,0,,,,,2.5991611,,Right Foot,,,,"[48.8, 27.1]",,Ground Pass,,17.046993,,,Russell Martin,21212.0,,,,,,1,Regular Play,Alexander Banor Tettey,9463.0,Center Defensive Midfield,4,Norwich City,56,"['271afe11-46c9-4f3e-8a1f-9e50a9e903e4', 'eae6b404-94ef-4153-b4b0-73b35bbafe50']",29,,,,,,,,,,,,,,,,,Norwich City,56,00:00:29.360,Pass,True
,,,,,,,,,,,,,,,,1.95611,,,,,,,,,,,,a4dfe523-a14e-4d7c-9c0c-95766acfbfb3,27,,"[44.8, 31.4]",3754040,0,,,,,1.3852423,,Right Foot,,,,"[50.3, 60.7]",,Ground Pass,,29.811743,,,Steven Whittaker,11124.0,,,,,,1,Regular Play,Russell Martin,21212.0,Right Center Back,4,Norwich City,56,['aa2cee7b-e9dc-405c-8648-38af3bb09dae'],31,,,,,,,,,,,,,,,,,Norwich City,56,00:00:31.784,Pass,
,,,,,,,,,,,,,,,,0.803091,,,,,,,,,,,,c9d0fadd-797f-4c1f-a4d6-f558d0819df3,30,,"[51.6, 60.5]",3754040,0,,,,,-0.045839425,,Right Foot,,,,"[62.5, 60.0]",,Ground Pass,,10.911462,,,Nathan Redmond,3286.0,,,,,,1,Regular Play,Steven Whittaker,11124.0,Right Back,4,Norwich City,56,['e09bcd1a-e178-4932-bbf2-d4f54cb0fe5e'],33,,,,,,,,,,,,,,,,,Norwich City,56,00:00:33.812,Pass,
,,,,,,,,,,,,,,,,0.787881,,,,,,,,,,,,64248776-3269-4aa4-8eda-607f7320de1a,33,,"[62.5, 59.6]",3754040,0,,,,,-2.9732025,,Left Foot,,,,"[52.5, 57.9]",,Ground Pass,,10.143471,,,Steven Whittaker,11124.0,,,,,,1,Regular Play,Nathan Redmond,3286.0,Right Midfield,4,Norwich City,56,['384f7219-09b7-44d9-b38d-4be47193f553'],34,,,,,,,,,,,,,,,,,Norwich City,56,00:00:34.695,Pass,
,,,,,,,,,,,,,,,,2.411219,,,,,,,,,,,,9f213240-5741-49d8-a609-3f6a0b01936d,36,,"[52.5, 57.9]",3754040,0,,,,,0.14964217,,Left Foot,,,,"[85.0, 62.8]",,High Pass,,32.86731,Incomplete,,,,,,,,,1,Regular Play,Steven Whittaker,11124.0,Right Back,4,Norwich City,56,['8497aa2f-3fc6-4cba-a1ba-a5edd876847d'],35,,,,,,,,,,,,,,,,,Norwich City,56,00:00:35.493,Pass,
,,,,,,,,,,,,,,,,2.210535,,,,,,,,,,,,8497aa2f-3fc6-4cba-a1ba-a5edd876847d,37,,"[35.1, 17.3]",3754040,0,,,,,-0.35331902,,Head,,,,"[49.2, 12.1]",,High Pass,,15.028307,,,Lucas Pezzini Leiva,7780.0,,,,,Recovery,1,From Counter,Mamadou Sakho,3483.0,Left Center Back,5,Liverpool,24,"['03dd5fff-e1eb-47a7-ac48-49090d506154', '9f213240-5741-49d8-a609-3f6a0b01936d']",37,,,,,,,,,,,,,,,,,Liverpool,24,00:00:37.904,Pass,
