ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.12184,,,,,,,,,,,,,ac924eda-8abf-46e6-86bd-a3b7be652161,17,,"[48.0, 51.9]",3754212,0,,,,-1.2627436,,Right Foot,,,"[52.2, 38.7]",,Ground Pass,,13.852076,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Center Back,2,Liverpool,24,['19977349-8831-4064-912a-38c475cc7682'],11,,,,,,,,,,,,,,,,,Liverpool,24,00:00:11.345,Pass,
,,,,,,,,,,,,,,,,1.021502,,,,,,,,,,,,,aae0b46b-5763-4df5-a8ed-c8b7d323f55b,20,,"[64.6, 45.5]",3754212,0,,,,0.86033267,,Right Foot,,,"[80.0, 63.4]",,High Pass,,23.61292,,Incomplete,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,2,Liverpool,24,"['12b4f5e9-6b62-4019-aacd-661f841b8fef', '35dd9461-0099-4663-804d-baacaf9f8d9a']",15,,,,,,,,,,,,,,,,,Liverpool,24,00:00:15.498,Pass,
,,,,,,,,,,,,,,,,0.843336,,,,,,,,,,,,,5e1043bd-0fb6-47c1-b29d-5c22c7fcf6ee,27,,"[48.0, 58.9]",3754212,0,,,,1.9724796,,Right Foot,,,"[43.2, 70.2]",,Ground Pass,,12.277215,,,,James Philip Milner,3473.0,,,,,,Recovery,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,2,Liverpool,24,['0cf6c975-2d1c-4c3c-9814-07a501cb7306'],21,,,,,,,,,,,,,,,,,Liverpool,24,00:00:21.957,Pass,
,,,,,,,,,,,,,,,,1.722232,,,,,,,,,,,,,67a041e1-9eb5-45f4-b8f2-356b0b186d0d,30,,"[43.2, 70.2]",3754212,0,,,,0.4369279,,Right Foot,,,"[61.4, 78.7]",,Ground Pass,,20.08706,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Defensive Midfield,2,Liverpool,24,['b72501b2-0936-4a60-a04f-9bd5f77b5953'],23,,,,,,,,,,,,,,,,,Liverpool,24,00:00:23.829,Pass,
,,,,,,,,,,,,,,,,0.881134,,,,,,,,,,,,,85f341a9-2cc1-46f4-a205-0077ebfb7e2c,33,,"[78.2, 72.5]",3754212,0,,,,2.6710722,,Right Foot,,,"[66.6, 78.4]",,Ground Pass,,13.014223,,,,James Philip Milner,3473.0,,,,,,,1,From Kick Off,Nathaniel Edwin Clyne,4590.0,Right Wing Back,2,Liverpool,24,['748e55e0-d7dd-4c27-832d-de7b75aff2bc'],29,,,,,,,,,,,,,,,,,Liverpool,24,00:00:29.141,Pass,
,,,,,,,,,,,,,,,,1.730979,,,,,,,,,,,,,2c965d57-62f5-4082-b10c-e362baa20a05,36,,"[65.4, 76.0]",3754212,0,,,,-2.151649,,Right Foot,,,"[50.5, 53.3]",,Ground Pass,,27.153269,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Defensive Midfield,2,Liverpool,24,['5d182f3f-46db-4271-bace-3a6e976d18f4'],31,,,,,,,,,,,,,,,,,Liverpool,24,00:00:31.107,Pass,
,,,,,,,,,,,,,,,,1.272852,,,,,,,,,,,,,4911fd17-69de-4023-81ee-16775f7825d3,39,,"[50.5, 51.6]",3754212,0,,,,-1.1044677,,Right Foot,,,"[58.0, 36.7]",,Ground Pass,,16.681128,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Center Back,2,Liverpool,24,['f050b3f4-695a-49a8-9dea-6e99294a091f'],33,,,,,,,,,,,,,,,,,Liverpool,24,00:00:33.590,Pass,
,,,,,,,,,,,,,,,,1.6069,,,,,,,,,,,,,06c38f69-da41-417c-8a8d-5a0ea8ae71ec,42,,"[64.1, 35.5]",3754212,0,,,,-1.1773983,,Right Foot,,,"[76.8, 4.9]",,Ground Pass,,33.130802,,,,Alberto Moreno Pérez,3515.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,['3ad81a6a-9c42-451e-ac7c-c8cccd4cfc1c'],36,,,,,,,,,,,,,,,,,Liverpool,24,00:00:36.240,Pass,
,,,,,,,,,,,,,,,,1.447593,,,,,,,,,,,,,a9850ba4-5342-4756-8164-9d04c0332675,45,,"[76.8, 5.8]",3754212,0,,,,1.8576597,,Left Foot,,,"[70.9, 25.8]",,Ground Pass,,20.852098,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Alberto Moreno Pérez,3515.0,Left Wing Back,2,Liverpool,24,['3d03c787-8e28-4ff8-9bf2-2b8cde5f4196'],39,,,,,,,,,,,,,,,,,Liverpool,24,00:00:39.108,Pass,
,,,,,,,,,,,,,,,,1.146374,,,,,,,,,,,,,852e6464-6980-4f7f-8be3-fe6a37b60ccb,48,,"[68.0, 28.5]",3754212,0,,,,2.1948195,,Right Foot,,,"[55.4, 46.0]",,Ground Pass,,21.56409,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,['07063201-94c8-48cd-adcc-a42419ccc385'],42,,,,,,,,,,,,,,,,,Liverpool,24,00:00:42.246,Pass,
