ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.052291,,,,,,,,,,,,,,abb65d2b-dcb4-4e00-9143-e949598f7bf8,1758,,"[79.7, 12.3]",3754342,45,,,,True,0.8065218,,,,,,"[93.6, 26.8]",,High Pass,,20.086313,,,Incomplete,,,,,,,,,,2,From Kick Off,Troy Deeney,3454.0,Left Center Forward,78,Watford,23,"['602bb3c0-7e5e-4506-ac85-23f5df33bd85', 'bdc4e42a-07b0-476b-b1dc-d169884712e8']",6,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:06.845,Pass,True
,,,,,,,,,,,,,,,1.282502,,,,,,,,,,,,,,8037990f-611d-4aa4-aad0-d307eb2cd225,1760,,"[72.5, 34.6]",3754342,45,,,,,0.14373867,,Right Foot,,,,"[80.1, 35.7]",,Low Pass,,7.6791925,,,Incomplete,,Mario Suárez Mata,23488.0,,,,,,Recovery,2,From Kick Off,Almen Abdi,43081.0,Right Midfield,78,Watford,23,"['e9cfb8e2-399f-44c3-9825-0e414aa50fe6', 'fd4cca73-0c1b-4fae-96a8-ed54a63b7349']",10,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:10.775,Pass,
,,,,,,,,,,,,,,,1.152954,,,,,,,,,,,,,,4f088432-924e-4556-a820-844596c81e8a,1765,,"[40.1, 48.6]",3754342,45,,,,,0.8492647,,Right Foot,,,,"[56.2, 66.9]",,Ground Pass,,24.374166,,,,,Oluwaseyi Babajide Ojo,13200.0,,,,,,,2,From Kick Off,Kevin Linford Stewart,11992.0,Right Defensive Midfield,78,Watford,23,['77142ab5-7afe-4b17-8e99-fc06d5f5b0d6'],13,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:13.563,Pass,
,,,,,,,,,,,,,,,0.53994,,,,,,,,,,,,,,86ca6fe1-0c8a-44e7-85ed-dbf998d9bd9a,1772,,"[59.0, 20.4]",3754342,45,,,,,1.5707964,,Right Foot,,,,"[59.0, 28.8]",,Ground Pass,,8.4,,,,,Mario Suárez Mata,23488.0,,,,,,,2,From Kick Off,José Manuel Jurado Marín,6870.0,Left Midfield,78,Watford,23,['417a8bbe-3b9b-4fcd-b536-be6433094163'],19,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:19.028,Pass,
,,,,,,,,,,,,,,,1.861591,,,,,,,,,,,,,,225ceef2-95b8-4459-a8e6-756fbb332143,1775,,"[59.0, 28.8]",3754342,45,,,,,-1.941459,,Right Foot,,,,"[50.8, 7.7]",,High Pass,,22.637358,,,,,Ikechi Anya,40118.0,,,,,,,2,From Kick Off,Mario Suárez Mata,23488.0,Right Defensive Midfield,78,Watford,23,['7c88fba8-d3b9-474d-8e17-f4e2245fdb7d'],19,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:19.637,Pass,
,,,,,,,,,,,,,,,1.040883,,,,,,,,,,,,,,f54becff-02a7-4d0b-b7c9-f187a32ca229,1779,,"[50.8, 7.7]",3754342,45,,,,,0.10362746,,Left Foot,,,,"[63.3, 9.0]",,Ground Pass,,12.567418,,,,,José Manuel Jurado Marín,6870.0,,,,,,,2,From Kick Off,Ikechi Anya,40118.0,Left Back,78,Watford,23,"['62b2f852-87b0-4ec2-8a51-0e8e09b63bff', '80dba3cf-62fa-4348-830c-aaf1a0bbb6f2']",22,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:22.755,Pass,True
,,,,,,,,,,,,,,,0.57991,,,,,,,,,,,,,,6c0b2b0c-74d3-418c-bec2-0ca0141fd92d,1783,,"[63.6, 9.1]",3754342,45,,,,,2.454971,,Left Foot,,,,"[57.5, 14.1]",,Ground Pass,,7.8873315,,,,,Ikechi Anya,40118.0,,,,,,,2,From Kick Off,José Manuel Jurado Marín,6870.0,Left Midfield,78,Watford,23,"['161c4a0f-7af6-4def-b754-17873cc8e4e2', '572fcdb0-2cfb-4f54-b818-d9f9bb2eefca']",23,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:23.923,Pass,True
,,,,,,,,,,,,,,,1.525863,,,,,,,,,,,,,,db04bc2d-28a2-4566-8b4f-481cd6c3cb06,1789,,"[59.0, 15.1]",3754342,45,,,,,-0.4048918,,Right Foot,,,,"[75.8, 7.9]",,Ground Pass,,18.277855,,,,,José Manuel Jurado Marín,6870.0,,,,,,,2,From Kick Off,Ikechi Anya,40118.0,Left Back,78,Watford,23,['1db1fca6-95a1-4636-be35-d9c00517b283'],25,,,,,,,,,,,,,,,,,,,,Watford,23,00:00:25.474,Pass,
,,,,,,,,,,,,,,,0.957364,,,,,,,,,,,,,,fe92b05b-105d-4650-8910-df57f78756d8,1805,,"[56.2, 53.1]",3754342,45,,,,,-0.39194754,,Left Foot,,,,"[71.2, 46.9]",,Ground Pass,,16.230835,,,,,Christian Benteke Liolo,3380.0,,,,,,,2,Regular Play,Oluwaseyi Babajide Ojo,13200.0,Right Wing,79,Liverpool,24,['7e39aad8-2469-420c-aebe-d1123c75d6f3'],35,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:35.189,Pass,
,,,,,,,,,,,,,,,0.08088,,,,,,,,,,,,,,5a1731e8-9a50-4207-b7c6-1db9f8b04e3b,1809,,"[70.9, 46.3]",3754342,45,,,,,-1.2679114,,Right Foot,,,,"[71.4, 44.7]",,Ground Pass,,1.6763054,,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,,2,Regular Play,Christian Benteke Liolo,3380.0,Center Forward,79,Liverpool,24,"['4033000a-37a0-4df5-aa0d-04de04893229', '4b2ef053-2633-4876-a521-7cc967970b1f', '6fe17e63-76f6-4928-9060-d853342eae00', 'edf3c198-6529-445b-94d0-814140507726']",36,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:36.146,Pass,True
