ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,2.846714,,,,,,,,,,,,,,,ec8a7e32-d4b4-4b99-868e-12bde62d261f,14,,"[41.2, 5.4]",3753985,0,,,,,0.16977827,,Head,,,,"[51.7, 7.2]",,High Pass,,10.653169,,Incomplete,,,,,,,,,,1,From Kick Off,Ibrahim Afellay,4891.0,Left Wing,2,Liverpool,24,['3921359f-80ab-46d1-ba8a-71410901ae51'],7,,,,,,,,,,,,,,,,,Stoke City,30,00:00:07.789,Pass,
,,,,,,,,,,,,,1.365938,,,,,,,,,,,,,,,3921359f-80ab-46d1-ba8a-71410901ae51,15,,"[68.4, 72.9]",3753985,0,,,,,-0.57852423,,Left Foot,,,,"[88.0, 60.1]",,High Pass,,23.409399,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Nathaniel Edwin Clyne,4590.0,Right Back,2,Liverpool,24,"['5ecc4c2d-f9e1-46dd-970e-6f0a8acafca7', 'ec8a7e32-d4b4-4b99-868e-12bde62d261f']",10,,,,,,,,,,,,,,,,,Liverpool,24,00:00:10.636,Pass,
,,,,,,,,,,,,,2.938024,,,,,,,,,,,,,,,5ecc4c2d-f9e1-46dd-970e-6f0a8acafca7,16,,"[32.1, 20.0]",3753985,0,,,,,0.46001565,,Head,,,,"[65.2, 36.4]",,High Pass,,36.940086,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Marc Muniesa Martínez,6560.0,Left Center Back,2,Liverpool,24,"['3921359f-80ab-46d1-ba8a-71410901ae51', '5af3be2f-3d30-4f10-aec7-11c78d722fd1']",12,,,,,,,,,,,,,,,,,Stoke City,30,00:00:12.002,Pass,
,,,,,,,,,,,,,0.819997,,,,,,,,,,,,,,,2513e301-9f7f-4e8c-a9e1-aa8d350d8b00,19,,"[55.1, 39.1]",3753985,0,,,,,-0.5947593,,Left Foot,,,,"[68.7, 29.9]",,Ground Pass,,16.4195,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Joe Gomez,3495.0,Left Back,2,Liverpool,24,['503155a6-7444-4ea4-8f63-27270a0aaa36'],17,,,,,,,,,,,,,,,,,Liverpool,24,00:00:17.200,Pass,
,,,,,,,,,,,,,0.59999,,,,,,,,,,,,,,,20532a59-ace1-4318-9f1e-f34e305668a4,23,,"[67.8, 28.2]",3753985,0,,,,,-0.12591262,,Right Foot,,,,"[75.7, 27.2]",,Ground Pass,,7.9630394,,,,Adam David Lallana,4090.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,"['5319d65f-7338-4525-81b6-7185e2bf501f', '5996ed27-d1a9-441e-a788-276f2ab98e25']",18,,,,,,,,,,,,,,,,,Liverpool,24,00:00:18.108,Pass,True
,,,,,,,,,,,,,0.584883,,,,,,,,,,,,,,,a2fe49a5-9a3e-448a-a0b5-87b0079e4afe,25,,"[75.7, 27.8]",3753985,0,,,,,-2.4110844,,Right Foot,,,,"[70.9, 23.5]",,Ground Pass,,6.4443774,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Adam David Lallana,4090.0,Left Wing,2,Liverpool,24,['238d581e-4d5f-42fe-bbce-509ca37a4d8f'],18,,,,,,,,,,,,,,,,,Liverpool,24,00:00:18.708,Pass,
,,,,,,,,,,,,,0.974731,,,,,,,,,,,,,,,2a2b0b03-a078-469a-b1bc-bcbf87a39c5b,27,,"[71.5, 23.5]",3753985,0,,,,,0.8040295,,Right Foot,,,,"[79.4, 31.7]",,Ground Pass,,11.386395,,,,Adam David Lallana,4090.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,['5ef3c5cf-45fa-45e3-a2e5-f40967118752'],19,,,,,,,,,,,,,,,,,Liverpool,24,00:00:19.292,Pass,
,,,,,,,,,,,,,1.140073,,,,,,,,,,,,,,,1569eede-2bc8-4e29-97c4-53d9ed19a504,31,,"[79.8, 34.8]",3753985,0,,,,,1.2153506,,Right Foot,,,,"[84.7, 48.0]",,Ground Pass,,14.080128,,,,James Philip Milner,3473.0,,,,,,,1,From Kick Off,Adam David Lallana,4090.0,Left Wing,2,Liverpool,24,"['763c9b47-592e-4cd1-b75d-12a189f371b8', '9660de2c-cf81-4f2d-a7c2-85361d1fed2d']",20,,,,,,,,,,,,,,,,,Liverpool,24,00:00:20.338,Pass,True
,,,,,,,,,,,,,1.916658,,,,,,,,,,,,,,,4c51fedd-927b-4cbf-86a4-18c5fd37f7d2,35,,"[85.9, 49.0]",3753985,0,,,,,-0.9946777,,Right Foot,,,,"[103.7, 21.6]",,High Pass,,32.67415,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Defensive Midfield,2,Liverpool,24,"['3797637c-af9d-46d6-91fa-628f90305868', 'a5e8b417-7bc2-49a8-8b65-e9e7b83e0b7d']",22,,,,,,,,,,,,,,,,,Liverpool,24,00:00:22.144,Pass,True
,,,,,,,,,,,,,0.615361,,,,,,,,,,,,,,,0a707030-ed20-4049-beea-8b7f97b91dd2,42,,"[99.5, 26.2]",3753985,0,,,,,0.25326577,,Right Foot,,,,"[108.0, 28.4]",,Ground Pass,,8.780091,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,"['155f5769-d825-48be-bf2e-c1bf0c5c68cf', '4aa2655b-596e-4dcd-8b02-efc9c00f07c1', '73b26763-6674-453d-b0fa-c96ea36c88fa']",28,,,,,,,,,,,,,,,,,Liverpool,24,00:00:28.286,Pass,True
