50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.807087,,,,,,,,,,,,,,afd9c7f5-cd4d-4a20-bc80-ee5217e15a2a,20,,"[20.4, 7.4]",3754003,0,,,,,0.16150239,,Left Foot,,,,"[56.0, 13.2]",,High Pass,,36.069378,,,,Marouane Fellaini-Bakkioui,3296.0,,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Liverpool,24,['d64a3ec8-36b8-4600-8c0c-61a41c44b5d2'],18,,,,,,,,,,,,,,,,Manchester United,39,00:00:18.936,Pass,
,,,,,,,,,,,,,,,1.137963,,,,,,,,,,,,,,77d51324-199b-4fee-ab88-f0c5040c5c13,24,,"[55.6, 13.8]",3754003,0,,,,,-2.4048047,,Right Foot,,,,"[45.9, 5.0]",,Low Pass,,13.096946,,Incomplete,,Memphis Depay,2988.0,,,,,,,1,From Kick Off,Marouane Fellaini-Bakkioui,3296.0,Center Forward,2,Liverpool,24,"['1d84d2cb-3a9f-4e94-b2cc-f80437e02995', 'ae6853b3-eb41-4d1e-ae2a-c2bb5e7d5b54']",21,,,,,,,,,,,,,,,,Manchester United,39,00:00:21.027,Pass,
,,,,,,,,,,,,,,,0.443455,,,,,,,,,,,,,,050e4856-f143-49ec-8dac-54b8b768de78,29,,"[71.5, 75.1]",3754003,0,,,,,0.21773174,,Right Foot,,,,"[82.8, 77.6]",,Ground Pass,,11.573245,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,From Kick Off,James Philip Milner,3473.0,Right Center Midfield,2,Liverpool,24,['11fd34d2-ac4f-45b7-bd94-c91396cbfb80'],23,,,,,,,,,,,,,,,,Liverpool,24,00:00:23.288,Pass,
,,,,,,,,,,,,,,,0.48391,,,,,,,,,,,,,,40da669f-2eeb-4aa4-9ca1-d0bbdd00da61,32,,"[82.6, 68.4]",3754003,0,,,,,-0.637961,,Right Foot,,,,"[88.4, 64.1]",,Ground Pass,,7.220111,,,,Christian Benteke Liolo,3380.0,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Right Wing,2,Liverpool,24,['cad19315-333a-461c-9068-fe9cf5fd1403'],25,,,,,,,,,,,,,,,,Liverpool,24,00:00:25.420,Pass,
,,,,,,,,,,,,,,,1.262809,,,,,,,,,,,,,,a235c31b-a081-41b1-88e8-5e8b3a43174f,35,,"[88.4, 64.1]",3754003,0,,,,,1.3782433,,Left Foot,,,,"[91.5, 80.0]",,Ground Pass,,16.199383,,Out,,James Philip Milner,3473.0,,,,,,,1,From Kick Off,Christian Benteke Liolo,3380.0,Center Forward,2,Liverpool,24,['8164d248-1340-40a0-b20b-7f08e18cc8af'],26,,,,,,,,,,,,,,,,Liverpool,24,00:00:26.006,Pass,
,,,,,,,,,,,,,,,1.920473,,,,,,,,,,,,,,d4fa687c-9938-4a0c-bdbf-9348aad50fec,37,,"[30.1, 0.1]",3754003,0,,True,,,0.29527503,,,,,,"[54.1, 7.4]",,High Pass,,25.085653,,Incomplete,,Marouane Fellaini-Bakkioui,3296.0,,,,,,Throw-in,1,From Throw In,Luke Shaw,3382.0,Left Back,3,Manchester United,39,"['8393fad8-5e02-4c46-b19a-3095070ecc60', 'd3025d6d-3bda-47ea-be42-b801340b2c3c']",37,,,,,,,,,,,,,,,,Manchester United,39,00:00:37.868,Pass,
,,,,,,,,,,,,,,,0.751145,,,,,,,,,,,,,,8393fad8-5e02-4c46-b19a-3095070ecc60,39,,"[66.0, 72.7]",3754003,0,,,,,0.054990374,,Head,,,,"[76.9, 73.3]",,High Pass,,10.916501,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,3,Manchester United,39,"['6f9c1386-c782-4f7e-a581-9ac9dbae2446', 'd4fa687c-9938-4a0c-bdbf-9348aad50fec']",39,,,,,,,,,,,,,,,,Liverpool,24,00:00:39.789,Pass,
,,,,,,,,,,,,,,,0.79858,,,,,,,,,,,,,,6f9c1386-c782-4f7e-a581-9ac9dbae2446,40,,"[43.2, 6.8]",3754003,0,,,,,0.42225116,,Head,,,,"[57.0, 13.0]",,Low Pass,,15.12878,,,,Marouane Fellaini-Bakkioui,3296.0,,,,,,Recovery,1,From Throw In,Bastian Schweinsteiger,18414.0,Left Defensive Midfield,3,Manchester United,39,"['3a33d260-4a42-4802-9f09-92b41f5ebf56', '8393fad8-5e02-4c46-b19a-3095070ecc60']",40,,,,,,,,,,,,,,,,Manchester United,39,00:00:40.540,Pass,
,,,,,,,,,,,,,,,1.388879,,,,,,,,,,,,,,91a665d6-26ae-42ec-816e-ee84e4be213a,44,,"[50.8, 52.5]",3754003,0,,,,,-0.63565046,,Left Foot,,,,"[67.2, 40.4]",,Ground Pass,,20.380629,,,,Daniel William John Ings,3654.0,,,,,,Recovery,1,Regular Play,Dejan Lovren,3471.0,Left Center Back,4,Liverpool,24,['73deeec8-8815-431a-bdf5-fe399f0e5405'],43,,,,,,,,,,,,,,,,Liverpool,24,00:00:43.088,Pass,
,,,,,,,,,,,,,,,1.541047,,,,,,,,,,,,,,09dac04b-43a1-437b-b037-e56d1ead0b34,47,,"[69.9, 45.6]",3754003,0,,,,,1.7423776,,Right Foot,,,,"[65.1, 73.3]",,Ground Pass,,28.112808,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,Regular Play,Daniel William John Ings,3654.0,Left Wing,4,Liverpool,24,['28ed14a2-84ee-408b-a797-a85dfaf214b9'],46,,,,,,,,,,,,,,,,Liverpool,24,00:00:46.565,Pass,
