50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.208141,,,,,,,,,9bddd10b-5f60-4bba-a9a9-83b893201d96,1771,,"[86.0, 75.5]",3754051,51,,,,,-2.8809903,,Right Foot,,,"[75.5, 72.7]",,Ground Pass,,10.866922,,,,Nathaniel Edwin Clyne,4590.0,,,,,,2,From Throw In,Jordan Brian Henderson,3532.0,Right Center Midfield,117,Liverpool,24,"['2ad530cc-3ff3-4a23-bf95-55f648355e4e', '7cba8990-5ea6-4dfe-9aaf-bfa11e74ef3f']",51,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:51.250,Pass,True
,,,,,,,,,,,,,,,,1.026129,,,,,,,,,a75cdc59-a7ad-4fff-9e55-460149e5b7f5,1774,,"[75.5, 72.7]",3754051,51,,,,,-0.7730531,,Right Foot,,,"[83.7, 64.7]",,Ground Pass,,11.456003,,,,Emre Can,3493.0,,,,,,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,117,Liverpool,24,['bd000708-f1d6-42ba-b6c3-95b4a38659e0'],52,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:52.893,Pass,
,,,,,,,,,,,,,,,,3.476357,,,,,,,,,0d33be34-4a64-4255-9769-51fa6a88fe9f,1776,,"[83.7, 64.7]",3754051,51,,,,,0.020768527,,Right Foot,,,"[117.4, 65.4]",,High Pass,,33.707268,,,,Jordan Brian Henderson,3532.0,,,,,,2,From Throw In,Emre Can,3493.0,Center Defensive Midfield,117,Liverpool,24,['1c542dbe-8161-4579-af95-d39029231239'],53,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:53.919,Pass,
,,,,,,,,,,,,,,,,2.394462,,,,,,,,,84143fe5-eb39-445f-bfa4-3d1acd87dd9b,1778,,"[117.4, 65.4]",3754051,51,,,,,-1.7961389,,Right Foot,True,,"[110.5, 35.3]",,High Pass,,30.88074,,Incomplete,,,,,,,,,2,From Throw In,Jordan Brian Henderson,3532.0,Right Center Midfield,117,Liverpool,24,['608af92c-c976-414d-897b-ee323d7ab21a'],57,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:57.395,Pass,
,,,,,,,,,,,,,,,,1.256496,,,,,,,,,1979e7e8-9c09-4cb5-ad53-5b1b8d0c500b,1782,,"[105.6, 10.3]",3754051,52,,,,,1.3574277,,Left Foot,True,,"[110.8, 34.3]",,High Pass,,24.556873,,Incomplete,,,,,,,,,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,117,Liverpool,24,['36ee4879-19f2-41bc-8cff-2a5d89eeeaf5'],2,,,,,,,,,,,,,,,,,,Liverpool,24,00:07:02.861,Pass,
,,,,,,,,,,,,,,,,0.892409,,,,,,,,,8aecf982-e1ae-409d-93a4-b763dd76226b,1785,,"[19.2, 44.1]",3754051,52,,,,,-0.11065722,,Head,,,"[30.0, 42.9]",,Low Pass,,10.866462,,,,Odion Jude Ighalo,5458.0,,,,,Recovery,2,From Throw In,Etienne Capoue,3721.0,Right Defensive Midfield,117,Liverpool,24,['5677519d-a11d-49f2-a683-34b997595768'],6,,,,,,,,,,,,,,,,,,Watford,23,00:07:06.391,Pass,
,,,,,,,,,,,,,,,,1.440387,,,,,,,,,11c161c7-3847-4558-8c3c-e342d602a665,1788,,"[29.3, 41.3]",3754051,52,,,,,-0.65598845,,Left Foot,,,"[45.8, 28.6]",,High Pass,,20.821623,,Incomplete,,Troy Deeney,3454.0,,,,,,2,From Throw In,Odion Jude Ighalo,5458.0,Left Center Forward,117,Liverpool,24,"['8410033c-2523-4186-894d-ea08a6237f3a', '9c56e9ea-1343-4dc9-9d93-e6089a0e11a6', 'ea80c304-41e8-4e11-b5e3-41fa5dede0cc']",7,,,,,,,,,,,,,,,,,,Watford,23,00:07:07.283,Pass,True
,,,,,,,,,,,,,,,,3.198377,,,,,,,,,8410033c-2523-4186-894d-ea08a6237f3a,1790,,"[74.3, 51.5]",3754051,52,,,,,-2.558713,,Right Foot,,,"[51.7, 36.6]",,Ground Pass,,27.069725,,,,Mamadou Sakho,3483.0,,,,,Recovery,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,117,Liverpool,24,"['11c161c7-3847-4558-8c3c-e342d602a665', 'b784f4b5-1b4f-405a-90be-effd9e7ddac2']",8,,,,,,,,,,,,,,,,,,Liverpool,24,00:07:08.724,Pass,
,,,,,,,,,,,,,,,,2.678804,,,,,,,,,ca0a0bcd-f7da-4ed8-904c-1e422b4c4399,1802,,"[70.0, 49.8]",3754051,52,,,,,-0.025635408,,Right Foot,,,"[109.0, 48.8]",,Ground Pass,,39.012817,,Incomplete,,Odion Jude Ighalo,5458.0,,,Through Ball,True,,2,From Throw In,Troy Deeney,3454.0,Right Center Forward,117,Liverpool,24,"['1c95436c-6e86-4245-a1bc-0233a2857e4b', '599b7de8-20ca-44fc-af44-f3b286f2bcf3']",17,,,,,,,,,,,,,,,,,,Watford,23,00:07:17.361,Pass,
,,,,,,,,,,,,,,,,0.752882,,,,,,,,,29900071-b0d3-4dd9-bff0-112fea0878a3,1806,,"[11.7, 29.8]",3754051,52,,True,,,-0.9138017,,Keeper Arm,,,"[28.9, 7.5]",,Ground Pass,,28.162563,,,,Alberto Moreno Pérez,3515.0,,,,,,2,From Throw In,Ádám Bogdán,9985.0,Goalkeeper,117,Liverpool,24,['88f32038-6fd8-4901-9410-72ecfe47d6a7'],25,,,,,,,,,,,,,,,,,,Liverpool,24,00:07:25.471,Pass,
