50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.956478,,,,,,,,,,,,,,,96e88a54-67a3-4e12-91d6-81898ea7410f,15,,"[15.0, 68.2]",3754348,0,,,,,0.86630225,,Right Foot,,,"[21.8, 76.2]",,Ground Pass,,10.499524,,,Nathaniel Edwin Clyne,4590.0,,,,,Recovery,1,From Kick Off,Kolo Habib Touré,38412.0,Right Center Back,2,Norwich City,56,"['894fc1c0-0503-4b9c-8d2a-c657819d49ce', '9d7792f2-90cf-4c4d-9ea0-827f28e71a7a']",8,,,,,,,,,,,,,,,,Liverpool,24,00:00:08.765,Pass,
,,,,,,,,,,,,,,,,,,0.087166,,,,,,,,,,,,,,,b18d85f3-b5d8-46b0-a83c-20d9eaed3027,24,,"[7.4, 71.8]",3754348,0,,,,,0.16514868,,Right Foot,,,"[11.0, 72.4]",,Low Pass,,3.6496575,,Incomplete,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Kick Off,Kolo Habib Touré,38412.0,Right Center Back,2,Norwich City,56,"['0a4e720b-ee40-4a43-8c26-3419ae684fc0', '377e7a8f-76c2-415f-8a88-b707e51aaa58', '51916fba-aabc-4019-afcc-e7b12e5a3d35']",12,,,,,,,,,,,,,,,,Liverpool,24,00:00:12.754,Pass,True
,,,,,,,,,,,,,,,,,,1.79811,,,,,,,,,,,,,,,bd41687d-f9b8-4a70-8644-1761d271cfaf,27,,"[9.0, 80.0]",3754348,0,,,,,-0.20152777,,,,,"[27.6, 76.2]",,High Pass,,18.984203,,Incomplete,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,3,Liverpool,24,"['26c26d26-21da-45c2-8ea6-182d91337a98', '5cf46a57-06df-4d1f-9d9f-ae6228102909']",29,,,,,,,,,,,,,,,,Liverpool,24,00:00:29.150,Pass,
,,,,,,,,,,,,,,,,,,1.530139,,,,,,,,,,,,,,,5cf46a57-06df-4d1f-9d9f-ae6228102909,29,,"[92.5, 3.9]",3754348,0,,,,,1.5707964,,Head,,,"[92.5, 13.5]",,High Pass,,9.6,,Incomplete,Jonathan Howson,9578.0,,,,,Interception,1,From Throw In,Wes Hoolahan,10966.0,Left Midfield,3,Liverpool,24,"['a8cfa1e4-f361-414d-b119-95df78c9d21f', 'bd41687d-f9b8-4a70-8644-1761d271cfaf', 'cd9e27ab-bfce-4268-b73a-77622018764c']",30,,,,,,,,,,,,,,,,Norwich City,56,00:00:30.948,Pass,
,,,,,,,,,,,,,,,,,,1.78391,,,,,,,,,,,,,,,cd9e27ab-bfce-4268-b73a-77622018764c,31,,"[27.6, 66.6]",3754348,0,,,,True,-0.16162136,,,,,"[46.0, 63.6]",,High Pass,,18.642962,,Incomplete,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,Recovery,1,From Throw In,Jordan Brian Henderson,3532.0,Right Center Midfield,3,Liverpool,24,"['19f5ad2a-8d07-4553-aaea-8fbdd7e237e9', '5cf46a57-06df-4d1f-9d9f-ae6228102909', 'a473580e-32c3-402b-a9c5-41ddc41a7c49', 'e1990dd7-99a3-4362-b88b-2a3ab42f990d']",32,,,,,,,,,,,,,,,,Liverpool,24,00:00:32.478,Pass,True
,,,,,,,,,,,,,,,,,,2.014685,,,,,,,,,,,,,,,34c5bc6c-dbdb-4d6d-a9b8-7f53cb6d7f68,37,,"[74.6, 15.9]",3754348,0,,,,,-2.99147,,Right Foot,,,"[50.8, 12.3]",,Ground Pass,,24.070728,,,Russell Martin,21212.0,,,,,,1,Regular Play,Graham Dorrans,16334.0,Right Defensive Midfield,4,Norwich City,56,['7bf45407-3be2-4195-8daa-4642bbbe5674'],34,,,,,,,,,,,,,,,,Norwich City,56,00:00:34.838,Pass,
,,,,,,,,,,,,,,,,,,3.38336,,,,,,,,,,,,,,,e22ed8b7-3160-4db0-ac27-f340ed3cec7f,40,,"[46.4, 17.1]",3754348,0,,,,,2.5651014,,Right Foot,,,"[16.1, 36.8]",,Ground Pass,,36.141113,,,Declan Rudd,9014.0,,,,,,1,Regular Play,Russell Martin,21212.0,Right Center Back,4,Norwich City,56,['7f158f3b-f1fc-4bbc-8528-6e1f1a3b7a13'],38,,,,,,,,,,,,,,,,Norwich City,56,00:00:38.130,Pass,
,,,,,,,,,,,,,,,,,,2.444026,,,,,,,,,,,,,,,f8323b2a-308b-4fde-9bd1-249d3ce72db1,43,,"[16.0, 43.4]",3754348,0,,,,,-0.9818368,,Right Foot,,,"[32.1, 19.3]",,Ground Pass,,28.983099,,,Sébastien Aymar Bassong Nguena,31296.0,,,,,,1,Regular Play,Declan Rudd,9014.0,Goalkeeper,4,Norwich City,56,['675251b1-8cfc-44d2-871f-b99373c596ba'],43,,,,,,,,,,,,,,,,Norwich City,56,00:00:43.971,Pass,
,,,,,,,,,,,,,,,,,,4.293911,,,,,,,,,,,,,,,160cb05c-67fe-4646-ba23-c7e9c9fbe106,46,,"[55.4, 8.0]",3754348,0,,,,,0.23873606,,Left Foot,,,"[115.8, 22.7]",,High Pass,,62.163094,,Incomplete,Dieumerci Mbokani Bezua,23663.0,,,,,,1,Regular Play,Sébastien Aymar Bassong Nguena,31296.0,Left Center Back,4,Norwich City,56,"['2fd04113-5bab-4760-8dae-d6cd55381191', 'b5385ef8-f551-492f-9740-493c952b0f42']",50,,,,,,,,,,,,,,,,Norwich City,56,00:00:50.134,Pass,
,,,,,,,,,,,,,,,,,,3.30132,,,,,,,,,,,,,,,e21106aa-48be-4672-8b7b-1a0f5530ddf1,50,,"[24.3, 42.3]",3754348,1,,,,,0.55458623,,Right Foot,,,"[73.7, 72.9]",,High Pass,,58.10955,,Incomplete,James Philip Milner,3473.0,,,,,,1,Regular Play,Simon Mignolet,3539.0,Goalkeeper,5,Liverpool,24,"['599d4f10-90ab-450c-958a-3f57ff2be7d9', 'c37b430b-d7b5-4d04-8fdf-c6fd15d9a5d7']",13,,,,,,,,,,,,,,,,Liverpool,24,00:01:13.172,Pass,
