bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.241856,,,,,,,,,,,,,37713070-7ffd-40da-b666-f5c0a1f37f67,17,,,"[69.2, 57.9]",3753984,0,,,,,-0.48995733,,Right Foot,,,,"[91.7, 45.9]",,Ground Pass,25.5,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Right Wing,2,Liverpool,24,"['0f060715-d7a3-4470-bc1c-aac342ec32a5', '43bb5758-f3db-4c68-8ad7-724e1bd7d714']",12,,,,,,,,,,,,,,,,Liverpool,24,00:00:12.262,Pass,
,,,,,,,,,,,,,,1.809044,,,,,,,,,,,,,43bb5758-f3db-4c68-8ad7-724e1bd7d714,19,,,"[28.4, 34.2]",3753984,0,,,,,0.19894594,,Right Foot,,,,"[53.2, 39.2]",,Ground Pass,25.299011,,Incomplete,,Cheikhou Kouyaté,3684.0,,,,,,Recovery,1,From Kick Off,Winston Reid,4280.0,Right Center Back,2,Liverpool,24,"['37713070-7ffd-40da-b666-f5c0a1f37f67', '910de2dc-0fa0-4ceb-8b93-276d33d047f5', 'ee960d62-b185-4c64-a75c-fe23785c712b']",13,,,,,,,,,,,,,,,,West Ham United,40,00:00:13.504,Pass,
,,,,,,,,,,,,,,2.132053,,,,,,,,,,,,,ee960d62-b185-4c64-a75c-fe23785c712b,21,,,"[66.9, 40.9]",3753984,0,,,,,-1.8977824,,Right Foot,,,,"[57.2, 12.3]",,Ground Pass,30.200165,,,,Joe Gomez,3495.0,,,,,,Recovery,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,2,Liverpool,24,"['1371da60-eeae-48a8-86e4-409098ad6172', '43bb5758-f3db-4c68-8ad7-724e1bd7d714']",15,,,,,,,,,,,,,,,,Liverpool,24,00:00:15.313,Pass,
,,,,,,,,,,,,,,0.900394,,,,,,,,,,,,,6a256cd9-9537-4f63-ac39-a7f2d7c1ad5d,24,,,"[56.4, 13.1]",3753984,0,,,,,1.6324465,,Right Foot,,,,"[55.4, 29.3]",,Ground Pass,16.230835,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Kick Off,Joe Gomez,3495.0,Left Back,2,Liverpool,24,['2b85a460-33a2-4086-9516-a4a4d9923281'],18,,,,,,,,,,,,,,,,Liverpool,24,00:00:18.536,Pass,
,,,,,,,,,,,,,,1.264534,,,,,,,,,,,,,41595c65-d2a7-46b2-96eb-0eb16af756f5,27,,,"[49.8, 28.1]",3753984,0,,,,,3.039013,,Right Foot,,,,"[36.2, 29.5]",,Ground Pass,13.671869,,,,Dejan Lovren,3471.0,,,,,,,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,2,Liverpool,24,['e447e320-989d-47a5-93fb-1f847e64e434'],20,,,,,,,,,,,,,,,,Liverpool,24,00:00:20.831,Pass,
,,,,,,,,,,,,,,2.034363,,,,,,,,,,,,,f2f6d14b-0bcf-4a2a-8be9-e21cdeed1f01,30,,,"[34.2, 30.6]",3753984,0,,,,,1.4025308,,Right Foot,,,,"[39.5, 61.8]",,Ground Pass,31.64696,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Left Center Back,2,Liverpool,24,['422fb35b-6eeb-4ed4-be0c-1e89f883d72f'],22,,,,,,,,,,,,,,,,Liverpool,24,00:00:22.899,Pass,
,,,,,,,,,,,,,,1.923564,,,,,,,,,,,,,6aaf87b4-dedd-4569-add7-d819467e2a8e,33,,,"[47.6, 60.7]",3753984,0,,,,,-1.7543039,,Right Foot,,,,"[40.9, 24.6]",,Ground Pass,36.71648,,,,Dejan Lovren,3471.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Right Center Back,2,Liverpool,24,['0490bf14-257d-41a3-adad-6a6265f2b896'],28,,,,,,,,,,,,,,,,Liverpool,24,00:00:28.753,Pass,
,,,,,,,,,,,,,,1.639899,,,,,,,,,,,,,1e195e3b-f7c2-4759-94cc-154fb54d37db,35,,,"[42.0, 23.4]",3753984,0,,,,,-0.9978302,,Right Foot,,,,"[52.0, 7.9]",,Ground Pass,18.445868,,,,Joe Gomez,3495.0,,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Left Center Back,2,Liverpool,24,['0122a52e-8fe7-46c5-b138-abd41daa0c43'],30,,,,,,,,,,,,,,,,Liverpool,24,00:00:30.677,Pass,
,,,,,,,,,,,,,,1.077475,,,,,,,,,,,,,ffcd6b5b-7fd0-4442-b7dc-01a92d30ae99,38,,,"[50.3, 9.3]",3753984,0,,,,,1.651503,,Right Foot,,,,"[49.2, 22.9]",,Ground Pass,13.644413,,,,James Philip Milner,3473.0,,,,,,,1,From Kick Off,Joe Gomez,3495.0,Left Back,2,Liverpool,24,['a7bdd91f-43f2-48d4-8425-673bfda8039d'],33,,,,,,,,,,,,,,,,Liverpool,24,00:00:33.563,Pass,
,,,,,,,,,,,,,,0.745757,,,,,,,,,,,,,1f7fa59b-69c0-49b9-8fd6-14fc60f1b728,41,,,"[56.4, 21.3]",3753984,0,,,,,-0.64987046,,Right Foot,,,,"[63.9, 15.6]",,Ground Pass,9.420191,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,James Philip Milner,3473.0,Left Center Midfield,2,Liverpool,24,['526baffa-8580-4a14-99ad-26a820d28622'],37,,,,,,,,,,,,,,,,Liverpool,24,00:00:37.221,Pass,
