ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.199081,,,,,,,,,,,,5456b868-33b3-4da3-8499-714a1384a82e,1670,,"[115.1, 25.9]",3754230,38,,,,,1.4024696,,Head,True,,"[117.7, 41.2]",,High Pass,,15.519342,,Incomplete,,,,,,,,,,1,From Corner,Virgil van Dijk,3669.0,Left Center Back,91,Southampton,25,['91f547a6-d6fd-426b-9775-c550409cf8f3'],44,,,,,,,,,,,,,,,,,,Southampton,25,00:38:44.937,Pass,
,,,,,,,,,,,,,,,,1.022515,,,,,,,,,,,,0a5b7dc2-4c6c-4e98-b92d-b7a74172139d,1673,,"[110.7, 20.6]",3754230,38,,,,True,1.3873163,,,True,,"[112.5, 30.3]",,High Pass,,9.865597,,Incomplete,,,,,,,,,Recovery,1,From Corner,Virgil van Dijk,3669.0,Left Center Back,91,Southampton,25,"['1d0bfe25-4a85-4d94-a120-ed2b5150aacb', '4904c4f7-419f-42bd-9f06-cb02d36701ef']",47,,,,,,,,,,,,,,,,,,Southampton,25,00:38:47.878,Pass,True
,,,,,,,,,,,,,,,,1.152417,,,,,,,,,,,,c1c79000-0cd6-4933-b890-a02e324f514d,1681,,"[105.4, 2.0]",3754230,38,,,,,2.1066077,,Right Foot,,,"[99.7, 11.6]",,Ground Pass,,11.164677,,,,Virgil van Dijk,3669.0,,,,,,,1,From Corner,Jordy Clasie,16181.0,Right Center Midfield,91,Southampton,25,['047e4be2-381b-44c4-b0c4-ef0d90efc508'],54,,,,,,,,,,,,,,,,,,Southampton,25,00:38:54.681,Pass,
,,,,,,,,,,,,,,,,0.053113,,,,,,,,,,,,d5a3a5d4-a56c-46c9-8621-bc128724c2ca,1689,,"[13.0, 76.1]",3754230,39,,,,,-0.29849893,,Right Foot,,,"[18.2, 74.5]",,Ground Pass,,5.440588,,Incomplete,,,,,,,,,,1,Regular Play,Adam David Lallana,4090.0,Right Attacking Midfield,92,Liverpool,24,['d4edddb7-c66e-460e-9f4a-9c67130580a1'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:00.431,Pass,
,,,,,,,,,,,,,,,,0.423414,,,,,,,,,,,,076d3990-17bf-490b-815e-1d51d37c1050,1691,,"[30.6, 80.0]",3754230,39,,True,,,-1.7204623,,,,,"[28.7, 67.4]",,Low Pass,,12.742449,,,,Martin Škrtel,18872.0,,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,93,Liverpool,24,['c952ba1a-3e83-4a39-a6cf-22b37a654550'],23,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:23.287,Pass,
,,,,,,,,,,,,,,,,2.405091,,,,,,,,,,,,a18b86a8-7100-47b0-bfa4-12a73a170f6c,1693,,"[28.7, 67.4]",3754230,39,,,,,0.40865722,,Right Foot,,,"[51.1, 77.1]",,High Pass,,24.410038,,,,Divock Okoth Origi,4747.0,,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,93,Liverpool,24,['63a23c00-0635-411c-a856-b244a507f7ce'],23,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:23.710,Pass,
,,,,,,,,,,,,,,,,1.008335,,,,,,,,,,,,7c5a284e-f420-470f-95e3-43050346df3e,1695,,"[51.1, 77.1]",3754230,39,,,,,-1.6113147,,Head,,,"[50.8, 69.7]",,Low Pass,,7.406079,,,,Adam David Lallana,4090.0,,,,,,,1,From Throw In,Divock Okoth Origi,4747.0,Center Forward,93,Liverpool,24,['18395c9d-228d-4c06-b5f7-3dc24039d253'],26,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:26.155,Pass,
,,,,,,,,,,,,,,,,1.596475,,,,,,,,,,,,9033ef67-e395-4d78-a905-bd6b1e91adb0,1701,,"[62.0, 73.1]",3754230,39,,True,,,0.23783593,,Right Foot,,,"[78.5, 77.1]",,Ground Pass,,16.977926,,,,Nathaniel Edwin Clyne,4590.0,,,,,,Free Kick,1,From Free Kick,Lucas Pezzini Leiva,7780.0,Right Center Midfield,94,Liverpool,24,['30879e0e-0e0e-4467-9b9f-144df954c966'],43,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:43.841,Pass,
,,,,,,,,,,,,,,,,1.00386,,,,,,,,,,,,aace1d04-ddeb-475d-a006-965d0958c7f0,1703,,"[78.5, 77.1]",3754230,39,,,,,-3.047908,,Right Foot,,,"[63.6, 75.7]",,Ground Pass,,14.965628,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Free Kick,Nathaniel Edwin Clyne,4590.0,Right Back,94,Liverpool,24,['1ea6d78c-dfea-48f7-8424-2313d5b9a598'],46,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:46.302,Pass,
,,,,,,,,,,,,,,,,0.961521,,,,,,,,,,,,24782418-2c72-4b67-9cd9-1b6ae660419a,1706,,"[68.6, 69.9]",3754230,39,,,,,-1.230503,,Right Foot,,,"[76.0, 49.0]",,Ground Pass,,22.171377,,,,Emre Can,3493.0,,,,,,,1,From Free Kick,Lucas Pezzini Leiva,7780.0,Right Center Midfield,94,Liverpool,24,['dd679cfd-69b7-4299-9258-4fc4a64c651e'],48,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:48.504,Pass,
