ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.92545,,,,,,,,,,,,18a8bd75-3431-4119-a95c-812dac13cd8b,1506,,,"[5.4, 29.0]",3754351,44,,,,,-0.6365082,,Right Foot,,,,"[16.9, 20.5]",,Ground Pass,,14.300349,,,,,Emre Can,3493.0,,,,,,1,Regular Play,Dejan Lovren,3471.0,Left Center Back,85,Liverpool,24,['1cba290a-2b85-45f1-a7eb-54bbc74a7ee0'],24,,,,,,,,,,,,,,,,,Liverpool,24,00:44:24.620,Pass,
,,,,,,,,,,,,,,,,2.426038,,,,,,,,,,,,74f5ba11-b3ce-4302-8b03-3c8dddc69d9e,1510,,,"[17.1, 18.2]",3754351,44,,,,,-1.5990374,,Left Foot,,,,"[16.6, 0.5]",,Ground Pass,,17.70706,,,Out,,,,,,,,,1,Regular Play,Emre Can,3493.0,Right Center Midfield,85,Liverpool,24,['e9f33e7f-b98e-4902-92ff-aa9b804a0195'],26,,,,,,,,,,,,,,,,,Liverpool,24,00:44:26.989,Pass,True
,,,,,,,,,,,,,,,,2.251493,,,,,,,,,,,,23ea3f96-0484-4abf-a753-d82ac61793d8,1512,,,"[120.0, 80.0]",3754351,45,,,,,-1.6357806,,Left Foot,,,,"[117.0, 33.9]",,High Pass,True,46.19751,,,Incomplete,,,,,True,Inswinging,,Corner,1,From Corner,Jason Puncheon,19688.0,Center Attacking Midfield,86,Crystal Palace,31,['aa1facbe-c887-4c5a-8157-c2482a321c6a'],11,,,,,,,,,,,,,,,,,Crystal Palace,31,00:45:11.584,Pass,
,,,,,,,,,,,,,,,,1.562953,,,,,,,,,,,,48850346-3ce7-41f4-a0fb-b220c6174e10,1515,,,"[17.4, 43.6]",3754351,45,,,,,0.17944416,,Keeper Arm,,,,"[38.9, 47.5]",,Ground Pass,,21.850859,,,,,Lucas Pezzini Leiva,7780.0,,,,,,1,From Keeper,Simon Mignolet,3539.0,Goalkeeper,87,Liverpool,24,['9cb5d8a6-cf56-4e64-8df9-1c5c55883a3a'],25,,,,,,,,,,,,,,,,,Liverpool,24,00:45:25.764,Pass,
,,,,,,,,,,,,,,,,2.03069,,,,,,,,,,,,c05c6695-f86b-4c71-b947-4bb44f8db417,1518,,,"[39.9, 49.4]",3754351,45,,,,,1.0746691,,Right Foot,,,,"[51.7, 71.2]",,Ground Pass,,24.788708,,,,,Adam David Lallana,4090.0,,,,,,1,From Keeper,Lucas Pezzini Leiva,7780.0,Left Center Midfield,87,Liverpool,24,['4030666b-e3da-4527-b953-86b49d99e2e5'],27,,,,,,,,,,,,,,,,,Liverpool,24,00:45:27.958,Pass,
,,,,,,,,,,,,,,,,1.286931,,,,,,,,,,,,d70e6b1b-d3bf-402f-afe4-86a887c5ebcd,1521,,,"[76.5, 70.7]",3754351,45,,,,,-2.0706398,,Right Foot,,,,"[68.8, 56.6]",,Ground Pass,,16.06549,,,,,Lucas Pezzini Leiva,7780.0,,,,,,1,From Keeper,Adam David Lallana,4090.0,Center Attacking Midfield,87,Liverpool,24,['1506ce11-6c7e-4b6d-b905-c39f698cfa28'],33,,,,,,,,,,,,,,,,,Liverpool,24,00:45:33.605,Pass,
,,,,,,,,,,,,,,,,1.098948,,,,,,,,,,,,49b4ccc6-0714-4a76-91db-48e01eb436ea,1524,,,"[75.1, 58.9]",3754351,45,,,,,-1.7331952,,Right Foot,,,,"[72.2, 41.2]",,Ground Pass,,17.935997,,,,,Emre Can,3493.0,,,,,,1,From Keeper,Lucas Pezzini Leiva,7780.0,Left Center Midfield,87,Liverpool,24,['556b4eba-4766-467b-ae8e-c36eb0aeb9eb'],37,,,,,,,,,,,,,,,,,Liverpool,24,00:45:37.178,Pass,
,,,,,,,,,,,,,,,,1.247223,,,,,,,,,,,,2717309a-545a-4798-bcfa-4718322f74fd,1527,,,"[71.6, 36.4]",3754351,45,,,,,-1.5044602,,Left Foot,,,,"[73.5, 7.8]",,Ground Pass,,28.663042,,,,,Alberto Moreno Pérez,3515.0,,,,,,1,From Keeper,Emre Can,3493.0,Right Center Midfield,87,Liverpool,24,['36ea7e86-cd4a-48df-b0ca-fb6d26fbab90'],39,,,,,,,,,,,,,,,,,Liverpool,24,00:45:39.498,Pass,
,,,,,,,,,,,,,,,,1.148341,,,,,,,,,,,,f88b550d-5f34-4b8e-8b77-52af438f01df,1530,,,"[73.7, 7.8]",3754351,45,,,,,-0.34302393,,Left Foot,,,,"[86.3, 3.3]",,Ground Pass,,13.379462,,,,,Jordon Ibe,3635.0,,,,,,1,From Keeper,Alberto Moreno Pérez,3515.0,Left Back,87,Liverpool,24,['c9d49373-0c67-468b-876d-537d3a6265da'],41,,,,,,,,,,,,,,,,,Liverpool,24,00:45:41.374,Pass,
,,,,,,,,,,,,,,,,0.698857,,,,,,,,,,,,53de8542-0e9b-40be-8f75-66fd5f3cdc7c,1534,,,"[80.6, 10.6]",3754351,45,,,,,1.9010937,,Right Foot,,,,"[75.8, 24.6]",,Ground Pass,,14.8,,,,,Emre Can,3493.0,,,,,,1,From Keeper,Jordon Ibe,3635.0,Right Wing,87,Liverpool,24,['3ee4e254-7bb9-4d22-8f05-c568423b3b8b'],45,,,,,,,,,,,,,,,,,Liverpool,24,00:45:45.930,Pass,
