50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.719442,,,,,,,,,,,,,b5518831-3c13-4aad-bf65-4fe9b213b7cd,15,,"[87.8, 63.3]",3753986,0,,,,-3.1225474,,Head,,"[77.3, 63.1]",,Low Pass,,10.5019045,,,,,Geoff Cameron,3480.0,,,,,,1,From Kick Off,Peter Crouch,4040.0,Center Forward,2,Stoke City,30,['bc70cbd0-6d80-4ebc-9291-dd71a082c1ee'],9,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:09.896,Pass,
,,,,,,,,,,,,,,,,,,0.773165,,,,,,,,,,,,,bc06d256-2602-454d-965d-d115151bd237,18,,"[79.0, 63.6]",3753986,0,,,,-1.022247,,Right Foot,,"[87.8, 49.2]",,Ground Pass,,16.876019,,,Incomplete,,Bojan Krkíc Pérez,4913.0,,,,,,1,From Kick Off,Geoff Cameron,3480.0,Right Defensive Midfield,2,Stoke City,30,"['b4c62234-f0ee-48cc-9934-c911a015cd9f', 'cf436deb-8ad2-4ace-9526-775ac817920e']",10,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:10.689,Pass,
,,,,,,,,,,,,,,,,,,0.725473,,,,,,,,,,,,,cf436deb-8ad2-4ace-9526-775ac817920e,20,,"[32.3, 30.9]",3753986,0,,,,3.1415927,,Left Foot,,"[26.5, 30.9]",,Low Pass,,5.8,,,,,Martin Škrtel,18872.0,,,,,Recovery,1,Regular Play,James Philip Milner,3473.0,Right Defensive Midfield,3,Liverpool,24,"['52cfeae2-42da-4963-8c63-58dbc55d88e5', 'bc06d256-2602-454d-965d-d115151bd237']",11,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:11.462,Pass,
,,,,,,,,,,,,,,,,,,2.989547,,,,,,,,,,,,,b62299a4-525c-4098-97f6-9c8a27897048,23,,"[20.4, 30.9]",3753986,0,,,,2.2619472,,Right Foot,,"[2.2, 52.9]",,Ground Pass,,28.552408,,,,,Simon Mignolet,3539.0,,,,,,1,Regular Play,Martin Škrtel,18872.0,Right Center Back,3,Liverpool,24,['db8ecb32-02e1-4183-885b-54e03127b12b'],13,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:13.307,Pass,
,,,,,,,,,,,,,,,,,,3.062017,,,,,,,,,,,,,83349b13-b95a-4def-a25c-96ad0db3f0fe,27,,"[3.9, 59.0]",3753986,0,,,,0.46942788,,Right Foot,,"[45.3, 80.0]",,High Pass,,46.421547,,,Out,,,,,,,,,1,Regular Play,Simon Mignolet,3539.0,Goalkeeper,3,Liverpool,24,,18,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:18.091,Pass,
,,,,,,,,,,,,,,,,,,0.842413,,,,,,,,,,,,,df3765fd-d463-43d0-bc75-7e5c311b8704,28,,"[71.8, 0.1]",3753986,0,,,,1.3200871,,,,"[73.9, 8.3]",,High Pass,,8.464632,,,,,Gilbert Gianelli Imbula Wanga,4346.0,,,,,Throw-in,1,From Throw In,Erik Pieters,3467.0,Left Back,4,Stoke City,30,['9079dea0-401a-4963-9213-f00ad85e3051'],26,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:26.513,Pass,
,,,,,,,,,,,,,,,,,,0.766767,,,,,,,,,,,,,973ba597-0432-449b-8d03-05d486a25e66,32,,"[73.2, 7.2]",3753986,0,,,,-1.85292,,Left Foot,,"[71.2, 0.3]",,Ground Pass,,7.18401,,,,,Erik Pieters,3467.0,,,,,,1,From Throw In,Gilbert Gianelli Imbula Wanga,4346.0,Left Defensive Midfield,4,Stoke City,30,['e1e3e6ed-66bf-4497-be26-546e8602139b'],28,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:28.477,Pass,
,,,,,,,,,,,,,,,,,,1.149472,,,,,,,,,,,,,44367c5e-58c8-40fd-bae9-17bc51de16eb,35,,"[71.2, 0.3]",3753986,0,,,,3.1290934,,Left Foot,,"[47.2, 0.6]",,Low Pass,,24.001875,,,,,Philipp Wollscheid,40121.0,,,,,,1,From Throw In,Erik Pieters,3467.0,Left Back,4,Stoke City,30,['de803f7a-a428-4d56-b07c-c56a09c34011'],29,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:29.302,Pass,
,,,,,,,,,,,,,,,,,,2.453251,,,,,,,,,,,,,c1005c99-a853-41d0-8afa-128f4e608fc1,38,,"[44.7, 8.5]",3753986,0,,,,1.6671735,,Left Foot,,"[41.5, 41.6]",,Ground Pass,,33.254322,,,,,Ryan Shawcross,4035.0,,,,,,1,From Throw In,Philipp Wollscheid,40121.0,Left Center Back,4,Stoke City,30,['76cfa54c-1504-44ea-a886-298d0c1f2b67'],31,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:31.914,Pass,
,,,,,,,,,,,,,,,,,,2.35932,,,,,,,,,,,,,d985032c-9b70-4c7d-9eb9-37a30d422bcb,41,,"[44.5, 44.1]",3753986,0,,,,1.2765617,,Right Foot,,"[52.5, 70.5]",,Ground Pass,,27.585503,,,,,Phil Bardsley,3643.0,,,,,,1,From Throw In,Ryan Shawcross,4035.0,Right Center Back,4,Stoke City,30,['c45518b0-54bd-42b0-b647-b298a84ff701'],35,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:35.263,Pass,
