ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.658054,,,,,,,,,,,,,b666d107-f7aa-4b87-9776-a7299c598457,2538,,"[40.3, 50.8]",3754087,58,,,,,0.6554162,,Right Foot,,,"[57.6, 64.1]",,High Pass,,21.821548,,Incomplete,,,,,,,,,,2,Regular Play,Emre Can,3493.0,Left Center Midfield,134,Liverpool,24,['d4b72aae-8859-4b48-afe7-f8dacc6bd17b'],54,,,,,,,,,,,,,,,,Liverpool,24,00:13:54.716,Pass,
,,,,,,,,,,,,,,,,,0.774583,,,,,,,,,,,,,d4b72aae-8859-4b48-afe7-f8dacc6bd17b,2539,,"[62.5, 16.0]",3754087,58,,,,,1.2977877,,Left Foot,,,"[64.6, 23.5]",,Low Pass,,7.788453,,Incomplete,,,,,,,,,Recovery,2,Regular Play,Kevin Wimmer,3611.0,Left Center Back,134,Liverpool,24,"['3321395f-950b-439e-ace8-6d69c399c0ba', 'b666d107-f7aa-4b87-9776-a7299c598457']",56,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:13:56.374,Pass,
,,,,,,,,,,,,,,,,,1.054417,,,,,,,,,,,,,de459a4d-1485-46d7-90fb-d0476ac7556c,2556,,"[66.1, 12.4]",3754087,59,,,,,-1.6133238,,Left Foot,,,"[65.9, 7.7]",,Ground Pass,,4.704253,,,,Danny Rose,3594.0,,,,,,,2,Regular Play,Mousa Sidi Yaya Dembélé,3037.0,Left Defensive Midfield,135,Tottenham Hotspur,38,['6247a333-47a7-4cc4-ac44-9622be633ebc'],1,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:01.700,Pass,
,,,,,,,,,,,,,,,,,1.152794,,,,,,,,,,,,,74d22f2c-d9b9-41ef-b26c-51858c1df7c8,2563,,"[76.0, 0.1]",3754087,59,,,,,2.5327163,,,,,"[65.1, 7.7]",,Low Pass,,13.287965,,,,Kevin Wimmer,3611.0,,,,,,Throw-in,2,From Throw In,Danny Rose,3594.0,Left Back,136,Tottenham Hotspur,38,['ddbd3247-979a-4344-b7bd-e7be325f0267'],16,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:16.583,Pass,
,,,,,,,,,,,,,,,,,0.854129,,,,,,,,,,,,,053ea55b-d0a7-4886-a1f0-f559a4396b56,2567,,"[64.0, 5.7]",3754087,59,,,,,1.0812924,,Left Foot,,,"[76.2, 28.6]",,Ground Pass,,25.947062,,,,Mousa Sidi Yaya Dembélé,3037.0,,,,,,,2,From Throw In,Kevin Wimmer,3611.0,Left Center Back,136,Tottenham Hotspur,38,"['00ca3ef1-e74e-4518-8d79-34d2618390b6', '585977a4-ff3e-42d4-a910-933019e80a9e']",18,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:18.540,Pass,True
,,,,,,,,,,,,,,,,,0.978802,,,,,,,,,,,,,2b8148a0-1d5f-433a-a39b-6bc291c6f68e,2571,,"[75.8, 28.8]",3754087,59,,,,,3.0258334,,Right Foot,,,"[62.9, 30.3]",,Ground Pass,,12.986917,,,,Eric Dier,10956.0,,,,,,,2,From Throw In,Mousa Sidi Yaya Dembélé,3037.0,Left Defensive Midfield,136,Tottenham Hotspur,38,['a30d03e9-3a01-4415-bb9d-44698cf69cfa'],20,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:20.340,Pass,
,,,,,,,,,,,,,,,,,2.865639,,,,,,,,,,,,,8f427ee7-afab-425f-ad91-74705937a522,2574,,"[64.0, 37.0]",3754087,59,,,,,0.64130574,,Right Foot,,,"[107.8, 69.7]",,High Pass,,54.660133,,,,Kyle Walker,3205.0,,,,,,,2,From Throw In,Eric Dier,10956.0,Right Defensive Midfield,136,Tottenham Hotspur,38,['4ac9fa98-0a79-4184-ac65-2208d3c9fe67'],22,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:22.528,Pass,
,,,,,,,,,,,,,,,,,0.71521,,,,,,,,,,,,,c0b373be-2b39-40c1-8868-02c99c48b017,2578,,"[107.2, 77.4]",3754087,59,,,,,-1.5707964,,Right Foot,,,"[107.2, 69.7]",,Ground Pass,,7.7,,Incomplete,,,,,,,,,,2,From Throw In,Kyle Walker,3205.0,Right Back,136,Tottenham Hotspur,38,['56e2de66-ce06-49d7-b7d6-945acb9444a2'],28,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:28.498,Pass,
,,,,,,,,,,,,,,,,,0.917175,,,,,,,,,,,,,ee66d32d-3842-4bef-9a9d-0a81676a46ba,2580,,"[106.8, 80.0]",3754087,59,,,,,-2.2725909,,,,,"[98.6, 70.3]",,Low Pass,,12.701574,,,,Heung-Min Son,3083.0,,,,,,Throw-in,2,From Throw In,Kyle Walker,3205.0,Right Back,137,Tottenham Hotspur,38,['929faab3-0cfb-4d25-abee-2e7e54ab04aa'],40,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:40.133,Pass,
,,,,,,,,,,,,,,,,,0.754411,,,,,,,,,,,,,aed6d906-eaf5-4a67-b8a4-4b07bc69cb9c,2584,,"[96.3, 69.3]",3754087,59,,,,,1.3654009,,Right Foot,,,"[97.8, 76.5]",,Ground Pass,,7.3545904,,,,Kyle Walker,3205.0,,,,,,,2,From Throw In,Heung-Min Son,3083.0,Right Wing,137,Tottenham Hotspur,38,"['69cd5a17-7067-4838-8df7-1320c32f3b66', '79ca15b7-f252-44ed-bd71-d48c8c3c547c']",41,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:41.745,Pass,True
