50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.540294,,,,,,,,,,,,b54bf34a-26ee-4e91-bdd9-ccdc5d026642,17,,"[96.8, 59.5]",3754143,0,,,,0.8097836,,Right Foot,,,"[112.8, 76.3]",,Ground Pass,,23.2,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,2,Liverpool,24,['a65d17b0-be67-4ab2-8bfe-a3f1c97efbd7'],10,,,,,,,,,,,,,,,,Liverpool,24,00:00:10.907,Pass,
,,,,,,,,,,,,,,,,,0.326567,,,,,,,,,,,,14dedb57-c4d4-4b80-b0ca-adcf19380a2e,19,,"[112.8, 76.3]",3754143,0,,,,-1.3838171,,Right Foot,,,"[113.5, 72.6]",,High Pass,,3.765634,,,Incomplete,,,,,,,,,,1,From Kick Off,Nathaniel Edwin Clyne,4590.0,Right Back,2,Liverpool,24,['470b9814-6775-4c4b-a220-511e5e1cd8da'],13,,,,,,,,,,,,,,,,Liverpool,24,00:00:13.447,Pass,
,,,,,,,,,,,,,,,,,1.31363,,,,,,,,,,,,05f804a4-cd62-4007-8b9f-828b9b6e778a,22,,"[120.0, 80.0]",3754143,0,,,,-1.9315156,,Right Foot,,,"[109.4, 51.9]",,High Pass,,30.032816,,,Incomplete,True,,,,,,Outswinging,,Corner,1,From Corner,James Philip Milner,3473.0,Left Wing,3,Liverpool,24,['216946d0-8bd6-4540-8a0c-d33e058cfc6b'],37,,,,,,,,,,,,,,,,Liverpool,24,00:00:37.166,Pass,
,,,,,,,,,,,,,,,,,1.161443,,,,,,,,,,,,0eb72b78-a87b-4eac-b5e9-abde23f07721,24,,"[120.0, 80.0]",3754143,1,,,,-1.760074,,Right Foot,,,"[115.0, 53.9]",,High Pass,,26.574612,,,,True,Roberto Firmino Barbosa de Oliveira,3535.0,,,,Outswinging,,Corner,1,From Corner,James Philip Milner,3473.0,Left Wing,4,Liverpool,24,['8fb6d9be-d51f-4ca7-b517-dd8d410eeb3c'],1,,,,,,,,,,,,,,,,Liverpool,24,00:01:01.881,Pass,
,,,,,,,,,,,,,,,,,1.702743,,,,,,,,,,,,34d6f70b-22a2-4d8e-86d2-8c818c68be0d,27,,"[115.0, 53.9]",3754143,1,,,True,-1.8370484,,,True,,"[109.9, 35.2]",,High Pass,,19.382982,,,,,Joe Allen,10931.0,,,,,,,1,From Corner,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,4,Liverpool,24,"['1fc223f9-7b7d-4fb7-a7aa-ac07af5a0380', '33fa3324-6a49-43a9-ae82-16442395a579']",3,,,,,,,,,,,,,,,,Liverpool,24,00:01:03.069,Pass,True
,,,,,,,,,,,,,,,,,0.668224,,,,,,,,,,,,ce4d94a4-97e1-4620-95d7-dc83778a010d,29,,"[109.9, 35.2]",3754143,1,,,True,1.2688452,,,,,"[111.8, 41.3]",,Low Pass,,6.3890533,,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,,1,From Corner,Joe Allen,10931.0,Left Defensive Midfield,4,Liverpool,24,"['24e127b0-4154-49b5-8d5a-ce453a12c9e2', '809cabf7-daa5-4a50-a5a7-cb84a55e6d57', 'd522fd22-167c-4ab8-9279-b34ecd3502c3']",4,,,,,,,,,,,,,,,,Liverpool,24,00:01:04.772,Pass,True
,,,,,,,,,,,,,,,,,0.876809,,,,,,,,,,,,b1395383-8773-437f-a544-37e8af863290,38,,"[120.0, 80.0]",3754143,1,True,,,-2.484891,,Right Foot,,,"[115.2, 76.3]",,Ground Pass,,6.060528,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Corner,1,From Corner,James Philip Milner,3473.0,Left Wing,5,Liverpool,24,['06b49a03-2111-4695-b0bd-66548da12646'],15,,,,,,,,,,,,,,,,Liverpool,24,00:01:15.151,Pass,
,,,,,,,,,,,,,,,,,1.177787,,,,,,,,,,,,6b8c86d0-774d-4797-9232-af95eb9c8206,40,,"[115.2, 76.3]",3754143,1,,,,-1.7821513,,Right Foot,,,"[109.6, 50.2]",,High Pass,,26.694006,,,Incomplete,,,,,,,,,,1,From Corner,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,5,Liverpool,24,['f777d10c-585b-48ea-ae75-5ba540afeae9'],16,,,,,,,,,,,,,,,,Liverpool,24,00:01:16.897,Pass,
,,,,,,,,,,,,,,,,,3.345174,,,,,,,,,,,,c2ecad2e-0adf-4817-bf64-58d0b847bb43,42,,"[86.3, 33.0]",3754143,1,,,,-1.4584191,,Left Foot,,,"[89.9, 1.1]",,Low Pass,,32.102493,,,Out,,Alberto Moreno Pérez,3515.0,,,,,,Recovery,1,From Corner,Lucas Pezzini Leiva,7780.0,Right Defensive Midfield,5,Liverpool,24,['37be1aba-8922-4fbe-b70d-3b5d1aeddb57'],21,,,,,,,,,,,,,,,,Liverpool,24,00:01:21.346,Pass,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4f814f71-fcba-48c8-8fc2-60c5cdaa4620,44,,"[33.1, 80.0]",3754143,1,,,,-1.9906763,,,,,"[23.1, 57.6]",,Low Pass,,24.530796,,,,,Chancel Mbemba Mangulu,3044.0,,,,,,Throw-in,1,From Throw In,Daryl Janmaat,3650.0,Right Back,6,Newcastle United,37,['8aab3926-2553-4bde-993e-a0cee19775b6'],35,,,,,,,,,,,,,,,,Newcastle United,37,00:01:35.477,Pass,
