50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.063457,,,,,,,,,,,,778e0a79-7040-4009-8387-37ca285cce2c,17,,,"[35.8, 75.9]",3754154,0,,,,,-0.6383198,,Right Foot,,,"[38.9, 73.6]",,Ground Pass,,3.8600519,,,Incomplete,,,,,,,,Recovery,1,From Free Kick,James Philip Milner,3473.0,Right Center Midfield,3,Newcastle United,37,['64523b6f-88de-4ad2-8239-4623abd59172'],40,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:40.741,Pass,
,,,,,,,,,,,,,,,,,1.540528,,,,,,,,,,,,5f620173-7b2d-4b8d-ae9a-001258e8da85,21,,,"[68.9, 16.0]",3754154,0,,,,,-2.9771712,,Right Foot,,,"[46.6, 12.3]",,Ground Pass,,22.604866,,,,,Jamaal Lascelles,3081.0,,,,,Recovery,1,From Free Kick,Cheik Ismaël Tioté,42900.0,Right Center Midfield,3,Newcastle United,37,['8c0fe0b8-db6f-4c3c-9ff2-c1490a7e59ab'],44,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:44.607,Pass,
,,,,,,,,,,,,,,,,,3.637705,,,,,,,,,,,,4e98d867-6a8d-492a-9216-c27e1a382710,25,,,"[41.0, 16.3]",3754154,0,,,,,2.4366655,,Left Foot,,,"[7.5, 44.8]",,Ground Pass,,43.982952,,,,,Karl Darlow,3649.0,,,,,,1,From Free Kick,Jamaal Lascelles,3081.0,Left Center Back,3,Newcastle United,37,"['9dbe55bb-ba15-4125-9f0c-e97b8e08b963', 'ccabd2b1-d882-4231-9d16-a92c48f9e152']",48,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:48.008,Pass,True
,,,,,,,,,,,,,,,,,3.289889,,,,,,,,,,,,fb192767-8b29-4b80-9cd5-1012c44c76c2,28,,,"[7.7, 44.6]",3754154,0,,,,,0.44796625,,Right Foot,,,"[51.4, 65.6]",,High Pass,,48.483913,,,Unknown,,,,,,,,,1,From Free Kick,Karl Darlow,3649.0,Goalkeeper,3,Newcastle United,37,,51,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:51.766,Pass,
,,,,,,,,,,,,,,,,,2.651394,,,,,,,,,,,,3a00fc14-9a04-4c25-a726-a79e173d425a,31,,,"[64.5, 13.4]",3754154,1,,,,,0.5599398,c8b973b4-046c-4781-b060-1017f3f0b835,Left Foot,,,"[104.7, 38.6]",True,High Pass,,47.44555,,,,,Daniel Andre Sturridge,3529.0,,,,,Free Kick,1,From Free Kick,Alberto Moreno Pérez,3515.0,Left Back,4,Liverpool,24,['c461d8ff-d259-4a85-be27-9b5dcf9c9161'],2,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:02.588,Pass,
,,,,,,,,,,,,,,,,,1.430353,,,,,,,,,,,,a5e2a5dd-8adb-4573-a94e-f0c9ec52a1ac,37,,,"[61.0, 40.1]",3754154,1,,True,,,-2.924719,,Right Foot,,,"[43.3, 36.2]",,Ground Pass,,18.124569,,,,,Moussa Sissoko,3091.0,,,,,Kick Off,1,From Kick Off,Papiss Demba Cissé,30289.0,Center Forward,5,Newcastle United,37,['53cf9b0f-5cb1-484c-b8cd-45739ce92048'],53,,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:53.803,Pass,
,,,,,,,,,,,,,,,,,1.614475,,,,,,,,,,,,e523f8be-539b-478e-8994-2c9d0427ea6b,39,,,"[43.3, 36.2]",3754154,1,,True,,,-0.79297376,,Right Foot,,,"[56.4, 22.9]",,Low Pass,,18.668154,,,Incomplete,,,,,,,,,1,From Kick Off,Moussa Sissoko,3091.0,Center Attacking Midfield,5,Newcastle United,37,['18315228-f690-4da4-a43a-6774f1b728e9'],55,,,,,,,,,,,,,,,,,,Newcastle United,37,00:01:55.831,Pass,
,,,,,,,,,,,,,,,,,2.447532,,,,,,,,,,,,18315228-f690-4da4-a43a-6774f1b728e9,40,,,"[63.7, 57.2]",3754154,1,,,,,0.7472935,,Right Foot,,,"[81.4, 73.6]",,Ground Pass,,24.129856,,,Incomplete,,James Philip Milner,3473.0,,,,,Recovery,1,From Kick Off,Adam David Lallana,4090.0,Center Attacking Midfield,5,Newcastle United,37,"['0b07d2aa-531f-4a77-b990-b393f0f309e3', 'b25ca9bc-d6e3-4338-a324-4c607d4034ca', 'e523f8be-539b-478e-8994-2c9d0427ea6b']",57,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:57.446,Pass,
,,,,,,,,,,,,,,,,,1.361038,,,,,,,,,,,,a29cf430-1b55-4593-8358-44a917764b61,45,,,"[77.0, 80.0]",3754154,2,,True,,,-1.2372121,,,,,"[80.5, 69.9]",,Low Pass,,10.689247,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,Throw-in,1,From Throw In,Connor Steven Randall,22058.0,Right Back,6,Liverpool,24,['55bbb5f9-6378-4c1d-b6c4-6b67fd75ce4d'],7,,,,,,,,,,,,,,,,,,Liverpool,24,00:02:07.213,Pass,
,,,,,,,,,,,,,,,,,0.855233,,,,,,,,,,,,68b914e5-bb91-4502-b584-7475369f0136,48,,,"[81.2, 69.5]",3754154,2,,,,,2.2083452,,Head,,,"[77.2, 74.9]",,High Pass,,6.720119,,,,,Connor Steven Randall,22058.0,,,,,,1,From Throw In,Roberto Firmino Barbosa de Oliveira,3535.0,Right Center Forward,6,Liverpool,24,"['96f4f864-09b6-49c3-aad1-ee0b6cf1bbac', 'f22af0c3-58ef-4a4b-8e51-58ec49ed750e']",9,,,,,,,,,,,,,,,,,,Liverpool,24,00:02:09.113,Pass,True
