50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.135347,,,,,,,,,,,,,7bc58fdc-eced-4030-9d78-30976c1c18b8,3212,,,"[61.0, 40.1]",18245,84,True,,,3.115283,,Right Foot,,,"[49.6, 40.4]",,Ground Pass,,11.403947,,,,Jordan Brian Henderson,3532.0,,,,,,Kick Off,2,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,148,Liverpool,24,['1a350f3d-b439-4816-886c-5fe08c622a1d'],4,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:04.521,Pass,
,,,,,,,,,,,,,,,,2.113905,,,,,,,,,,,,,6b76458b-3549-4963-bd95-800075b46aa4,3214,,,"[49.6, 40.4]",18245,84,True,,,0.25665542,,Right Foot,,,"[71.7, 46.2]",,Ground Pass,,22.848413,,,,Emre Can,3493.0,,,,,,,2,From Kick Off,Jordan Brian Henderson,3532.0,Center Defensive Midfield,148,Liverpool,24,['66b10c85-cafe-432f-ae6d-34ce7ef9cdac'],6,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:06.721,Pass,
,,,,,,,,,,,,,,,,1.187907,,,,,,,,,,,,,9a6f8bba-6185-4d09-8d9a-3732d644a147,3216,,,"[81.0, 18.7]",18245,84,,,,-1.9084909,,Right Foot,,,"[76.4, 5.6]",,Ground Pass,,13.884164,,,,Andrew Robertson,3655.0,,,,,,,2,From Kick Off,Emre Can,3493.0,Left Center Midfield,148,Liverpool,24,['6449c2ec-4bc6-4ced-b09d-c31bb7185ebe'],10,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:10.775,Pass,
,,,,,,,,,,,,,,,,1.162488,,,,,,,,,,,,,ed489abd-f360-45ea-9c04-28bc624cb7ff,3219,,,"[75.7, 4.0]",18245,84,,,,1.1014236,,Left Foot,,,"[86.3, 24.9]",,Ground Pass,,23.434376,,,,Sadio Mané,3629.0,,,,,,,2,From Kick Off,Andrew Robertson,3655.0,Left Back,148,Liverpool,24,['2f00e9b6-8701-4068-8b09-42f77af73ee9'],12,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:12.960,Pass,
,,,,,,,,,,,,,,,,0.190045,,,,,,,,,,,,,def377b1-96fd-445d-ac94-48a89a14e0ef,3223,,,"[90.2, 26.1]",18245,84,,,,0.0,,Right Foot,,,"[92.5, 26.1]",,Ground Pass,,2.3,,Incomplete,,,,,,,,,,2,From Kick Off,Sadio Mané,3629.0,Right Wing,148,Liverpool,24,"['6ce6e181-9fd7-45dd-afb4-37f8456b2cf2', 'bcdc2d7f-2d31-4379-b8a2-e2087ee7ad9c']",15,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:15.130,Pass,True
,,,,,,,,,,,,,,,,1.08465,,,,,,,,,,,,,2a9ebeb7-ab8e-45e4-bf40-4afe21beda65,3225,,,"[32.4, 50.0]",18245,84,,,,0.8784619,,Right Foot,,,"[42.6, 62.3]",,Ground Pass,,15.979049,,,,Karim Benzema,19677.0,,,,,,Recovery,2,Regular Play,Toni Kroos,5574.0,Left Center Midfield,149,Real Madrid,220,['876e4ebe-0a7c-4b57-93e2-d521fb2d0bf8'],16,,,,,,,,,,,,,,,,,,Real Madrid,220,00:39:16.041,Pass,
,,,,,,,,,,,,,,,,0.722996,,,,,,,,,,,,,c883eb16-756a-48a0-b237-8856fb077e49,3229,,,"[37.5, 62.0]",18245,84,,,,-1.068494,,Right Foot,,,"[41.4, 54.9]",,Ground Pass,,8.100617,,,,Toni Kroos,5574.0,,,,,,,2,Regular Play,Karim Benzema,19677.0,Center Forward,149,Real Madrid,220,"['092ac2bb-195a-4ce1-977e-9f372129876c', '7bc970c0-9090-45b4-93d5-53a2dc9cfe4c']",18,,,,,,,,,,,,,,,,,,Real Madrid,220,00:39:18.336,Pass,True
,,,,,,,,,,,,,,,,2.31033,,,,,,,,,,,,,d52ddf93-bd81-47a4-800a-a5a64bc635b1,3232,,,"[41.7, 54.9]",18245,84,,,,0.3740168,,Right Foot,,,"[71.0, 66.4]",,Ground Pass,,31.476023,,,,Gareth Frank Bale,6399.0,,,,,,,2,Regular Play,Toni Kroos,5574.0,Left Center Midfield,149,Real Madrid,220,['216745b4-c782-47a0-ae39-14c85a07406a'],19,,,,,,,,,,,,,,,,,,Real Madrid,220,00:39:19.471,Pass,
,,,,,,,,,,,,,,,,1.447644,,,,,,,,,,,,,a535d37d-3eb9-4394-9987-e8ff7048ad19,3239,,,"[120.0, 80.0]",18245,84,True,,,-2.6027732,,Right Foot,,,"[110.8, 74.5]",,Ground Pass,,10.718676,,,,Luka Modrić,5463.0,,,,,,Corner,2,From Corner,Toni Kroos,5574.0,Left Center Midfield,150,Real Madrid,220,['58632016-023a-4575-948c-1934b564a950'],59,,,,,,,,,,,,,,,,,,Real Madrid,220,00:39:59.718,Pass,
,,,,,,,,,,,,,,,,0.995315,,,,,,,,,,,,,09054fc6-1b32-419f-937e-00acdd369d0e,3244,,,"[120.0, 80.0]",18245,85,,,,-2.4245808,,Right Foot,,,"[116.1, 76.6]",,Ground Pass,,5.1739736,,,,Luka Modrić,5463.0,,,,,,Corner,2,From Corner,Toni Kroos,5574.0,Left Center Midfield,151,Real Madrid,220,['80dabaa8-159e-4302-b969-86206a5a57b6'],20,,,,,,,,,,,,,,,,,,Real Madrid,220,00:40:20.119,Pass,
