bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.42425,,,,,,,,,,,,77cf2b1c-e967-4831-8b0b-c02a57b2259c,1862,,"[106.9, 80.0]",3754060,53,,,,,-1.51876,,,,,"[107.9, 60.8]",,High Pass,,19.226025,,Incomplete,,Daniel Andre Sturridge,3529.0,,,,,,Throw-in,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Wing Back,118,Liverpool,24,"['4b663318-5d23-49e0-9342-ae1ed04763c6', '91bffd9c-64f1-48c4-ae67-0db70494d816']",55,,,,,,,,,,,,,,,,,Liverpool,24,00:08:55.593,Pass,
,,,,,,,,,,,,,,,,,,5.509279,,,,,,,,,,,,4b663318-5d23-49e0-9342-ae1ed04763c6,1865,,"[12.2, 19.3]",3754060,53,,,,,-0.018569294,,Left Foot,,,"[82.2, 18.0]",,High Pass,,70.01207,,,,Romelu Lukaku Menama,3289.0,,,,,,Recovery,2,From Throw In,José Ramiro Funes Mori,4629.0,Left Center Back,118,Liverpool,24,"['77cf2b1c-e967-4831-8b0b-c02a57b2259c', 'a16a18a2-5a0d-4e3a-8ef7-525d6c9f297b']",58,,,,,,,,,,,,,,,,,Everton,29,00:08:58.018,Pass,
,,,,,,,,,,,,,,,,,,2.217499,,,,,,,,,,,,03998d0b-b174-47c2-ad8a-d624950ba2f1,1871,,"[84.5, 18.8]",3754060,54,,,,,0.6244411,,Right Foot,,,"[116.0, 41.5]",,High Pass,,38.827053,,Incomplete,,,,,,,,,Free Kick,2,From Free Kick,Gerard Deulofeu Lázaro,3726.0,Right Wing,119,Everton,29,['1e7904e5-a1be-4817-9ba4-1a9502a6b456'],52,,,,,,,,,,,,,,,,,Everton,29,00:09:52.986,Pass,
,,,,,,,,,,,,,,,,,,2.053913,,,,,,,,,,,,820fec46-2ebc-4816-9ff0-e627f635d883,1874,,"[14.0, 34.5]",3754060,54,,,,,-1.0257939,,Keeper Arm,,,"[23.7, 18.5]",,Ground Pass,,18.710691,,,,Mamadou Sakho,3483.0,,,,,,,2,From Counter,Simon Mignolet,3539.0,Goalkeeper,120,Liverpool,24,['17713300-8667-4568-87d0-1b9c0a597fda'],58,,,,,,,,,,,,,,,,,Liverpool,24,00:09:58.117,Pass,
,,,,,,,,,,,,,,,,,,1.118897,,,,,,,,,,,,85d28c7b-c36f-4f8d-a3a8-def38e9e0758,1877,,"[43.8, 15.8]",3754060,55,,,,,-0.112851806,,Left Foot,,,"[58.8, 14.1]",,Ground Pass,,15.096026,,,,Philippe Coutinho Correia,3501.0,,,,,,,2,From Counter,Mamadou Sakho,3483.0,Left Center Back,120,Liverpool,24,['273d745e-a3bd-450a-b385-b2f4048f65cb'],3,,,,,,,,,,,,,,,,,Liverpool,24,00:10:03.187,Pass,
,,,,,,,,,,,,,,,,,,0.988652,,,,,,,,,,,,e42f7a69-ed48-4f30-9809-907f8b06355e,1879,,"[58.8, 14.1]",3754060,55,,,,,-0.03966173,,Left Foot,,,"[71.4, 13.6]",,Ground Pass,,12.609917,,Incomplete,,Alberto Moreno Pérez,3515.0,,,,,,,2,From Counter,Philippe Coutinho Correia,3501.0,Left Center Midfield,120,Liverpool,24,"['4abe9648-1d78-4f63-a065-c36c1837530f', '76c6ecc9-9b2b-41bb-a9c9-3996270258d8']",4,,,,,,,,,,,,,,,,,Liverpool,24,00:10:04.306,Pass,
,,,,,,,,,,,,,,,,,,1.301828,,,,,,,,,,,,76c6ecc9-9b2b-41bb-a9c9-3996270258d8,1881,,"[48.7, 66.5]",3754060,55,,,,,0.68506503,,Right Foot,,,"[56.9, 73.2]",,Ground Pass,,10.589146,,,,James McCarthy,3607.0,,,,,,Recovery,2,From Counter,Guangtai Jiang,42946.0,Right Back,121,Everton,29,"['c1d684ae-67de-4a90-ab35-921aea7cb13a', 'e42f7a69-ed48-4f30-9809-907f8b06355e']",5,,,,,,,,,,,,,,,,,Everton,29,00:10:05.295,Pass,
,,,,,,,,,,,,,,,,,,0.974778,,,,,,,,,,,,88b3326d-26fb-40d9-9b02-cb1bb32112df,1884,,"[56.9, 73.2]",3754060,55,,,,,0.115759216,,Right Foot,,,"[65.5, 74.2]",,Ground Pass,,8.657945,,,,Gerard Deulofeu Lázaro,3726.0,,,,,,,2,From Counter,James McCarthy,3607.0,Right Center Midfield,121,Everton,29,['ac257138-57d6-4948-9658-dac1afdb9e88'],7,,,,,,,,,,,,,,,,,Everton,29,00:10:07.117,Pass,
,,,,,,,,,,,,,,,,,,1.027423,,,,,,,,,,,,7e94f3f7-c6aa-4617-a978-ad6ed146d3c2,1893,,"[48.3, 17.4]",3754060,55,,,,,0.9553407,,Right Foot,,,"[55.3, 27.3]",,Ground Pass,,12.124768,,,,James Philip Milner,3473.0,,,,,,,2,From Counter,Philippe Coutinho Correia,3501.0,Left Center Midfield,122,Liverpool,24,['3699e6cd-da3d-4d42-8e89-76b18f9eb746'],16,,,,,,,,,,,,,,,,,Liverpool,24,00:10:16.112,Pass,
,,,,,,,,,,,,,,,,,,3.551994,,,,,,,,,,,,9078659e-61cb-4551-8d2a-93441b67864a,1896,,"[63.5, 27.3]",3754060,55,,,,,-0.056053445,,Right Foot,,,"[113.4, 24.5]",,High Pass,,49.978497,,,,Alberto Moreno Pérez,3515.0,,,,,,,2,From Counter,James Philip Milner,3473.0,Right Center Midfield,122,Liverpool,24,['191e6e34-2513-4e5c-a5de-fa56282ac5ae'],18,,,,,,,,,,,,,,,,,Liverpool,24,00:10:18.158,Pass,
