50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7b33a76d-8271-4e40-9e2e-c92a64bdf76b,1,,,,3754305,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3539, 'name': 'Simon Mignolet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 33}, {'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a968b5fc-d542-4cb4-a14e-e25d033b1248,2,,,,3754305,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6631, 'name': 'Mathieu Flamini'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5581, 'name': 'Joel Nathaniel Campbell Samuels'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3668, 'name': 'Theo Walcott'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8986ba5c-ac6f-40e3-a664-7be30da9724e,3,,,,3754305,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['2f2e7c2e-d7a6-4b40-939b-e6be01252e9d'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2f2e7c2e-d7a6-4b40-939b-e6be01252e9d,4,,,,3754305,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool,24,['8986ba5c-ac6f-40e3-a664-7be30da9724e'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9537af84-2112-4745-981e-062e16819451,1744,,,,3754305,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Liverpool,24,['d8d4c85d-9f52-4c5e-9204-aecbba7bbffd'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d8d4c85d-9f52-4c5e-9204-aecbba7bbffd,1745,,,,3754305,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Liverpool,24,['9537af84-2112-4745-981e-062e16819451'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.727875,,,,,,,,,,,,9999fb1e-9696-494f-abc6-adeea058266e,5,,,"[61.0, 40.1]",3754305,0,,,,,1.7818897,,Right Foot,,,"[60.4, 42.9]",,Ground Pass,,2.8635643,,,,Emre Can,3493.0,,,,,,Kick Off,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,2,Liverpool,24,['f0b7f2df-5115-43bb-a9d8-cbc5b63d3f2a'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.148,Pass,
,,,,,,,,,,,,,,,,,,,,1.42655,,,,,,,,,,,,7e43a646-0c6e-4519-9eaa-37bcf2b63593,8,,,"[60.0, 42.3]",3754305,0,,,,,2.8375916,,Right Foot,,,"[34.5, 50.3]",,Ground Pass,,26.725456,,,,Kolo Habib Touré,38412.0,,,,,,,1,From Kick Off,Emre Can,3493.0,Center Defensive Midfield,2,Liverpool,24,['0157d12f-0314-4a2b-8dd3-4005b9e02a80'],1,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.105,Pass,
,,,,,,,,,,,,,,,,,,,,1.249783,,,,,,,,,,,,08b0713e-4af7-43f5-80ca-1f9dc7f0f157,12,,,"[35.8, 48.1]",3754305,0,,,,,-1.9693187,,Right Foot,,,"[28.6, 31.0]",,Ground Pass,,18.553976,,,,Mamadou Sakho,3483.0,,,,,,,1,From Kick Off,Kolo Habib Touré,38412.0,Right Center Back,2,Liverpool,24,"['5201aee1-a544-4315-b7ff-97a00dd2786b', 'b2ebca62-f684-48d2-a430-f449d768e143']",3,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:03.627,Pass,True
,,,,,,,,,,,,,,,,,,,,3.047526,,,,,,,,,,,,082f9ab6-9a1c-4b9b-9420-85aa261c9ef7,16,,,"[36.4, 31.7]",3754305,0,,,,,0.23011601,,Left Foot,,,"[93.6, 45.1]",,High Pass,,58.748615,,Incomplete,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,"['261de8b1-6520-461a-b6b4-00b9a926d09f', '927dc668-6132-4545-9fbb-81f28670ddb5', '95b5aad1-6010-4fb7-9ef1-d197be3a74e6']",6,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:06.248,Pass,True
