50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[7.3, 74.9]",,,,,,,,,,,,1.23773,,,,,,,,,,,8b3cc904-34a2-4a29-9a83-c4159b03ba90,267,,"[7.6, 71.7]",3754208,4,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bacary Sagna,7110.0,Right Back,9,Liverpool,24,"['5c2d6132-72fe-4ec0-b7ac-837b7f088b9c', '80b1b515-ab95-452f-a45d-23faec8681c2', 'ccb76b48-db32-4c98-9eb4-858fb1f27cf9', 'd8054cc6-b9bd-4962-b733-f3b08fd0ba01']",53,,,,,,,,,,,,,,,,,,Manchester City,36,00:04:53.552,Carry,True
,,,,,,"[49.9, 74.1]",,,,,,,,,,,,2.06555,,,,,,,,,,,46b1bbb5-26b7-43fa-af11-3afd23b20b17,275,,"[31.2, 74.9]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gnégnéri Yaya Touré,3087.0,Right Defensive Midfield,10,Liverpool,24,"['9dcdba39-58b2-4d6a-a98e-a0c101f20c87', 'b563b7a9-f44a-43e3-a82a-84cc73377d5c', 'cddd0e0e-f3d8-4b04-a909-2cf7ab1562ac']",2,,,,,,,,,,,,,,,,,,Manchester City,36,00:05:02.559,Carry,True
,,,,,,"[71.9, 15.8]",,,,,,,,,,,,1.440592,,,,,,,,,,,74278cbc-512f-4175-96e6-c6080bb2cc67,281,,"[69.4, 9.2]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Emre Can,3493.0,Left Center Midfield,10,Liverpool,24,"['50435c3f-acf5-40f9-bfbd-7855cd252c1f', '54c9ed52-c709-4aa6-bad6-8e2ed7c49e14']",6,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:06.223,Carry,
,,,,,,"[57.1, 42.6]",,,,,,,,,,,,0.848302,,,,,,,,,,,03871734-a521-4271-ba80-d72a7540e386,290,,"[60.6, 35.5]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,James Philip Milner,3473.0,Right Center Midfield,10,Liverpool,24,"['baa173a6-6302-47b2-9141-100a887b6032', 'd540128d-d053-4c69-b200-c9a99678b190']",11,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:11.763,Carry,
,,,,,,"[57.1, 73.4]",,,,,,,,,,,,3.096108,,,,,,,,,,,42cecc13-79e0-4fd8-98f9-9ec1dcb41615,293,,"[64.9, 77.7]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,10,Liverpool,24,"['33c0da84-3176-45cc-af53-94d1ea43547f', 'd2499189-d7e5-4e90-b245-897ea7270b13']",14,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:14.542,Carry,
,,,,,,"[45.4, 65.0]",,,,,,,,,,,,0.786262,,,,,,,,,,,8864f555-ffa8-48c2-bdf9-8e7a60e789e8,296,,"[28.0, 64.8]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,10,Liverpool,24,"['76bdc6ac-9c08-4df1-82e6-097dcc99a92c', 'bd286269-79d6-4cef-998c-803c3fafc201']",19,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:19.822,Carry,
,,,,,,"[62.8, 48.6]",,,,,,,,,,,,1.784005,,,,,,,,,,,2904eebc-32ab-413a-b47f-18cb592cb90e,299,,"[64.5, 53.7]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,10,Liverpool,24,"['1e2d0460-6de5-4fe8-8039-e5a8fe2693a8', '1eaabb8d-6d52-4923-8723-47710a3270a5', '4292e2f6-dc91-42b6-92db-62d8e54945ef']",21,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:21.684,Carry,True
,,,,,,"[89.1, 22.2]",,,,,,,,,,,,4.610479,,,,,,,,,,,8de6b001-4eb2-4ae9-8ce0-d3c081c3dd79,303,,"[63.3, 23.8]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Emre Can,3493.0,Left Center Midfield,10,Liverpool,24,"['04ab1428-1bea-46e4-ae17-1e089caf90e7', 'b4083322-5a8b-465e-af60-724a2ed7004c']",24,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:24.796,Carry,
,,,,,,"[85.4, 3.3]",,,,,,,,,,,,1.479781,,,,,,,,,,,ab32a4d2-e07a-4b93-ac6a-624ffd1edffb,315,,"[85.4, 4.7]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,10,Liverpool,24,"['66e45456-5efa-4561-b301-d8c68141afdf', 'f5976bb8-f939-4820-b35d-0f52cb99dd4f', 'f7f4f72c-2718-42b6-9c83-4f9592d32647']",36,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:36.717,Carry,True
,,,,,,"[91.9, 4.7]",,,,,,,,,,,,0.439159,,,,,,,,,,,cc324f58-5005-429c-9262-f237cbbf10a0,319,,"[91.0, 6.0]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Left Wing,10,Liverpool,24,"['0b67b7e0-3f5a-4a8b-9b3d-168725fb25d5', '88ac0327-3c1e-42ca-a549-762abe6addbf', 'f3a56c52-dbd7-4ec1-b45a-9f702f326bd2']",39,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:39.155,Carry,True
