50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.391335,,,,,,,,,,,,1d95ca7d-618f-40b0-b3b5-310a5ea05ffd,2440,,,"[120.0, 80.0]",3754255,64,,,,,-1.6367153,,Left Foot,,,,"[117.3, 39.1]",,High Pass,True,40.98902,,,Unknown,,,,,True,Inswinging,,Corner,2,From Corner,Jonathan Grant Evans,11012.0,Center Defensive Midfield,119,West Bromwich Albion,27,,55,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:19:55.810,Pass,
,,,,,,,,,,,,,,,0.659656,,,,,,,,,,,,3e93df19-f839-402b-86dd-2a1045bcee11,2443,,,"[4.9, 41.6]",3754255,65,,True,,,-0.11379201,,Right Foot,,,,"[18.9, 40.0]",,Ground Pass,,14.091132,,,,,Emre Can,3493.0,,,,,Free Kick,2,From Free Kick,Simon Mignolet,3539.0,Goalkeeper,120,Liverpool,24,['d19e1c70-ad0b-45bd-b596-def5a15b659d'],17,,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:17.291,Pass,
,,,,,,,,,,,,,,,1.614372,,,,,,,,,,,,205b084c-9b16-4335-922c-b836a2528fed,2445,,,"[19.5, 38.5]",3754255,65,,,,,1.3366398,,Right Foot,,,,"[24.7, 60.3]",,Ground Pass,,22.411604,,,,,Martin Škrtel,18872.0,,,,,,2,From Free Kick,Emre Can,3493.0,Center Defensive Midfield,120,Liverpool,24,['41c412a1-1be8-43ce-8559-58df3e61d8aa'],18,,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:18.757,Pass,
,,,,,,,,,,,,,,,2.726466,,,,,,,,,,,,4a99e80a-50c5-4da0-b11c-e0ff4c40594a,2448,,,"[22.0, 61.9]",3754255,65,,,,,0.2141347,,Right Foot,,,,"[78.1, 74.1]",,High Pass,,57.411236,,,,,Adam David Lallana,4090.0,,,,,,2,From Free Kick,Martin Škrtel,18872.0,Right Center Back,120,Liverpool,24,['74b6a482-6354-4e80-a573-389f37b92ca4'],21,,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:21.973,Pass,
,,,,,,,,,,,,,,,2.269824,,,,,,,,,,,,f8402cbd-a453-4354-95d3-ce25d1248fc4,2451,,,"[42.4, 0.1]",3754255,65,,,,,0.28202924,,,,,,"[70.7, 8.3]",,High Pass,,29.464046,,,,,José Salomón Rondón Giménez,4041.0,,,,,Throw-in,2,From Throw In,Chris Brunt,3541.0,Left Back,121,West Bromwich Albion,27,['4678d666-b278-4149-b488-4e5349a48220'],42,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:20:42.573,Pass,
,,,,,,,,,,,,,,,1.741357,,,,,,,,,,,,dac032b6-2f2b-4afd-8f23-0a99a4e276d2,2455,,,"[50.3, 66.7]",3754255,65,,,,,3.0707438,,Right Foot,,,,"[34.8, 67.8]",,Ground Pass,,15.538983,,,,,Martin Škrtel,18872.0,,,,,Recovery,2,Regular Play,Emre Can,3493.0,Center Defensive Midfield,122,Liverpool,24,['695501ca-caca-4c3f-956e-f254d58ba3e8'],45,,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:45.937,Pass,
,,,,,,,,,,,,,,,2.331357,,,,,,,,,,,,ef5e12e9-06c9-47ea-ab3f-7f6678f6e10d,2458,,,"[34.8, 67.8]",3754255,65,,,,,-2.4824018,,Right Foot,,,,"[8.6, 47.5]",,Ground Pass,,33.14408,,,,,Simon Mignolet,3539.0,,,,,,2,Regular Play,Martin Škrtel,18872.0,Right Center Back,122,Liverpool,24,['8592328f-9a13-4c0c-a5de-caeb69475b37'],48,,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:48.760,Pass,
,,,,,,,,,,,,,,,3.720041,,,,,,,,,,,,f791cdc9-93c5-442f-b3a6-b450f540af76,2461,,,"[9.0, 47.5]",3754255,65,,,,,0.016472975,,Right Foot,,,,"[69.7, 48.5]",,High Pass,,60.708237,,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,2,Regular Play,Simon Mignolet,3539.0,Goalkeeper,122,Liverpool,24,"['4b809d97-f3d0-40f3-8e83-0cb846b92422', '54a80f66-21bb-4d72-a78a-9d91c5f78f6b']",51,,,,,,,,,,,,,,,,,,,Liverpool,24,00:20:51.243,Pass,
,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,4b809d97-f3d0-40f3-8e83-0cb846b92422,2464,,,"[50.4, 31.6]",3754255,65,,,,True,-2.5223503,,,,,,"[41.0, 24.9]",,High Pass,,11.543396,,,,,Chris Brunt,3541.0,,,,,Recovery,2,Regular Play,Gareth McAuley,3596.0,Right Center Back,122,Liverpool,24,"['d3f206c1-2c34-4219-afdb-9c9f452b7553', 'f791cdc9-93c5-442f-b3a6-b450f540af76', 'fd4e61b1-6c69-41b3-b93e-6e27e73e3bbe']",54,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:20:54.963,Pass,True
,,,,,,,,,,,,,,,6.057022,,,,,,,,,,,,e4e1fab9-14e4-47d5-b83d-00ef6c892b24,2467,,,"[41.0, 24.9]",3754255,65,,,,,-0.39392638,,Right Foot,,,,"[98.5, 1.0]",,High Pass,,62.269253,,,Out,,José Salomón Rondón Giménez,4041.0,,,,,,2,Regular Play,Chris Brunt,3541.0,Left Back,122,Liverpool,24,['6f2ebf93-653c-401f-b078-e9e8406fefa3'],56,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:20:56.616,Pass,
,,,,,,,,,,,,,,,1.255933,,,,,,,,,,,,264076e9-ab5e-4f83-928c-0c4132565218,2470,,,"[23.1, 80.0]",3754255,66,,,,,-0.57177687,,,,,,"[34.6, 72.6]",,Low Pass,,13.67516,,,,,James Philip Milner,3473.0,,,,,Throw-in,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,123,Liverpool,24,['4403cc78-c8b4-4a4e-b881-99a4bea606d7'],18,,,,,,,,,,,,,,,,,,,Liverpool,24,00:21:18.685,Pass,
,,,,,,,,,,,,,,,0.844822,,,,,,,,,,,,144a0abd-4b70-47f1-9663-8fd2d432d83f,2474,,,"[29.5, 71.5]",3754255,66,,,,,2.938934,,Right Foot,,,,"[22.2, 73.0]",,Ground Pass,,7.4525166,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,2,From Throw In,James Philip Milner,3473.0,Left Center Midfield,123,Liverpool,24,"['6ed284eb-ef16-4883-bd20-16b5a45d2131', '95959c1b-6a23-4a2d-a077-ff522e6204f2']",20,,,,,,,,,,,,,,,,,,,Liverpool,24,00:21:20.823,Pass,True
,,,,,,,,,,,,,,,2.628287,,,,,,,,,,,,251b00d7-7ae7-4fdf-adb2-76a84cc0a1e4,2477,,,"[22.2, 73.0]",3754255,66,,,,,-0.18855447,,Right Foot,,,,"[63.6, 65.1]",,High Pass,,42.147003,,,Incomplete,,,,,,,,,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,123,Liverpool,24,['148dac7e-b036-4084-80ec-87ef3a790954'],21,,,,,,,,,,,,,,,,,,,Liverpool,24,00:21:21.743,Pass,
,,,,,,,,,,,,,,,2.926912,,,,,,,,,,,,148dac7e-b036-4084-80ec-87ef3a790954,2478,,,"[56.5, 15.0]",3754255,66,,,,,-0.33205947,,Head,,,,"[85.5, 5.0]",,High Pass,,30.675724,,,,,James McClean,3514.0,,,,,Recovery,2,Regular Play,Jonas Olsson,20527.0,Left Center Back,124,West Bromwich Albion,27,"['138d1569-f89f-4c7d-ba6d-9dee3e2fdd02', '251b00d7-7ae7-4fdf-adb2-76a84cc0a1e4']",24,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:21:24.372,Pass,
,,,,,,,,,,,,,,,0.591722,,,,,,,,,,,,184f1c9a-e000-43da-b708-a4e45c9571d1,2481,,,"[85.3, 5.4]",3754255,66,,,,True,1.5707964,,,,,,"[85.3, 17.5]",,Low Pass,,12.1,,,,,James Morrison,3490.0,,,,,,2,Regular Play,James McClean,3514.0,Left Midfield,124,West Bromwich Albion,27,"['405a09a6-69cf-46e7-ba1c-9ee34fb32b85', 'd87ae09b-3dd9-4847-9760-cf6ea2b6510e']",27,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:21:27.453,Pass,True
,,,,,,,,,,,,,,,1.917686,,,,,,,,,,,,0e566c3d-29c5-4d49-9c6e-eabd13a3f32c,2487,,,"[21.2, 71.8]",3754255,66,,,,,-1.48958,,Right Foot,,,,"[22.6, 54.6]",,Ground Pass,,17.256884,,,,,Martin Škrtel,18872.0,,,,,Recovery,2,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,125,Liverpool,24,['3c20dda7-e742-4f28-bbec-0251e224f440'],32,,,,,,,,,,,,,,,,,,,Liverpool,24,00:21:32.208,Pass,
,,,,,,,,,,,,,,,1.764203,,,,,,,,,,,,099ff672-fe13-423e-93c5-7cf5cda5881d,2490,,,"[27.0, 51.2]",3754255,66,,,,,-1.3295324,,Right Foot,,,,"[34.8, 19.5]",,Ground Pass,,32.64552,,,,,Alberto Moreno Pérez,3515.0,,,,,,2,Regular Play,Martin Škrtel,18872.0,Right Center Back,125,Liverpool,24,['c50baa94-3fdf-4fa2-b48a-742ceeae85dd'],35,,,,,,,,,,,,,,,,,,,Liverpool,24,00:21:35.049,Pass,
,,,,,,,,,,,,,,,1.644962,,,,,,,,,,,,83a24402-0ba4-49b4-bea9-857d0b33cc19,2493,,,"[48.8, 23.8]",3754255,66,,,,,0.017728638,,Left Foot,,,,"[77.0, 24.3]",,Ground Pass,,28.204432,,,,,Christian Benteke Liolo,3380.0,,,,,,2,Regular Play,Alberto Moreno Pérez,3515.0,Left Back,125,Liverpool,24,['0264b85b-b88f-4c1a-87be-ed8ff5ff410d'],39,,,,,,,,,,,,,,,,,,,Liverpool,24,00:21:39.677,Pass,
,,,,,,,,,,,,,,,1.265826,,,,,,,,,,,,ac89e0f2-b65e-4a84-8c83-018b56ab1a5e,2500,,,"[70.8, 24.7]",3754255,67,,True,,,-0.36002016,,Right Foot,,,,"[97.1, 14.8]",,Ground Pass,,28.1016,,,,,Philippe Coutinho Correia,3501.0,,,,,Free Kick,2,From Free Kick,James Philip Milner,3473.0,Left Center Midfield,126,Liverpool,24,['891a8e8d-3e1e-47e4-9994-7c88eaea5e29'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:22:00.489,Pass,
,,,,,,,,,,,,,,,1.138118,,,,,,,,,,,,72754507-c6cc-4737-a0fa-a4c8d2161e9c,2509,,,"[29.3, 64.0]",3754255,67,,,,,-0.324513,,Right Foot,,,,"[51.0, 56.7]",,Ground Pass,,22.894978,,,,,José Salomón Rondón Giménez,4041.0,,,,,,2,Regular Play,Darren Fletcher,4022.0,Right Center Midfield,127,West Bromwich Albion,27,"['beaf3ef6-6133-4b76-a6e7-f228bf569222', 'e966d134-7999-4ec6-bfd4-bbc4c1fc7739']",4,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:22:04.932,Pass,True
,,,,,,,,,,,,,,,0.720225,,,,,,,,,,,,a156db5c-4700-4ad8-9515-04b8eef65826,2514,,,"[52.5, 56.1]",3754255,67,,,,,-1.3564008,,Right Foot,,,,"[55.2, 43.7]",,Ground Pass,,12.690548,,,,,James Morrison,3490.0,,,,,,2,Regular Play,José Salomón Rondón Giménez,4041.0,Center Forward,127,West Bromwich Albion,27,['3f7baee2-f29a-4eea-bf0d-710f5cde3d46'],8,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:22:08.074,Pass,
,,,,,,,,,,,,,,,2.357629,,,,,,,,,,,,4dbd0184-30c2-4877-b007-4a732b2bc6e3,2517,,,"[56.2, 42.7]",3754255,67,,,,,-1.3248805,,Left Foot,,,,"[62.5, 17.6]",,Ground Pass,,25.878563,,,,,James McClean,3514.0,,,,,,2,Regular Play,James Morrison,3490.0,Left Center Midfield,127,West Bromwich Albion,27,['f84913f9-b41a-4778-9d75-1db52c0d9c33'],9,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:22:09.449,Pass,
,,,,,,,,,,,,,,,1.186954,,,,,,,,,,,,a760532d-1f53-405b-b28a-0b79fca2a571,2522,,,"[76.7, 15.5]",3754255,67,,,,,-0.43368384,,Left Foot,,,,"[91.6, 8.6]",,Ground Pass,,16.420109,,,,,Chris Brunt,3541.0,,,,,,2,Regular Play,James McClean,3514.0,Left Midfield,127,West Bromwich Albion,27,['8f067d1d-a4e4-403f-8789-f0ae834ee8ea'],15,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:22:15.830,Pass,
,,,,,,,,,,,,,,,1.596696,,,,,,,,,,,,2dc660fa-8e63-4e1d-8e24-1b8a129b7d71,2525,,,"[84.5, 14.6]",3754255,67,,,,,2.9429069,,Right Foot,,,,"[69.6, 17.6]",,Ground Pass,,15.199013,,,,,Jonathan Grant Evans,11012.0,,,,,,2,Regular Play,Chris Brunt,3541.0,Left Back,127,West Bromwich Albion,27,['f6d33654-09f8-4ce0-be21-5515c144e592'],21,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:22:21.178,Pass,
,,,,,,,,,,,,,,,3.412007,,,,,,,,,,,,8e743e4e-46f8-4246-a960-dcf3a6052d7f,2529,,,"[64.0, 24.0]",3754255,67,,,,,1.1128793,,Right Foot,,,,"[91.6, 80.0]",,High Pass,,62.43204,,,Out,,Craig Dawson,3523.0,,True,,,,2,Regular Play,Jonathan Grant Evans,11012.0,Center Defensive Midfield,127,West Bromwich Albion,27,['d127de2d-4db7-4feb-9138-4db047e1be41'],24,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:22:24.491,Pass,
,,,,,,,,,,,,,,,0.797726,,,,,,,,,,,,0f161279-afa4-49f3-8bc5-c374c13b08df,2531,,,"[35.2, 0.1]",3754255,67,,,,,1.359703,,,,,,"[36.7, 7.1]",,Low Pass,,7.1589108,,,,,Jordan Brian Henderson,3532.0,,,,,Throw-in,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,128,Liverpool,24,['46db8132-fd33-4149-9871-2fc0b74a9c99'],34,,,,,,,,,,,,,,,,,,,Liverpool,24,00:22:34.801,Pass,
,,,,,,,,,,,,,,,0.63906,,,,,,,,,,,,2cd2af9a-514f-46cd-a7dc-754129ff8e06,2534,,,"[35.6, 7.7]",3754255,67,,,,,-1.5707964,,Right Foot,,,,"[35.6, 1.9]",,Low Pass,,5.8,,,,,Alberto Moreno Pérez,3515.0,,,,,,2,From Throw In,Jordan Brian Henderson,3532.0,Right Center Midfield,128,Liverpool,24,['c73b5304-d022-490e-9d98-7c17fea89a80'],35,,,,,,,,,,,,,,,,,,,Liverpool,24,00:22:35.821,Pass,
,,,,,,,,,,,,,,,0.652062,,,,,,,,,,,,d339e59d-e4ac-4b10-aeab-06fa128db6f8,2537,,,"[34.6, 2.5]",3754255,67,,,,,1.4949925,,Left Foot,,,,"[35.2, 10.4]",,Ground Pass,,7.922752,,,,,Jordan Brian Henderson,3532.0,,,,,,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,128,Liverpool,24,['5359d756-e66b-4edc-92f5-cd4567cb19cd'],37,,,,,,,,,,,,,,,,,,,Liverpool,24,00:22:37.666,Pass,
