50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.790921,,,,,,,,,,,,,,44adac7c-7602-4048-906a-af64ce413894,18,,"[32.6, 40.9]",3754064,0,,,,1.2886726,,Left Foot,,,,"[40.6, 68.5]",,Ground Pass,,28.73604,,,,,Jon Flanagan,10007.0,,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Liverpool,24,['a39157f4-26d8-4233-a699-9af72a517103'],8,,,,,,,,,,,,,,,,,Liverpool,24,00:00:08.510,Pass,
,,,,,,,,,,,,,,,,,,,,1.749861,,,,,,,,,,,,,,2dba79bb-d4b4-40f2-801b-07caf313ec95,21,,"[40.2, 68.9]",3754064,0,,,,-2.4339192,,Right Foot,,,,"[22.9, 54.1]",,Ground Pass,,22.766861,,,,,Dejan Lovren,3471.0,,,,,,,1,From Kick Off,Jon Flanagan,10007.0,Right Back,2,Liverpool,24,['c4d6b5a9-8308-4a42-80fe-6a41795e15ba'],11,,,,,,,,,,,,,,,,,Liverpool,24,00:00:11.007,Pass,
,,,,,,,,,,,,,,,,,,,,1.995534,,,,,,,,,,,,,,b60d4682-ad1f-4bb7-a003-709feddea724,24,,"[25.8, 54.1]",3754064,0,,,,-2.7647798,,Right Foot,,,,"[7.1, 46.7]",,Ground Pass,,20.110943,,,,,Simon Mignolet,3539.0,,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Liverpool,24,['993a2623-7ebc-4a12-981f-685119d77555'],13,,,,,,,,,,,,,,,,,Liverpool,24,00:00:13.196,Pass,
,,,,,,,,,,,,,,,,,,,,3.396243,,,,,,,,,,,,,,82a49a83-dcc7-4c60-99cd-1abcbf583555,26,,"[6.2, 43.4]",3754064,0,,,,-0.022256598,,Right Foot,,,,"[64.6, 42.1]",,High Pass,,58.414467,,,Incomplete,,Divock Okoth Origi,4747.0,,,,,,,1,From Kick Off,Simon Mignolet,3539.0,Goalkeeper,2,Liverpool,24,"['c1948060-7a7d-4630-94ed-8c795bffc19c', 'c3c8c287-2c40-4770-8371-3ef96a9b108b']",15,,,,,,,,,,,,,,,,,Liverpool,24,00:00:15.192,Pass,
,,,,,,,,,,,,,,,,,,,,2.219807,,,,,,,,,,,,,,71867470-27f8-41ab-a689-7a3b0f4dfc33,30,,"[48.0, 53.2]",3754064,0,,,True,0.7492693,,,,,,"[52.3, 57.2]",,Low Pass,,5.872819,,,,,Adam David Lallana,4090.0,,,,,,Recovery,1,From Kick Off,Jon Flanagan,10007.0,Right Back,2,Liverpool,24,"['c61bb0db-561e-41aa-816f-35cdc4f35a6e', 'caff8854-452c-4583-a142-dbd10f41dc5d']",20,,,,,,,,,,,,,,,,,Liverpool,24,00:00:20.402,Pass,True
,,,,,,,,,,,,,,,,,,,,0.714,,,,,,,,,,,,,,88ffe210-fcb0-48d0-82e4-90676108dff6,37,,"[43.2, 80.0]",3754064,0,True,,,-0.29780304,,,,,,"[63.4, 73.8]",,Low Pass,,21.130074,,,,,Divock Okoth Origi,4747.0,,,,,,Throw-in,1,From Throw In,Jon Flanagan,10007.0,Right Back,3,Liverpool,24,['85f26632-7c2b-4d76-8409-ca7a941ee0c6'],34,,,,,,,,,,,,,,,,,Liverpool,24,00:00:34.351,Pass,
,,,,,,,,,,,,,,,,,,,,1.052563,,,,,,,,,,,,,,57587fb6-c907-4ddd-9b04-1d11ad188ccb,42,,"[63.4, 73.8]",3754064,0,,,,-0.08550529,,Right Foot,,,,"[77.4, 72.6]",,Ground Pass,,14.051334,,,,,Adam David Lallana,4090.0,,,,,,,1,From Throw In,Divock Okoth Origi,4747.0,Left Center Forward,3,Liverpool,24,['ec213171-7d45-4585-980d-19be348f3224'],37,,,,,,,,,,,,,,,,,Liverpool,24,00:00:37.763,Pass,
,,,,,,,,,,,,,,,,,,,,1.273387,,,,,,,,,,,,,,066b57aa-292a-47da-ade3-c1df429bfc05,45,,"[96.3, 70.7]",3754064,0,,,,-1.1886797,,Right Foot,True,,,"[104.9, 49.3]",,Low Pass,,23.06339,,,Incomplete,,Daniel Andre Sturridge,3529.0,,,,,,,1,From Throw In,Adam David Lallana,4090.0,Right Midfield,3,Liverpool,24,"['b1748a70-760c-443c-ab4b-25c3c7a9053b', 'd3c2cc3e-08b9-486b-aeab-ea48e0d9fe23']",42,,,,,,,,,,,,,,,,,Liverpool,24,00:00:42.643,Pass,
,,,,,,,,,,,,,,,,,,,,0.72269,,,,,,,,,,,,,,d3c2cc3e-08b9-486b-aeab-ea48e0d9fe23,47,,"[15.2, 30.8]",3754064,0,,,,-0.9907935,,Right Foot,,,,"[17.1, 27.9]",,Ground Pass,,3.4669871,,,,,Oriol Romeu Vidal,3272.0,,,,,,Interception,1,From Throw In,José Miguel da Rocha Fonte,3960.0,Right Center Back,3,Liverpool,24,"['066b57aa-292a-47da-ade3-c1df429bfc05', '61cfaad7-1802-42a4-9425-7e2fe3741084']",43,,,,,,,,,,,,,,,,,Southampton,25,00:00:43.917,Pass,
,,,,,,,,,,,,,,,,,,,,1.88605,,,,,,,,,,,,,,5621bdcd-86aa-4936-b68f-19284e7aa835,56,,"[81.5, 52.0]",3754064,0,,,,-1.5355169,,Head,,,,"[82.1, 35.0]",,High Pass,,17.010586,,,,,Joe Allen,10931.0,,,,,,Recovery,1,From Throw In,Emre Can,3493.0,Right Center Midfield,3,Liverpool,24,['a9a81afc-af5b-468d-a11b-99e3f1a28ed4'],48,,,,,,,,,,,,,,,,,Liverpool,24,00:00:48.197,Pass,
