ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.38336,,,,,,,,,,,,,,7bb21d35-d3bd-4a67-b306-f1673a1643a8,2877,,"[34.5, 50.6]",3754226,84,,,,,0.21253063,,Right Foot,,,,"[53.5, 54.7]",,Ground Pass,,19.437336,,,,Jeremain Lens,16457.0,,,,,,,2,Regular Play,Lee Cattermole,10783.0,Right Center Midfield,170,Sunderland,41,['b0e36af1-a2e3-4723-85b1-0d40e547f98b'],44,,,,,,,,,,,,,,,,,Sunderland,41,00:39:44.354,Pass,
,,,,,,,,,,,,,,,,1.659906,,,,,,,,,,,,,,4ee2b102-1027-45ce-9e0c-3ac6e365687e,2882,,"[27.0, 4.2]",3754226,84,,,,,2.3045688,,Right Foot,,,,"[11.4, 21.5]",,Ground Pass,,23.29485,,,,Mamadou Sakho,3483.0,,,,,,Recovery,2,Regular Play,Emre Can,3493.0,Left Defensive Midfield,171,Liverpool,24,['833d80aa-3827-4b1f-a359-d890cf27ee5c'],50,,,,,,,,,,,,,,,,,Liverpool,24,00:39:50.691,Pass,
,,,,,,,,,,,,,,,,3.691381,,,,,,,,,,,,,,1c659f0a-d448-4487-96dc-350c6d7aff37,2888,,"[16.3, 20.3]",3754226,86,,,,,-0.30000478,,Right Foot,,,,"[81.6, 0.1]",,High Pass,,68.35298,,Out,,Christian Benteke Liolo,3380.0,,,,,,Free Kick,2,From Free Kick,Simon Mignolet,3539.0,Goalkeeper,172,Liverpool,24,['9f195311-9d89-47a6-80ec-06d45031bfbd'],40,,,,,,,,,,,,,,,,,Liverpool,24,00:41:40.952,Pass,
,,,,,,,,,,,,,,,,1.461725,,,,,,,,,,,,,,e5b51b02-0720-4646-92bc-844899da8691,2890,,"[41.3, 80.0]",3754226,86,,True,,,-0.5931133,,,,,,"[68.3, 61.8]",,High Pass,,32.561325,,Incomplete,,Jermain Defoe,3337.0,,,,,,Throw-in,2,From Throw In,DeAndre Yedlin,3658.0,Right Back,173,Sunderland,41,"['0db5c4c1-2dad-4e9f-acb1-83f60fab8f00', '92eaa1bc-ac7e-4ea9-9e36-edfeafe1f58c']",56,,,,,,,,,,,,,,,,,Sunderland,41,00:41:56.294,Pass,
,,,,,,,,,,,,,,,,2.323207,,,,,,,,,,,,,,56019f6a-d316-48a1-a692-838f90d7dedc,2894,,"[49.7, 2.9]",3754226,87,,,,,0.18713365,,Head,,,,"[66.6, 6.1]",,High Pass,,17.20029,,Incomplete,,Jordon Ibe,3635.0,,,,,,Recovery,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,173,Sunderland,41,"['04452d1d-ac23-4030-bffc-6900d96e5864', '3b2b2b2a-d043-4bd3-a5ed-8a1ae25bc591']",0,,,,,,,,,,,,,,,,,Liverpool,24,00:42:00.143,Pass,
,,,,,,,,,,,,,,,,0.650454,,,,,,,,,,,,,,14064765-74c3-4eaa-aff5-e91c0ab65ed9,2898,,"[57.2, 12.1]",3754226,87,,,,,0.11343499,,Head,,,,"[65.1, 13.0]",,Low Pass,,7.9511003,,Incomplete,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,2,From Throw In,Lucas Pezzini Leiva,7780.0,Right Defensive Midfield,173,Sunderland,41,"['31af03ce-3592-44b6-a03a-0a2224e943a8', '68435f7a-02c5-4fa8-bab9-84d7265ee02a']",6,,,,,,,,,,,,,,,,,Liverpool,24,00:42:06.032,Pass,
,,,,,,,,,,,,,,,,1.604072,,,,,,,,,,,,,,5230b8e9-bf40-48d3-8f22-d6344907adca,2902,,"[53.5, 63.5]",3754226,87,,,,,-1.670465,,Left Foot,,,,"[49.9, 27.5]",,High Pass,,36.179554,,,,Patrick van Aanholt,3321.0,,,,,,,2,From Throw In,Lee Cattermole,10783.0,Right Center Midfield,173,Sunderland,41,['32224793-68f3-4685-a7ec-566066cc461d'],8,,,,,,,,,,,,,,,,,Sunderland,41,00:42:08.686,Pass,
,,,,,,,,,,,,,,,,1.502285,,,,,,,,,,,,,,4a9a2a38-aedc-4c01-94eb-4dfc08fd8518,2906,,"[79.4, 80.0]",3754226,87,,,,,-0.6435011,,,,,,"[88.6, 73.1]",,Low Pass,,11.5,,,,Christian Benteke Liolo,3380.0,,,,,,Throw-in,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,174,Liverpool,24,['18df0898-11f0-485a-b1fb-bf43e2408be4'],30,,,,,,,,,,,,,,,,,Liverpool,24,00:42:30.149,Pass,
,,,,,,,,,,,,,,,,1.31154,,,,,,,,,,,,,,b0f7609b-feb9-453c-81f9-255520c9d554,2912,,"[88.2, 75.9]",3754226,87,,,,,-0.8031478,,Right Foot,,,,"[96.5, 67.3]",,High Pass,,11.951987,,,,Adam David Lallana,4090.0,,,,,,Recovery,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,174,Liverpool,24,['a06c040a-8fe7-408d-9087-32c990b02fc7'],34,,,,,,,,,,,,,,,,,Liverpool,24,00:42:34.251,Pass,
,,,,,,,,,,,,,,,,0.934345,,,,,,,,,,,,,,f1689497-b6b6-4b28-a531-35864d5fbd24,2915,,"[96.3, 68.0]",3754226,87,,,,,-1.3045443,,Right Foot,,,,"[98.7, 59.2]",,Low Pass,,9.121404,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,2,From Throw In,Adam David Lallana,4090.0,Right Wing,174,Liverpool,24,['e83927cd-b4c7-4b5f-acf2-acd4e1704194'],35,,,,,,,,,,,,,,,,,Liverpool,24,00:42:35.563,Pass,
,,,,,,,,,,,,,,,,1.311209,,,,,,,,,,,,,,0123af5f-4290-4cac-8389-94215c7d827f,2922,,"[105.7, 49.6]",3754226,87,,,,,-1.5293999,e558f8cf-412c-406a-82d2-cf0a894396a7,Right Foot,,,,"[106.4, 32.7]",,Ground Pass,,16.914492,,,,Jordon Ibe,3635.0,True,,,,,,2,From Throw In,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,174,Liverpool,24,['e590f6f5-e057-4128-bbec-7d8d4d0dc528'],38,,,,,,,,,,,,,,,,,Liverpool,24,00:42:38.788,Pass,
,,,,,,,,,,,,,,,,2.392672,,,,,,,,,,,,,,22093e7c-fb06-4fdb-bfde-e320e172a048,2928,,"[7.0, 36.1]",3754226,88,,True,,,0.12128142,,Right Foot,,,,"[75.1, 44.4]",,High Pass,,68.603935,,Incomplete,,,,,,,,,Goal Kick,2,From Goal Kick,Vito Mannone,9539.0,Goalkeeper,175,Sunderland,41,['fa76fcff-6af7-4b80-85db-349851ba81af'],6,,,,,,,,,,,,,,,,,Sunderland,41,00:43:06.775,Pass,
,,,,,,,,,,,,,,,,0.89902,,,,,,,,,,,,,,fa76fcff-6af7-4b80-85db-349851ba81af,2929,,"[45.0, 35.7]",3754226,88,,,,,0.49488744,,Head,,,,"[57.6, 42.5]",,Low Pass,,14.3178215,,Incomplete,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Recovery,2,From Goal Kick,Emre Can,3493.0,Left Defensive Midfield,175,Sunderland,41,"['17ea6542-4842-4c77-b3f3-18adcb373aa3', '22093e7c-fb06-4fdb-bfde-e320e172a048', '59d2dc08-26d4-4277-8f47-f0bd3f7330c6']",9,,,,,,,,,,,,,,,,,Liverpool,24,00:43:09.167,Pass,
,,,,,,,,,,,,,,,,1.144596,,,,,,,,,,,,,,59d2dc08-26d4-4277-8f47-f0bd3f7330c6,2931,,"[62.5, 37.6]",3754226,88,,,,,0.35563588,,Head,,,,"[73.0, 41.5]",,Low Pass,,11.200892,,Incomplete,,Fabio Borini,7171.0,,,,,,Recovery,2,From Goal Kick,Yann Gérard M''Vila,4429.0,Center Defensive Midfield,175,Sunderland,41,"['c9190c47-e307-48f9-a0fd-ff7b16faa1c8', 'cd2a5032-3c42-4406-aba2-7ed36c095f54', 'fa76fcff-6af7-4b80-85db-349851ba81af']",10,,,,,,,,,,,,,,,,,Sunderland,41,00:43:10.066,Pass,
,,,,,,,,,,,,,,,,5.028693,,,,,,,,,,,,,,c9190c47-e307-48f9-a0fd-ff7b16faa1c8,2933,,"[47.1, 38.6]",3754226,88,,,,,0.591422,,Right Foot,,,,"[107.7, 79.3]",,High Pass,,72.99897,,Out,,Christian Benteke Liolo,3380.0,,,True,,,Recovery,2,From Goal Kick,Emre Can,3493.0,Left Defensive Midfield,175,Sunderland,41,"['59d2dc08-26d4-4277-8f47-f0bd3f7330c6', 'c0c2c823-91cf-4c10-a99c-12474956746f']",11,,,,,,,,,,,,,,,,,Liverpool,24,00:43:11.211,Pass,
,,,,,,,,,,,,,,,,0.858915,,,,,,,,,,,,,,f6970cd8-3b98-4d56-a9f3-2d2ed1af2ce8,2935,,"[12.9, 0.1]",3754226,88,,,,,0.6378301,,,,,,"[21.4, 6.4]",,Low Pass,,10.58017,,,,Patrick van Aanholt,3321.0,,,,,,Throw-in,2,From Throw In,Wes Brown,40366.0,Left Center Back,176,Sunderland,41,['cff9384d-c7a9-4adf-a9ab-59d67156435d'],21,,,,,,,,,,,,,,,,,Sunderland,41,00:43:21.735,Pass,
,,,,,,,,,,,,,,,,1.093801,,,,,,,,,,,,,,9b2b39c1-48e8-4d36-ada9-9af97ca1311d,2938,,"[21.6, 6.4]",3754226,88,,,,,-2.9539528,,Right Foot,,,,"[13.7, 4.9]",,Ground Pass,,8.041144,,,,Wes Brown,40366.0,,,,,,,2,From Throw In,Patrick van Aanholt,3321.0,Left Back,176,Sunderland,41,['248cc5d9-76a5-4960-af13-2d34ffffd473'],23,,,,,,,,,,,,,,,,,Sunderland,41,00:43:23.222,Pass,
,,,,,,,,,,,,,,,,0.103059,,,,,,,,,,,,,,822cbc42-e230-4e3f-9e12-17a3465a9bbf,2942,,"[12.0, 4.7]",3754226,88,,,,,-0.18697926,,Right Foot,,,,"[15.7, 4.0]",,Low Pass,,3.765634,,Incomplete,,Patrick van Aanholt,3321.0,,,,,,,2,From Throw In,Wes Brown,40366.0,Left Center Back,176,Sunderland,41,"['75249148-54cc-4b1a-aa2b-568c00abcef3', 'ab37164c-adc0-4398-a688-85c19e08aa5b', 'b9a1e862-bf09-4a72-9a37-cd3cdf571320']",24,,,,,,,,,,,,,,,,,Sunderland,41,00:43:24.476,Pass,True
,,,,,,,,,,,,,,,,2.237094,,,,,,,,,,,,,,8e8b7691-ca7e-442d-bde2-2c48efe56fa8,2945,,"[21.6, 0.1]",3754226,88,,,,,0.16347644,,,,,,"[50.7, 4.9]",,High Pass,,29.49322,,Incomplete,,Jermain Defoe,3337.0,,,,,,Throw-in,2,From Throw In,Patrick van Aanholt,3321.0,Left Back,177,Sunderland,41,"['26792f17-a5f2-46c6-a1dd-9339f236ec92', '46e1c4dd-4361-4ac5-8e0e-3748690c3e32']",37,,,,,,,,,,,,,,,,,Sunderland,41,00:43:37.569,Pass,
,,,,,,,,,,,,,,,,1.8692,,,,,,,,,,,,,,f393800e-d392-43d3-826b-c59940dd98e8,2954,,"[85.6, 75.2]",3754226,89,,,,,0.0,,Right Foot,,,,"[108.9, 75.2]",,Ground Pass,,23.3,,Incomplete,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Free Kick,2,From Free Kick,Adam David Lallana,4090.0,Right Wing,178,Liverpool,24,"['8d2bfe1b-c83e-403d-8f82-c5525bf8e31a', 'cc0808ef-0997-42b3-b27f-034c813e834d']",4,,,,,,,,,,,,,,,,,Liverpool,24,00:44:04.850,Pass,
