ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[86.5, 76.8]",,,,,,,,,,,,0.256603,,,,,,,,,,,e791670e-a2d0-4f47-8c64-391753a071c6,2891,,"[86.5, 76.8]",3754198,72,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adam David Lallana,4090.0,Center Attacking Midfield,192,Liverpool,24,"['8f4ae542-d73a-4d77-a8ee-b1981f51875c', 'ee42a1c3-1ddc-40df-98ba-91e9bcf35cae']",52,,,,,,,,,,,,,,,,,Liverpool,24,00:27:52.802,Carry,
,,,"[86.5, 76.8]",,,,,,,,,,,,1.09589,,,,,,,,,,,74ff0ffd-806e-4667-87b1-3ba1d10fbbac,2895,,"[86.5, 76.8]",3754198,72,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,James Philip Milner,3473.0,Right Wing,192,Liverpool,24,"['6039f890-590c-42f1-9596-a82d7c6b6e7d', 'aa5de6f0-88f6-417b-906f-195f07b3e7af', 'cec03ce5-9a02-4e87-b80c-c0b7a30a848e']",53,,,,,,,,,,,,,,,,,Liverpool,24,00:27:53.595,Carry,True
,,,"[100.3, 76.6]",,,,,,,,,,,,0.643117,,,,,,,,,,,1f412ac0-4798-45de-b7cb-861c63c8f433,2898,,"[86.5, 76.8]",3754198,72,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,James Philip Milner,3473.0,Right Wing,192,Liverpool,24,"['7c61a560-5a43-4c84-83d5-0eb79c5d4d96', 'aa5de6f0-88f6-417b-906f-195f07b3e7af', 'cec03ce5-9a02-4e87-b80c-c0b7a30a848e']",54,,,,,,,,,,,,,,,,,Liverpool,24,00:27:54.691,Carry,True
,,,"[98.1, 65.7]",,,,,,,,,,,,0.973357,,,,,,,,,,,c3ff24ec-29ad-4d8f-a3d2-7c2caa4a8985,2901,,"[98.3, 72.6]",3754198,72,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adam David Lallana,4090.0,Center Attacking Midfield,192,Liverpool,24,"['a820c4e3-f68c-4dac-a32b-4f3a1301c44d', 'c8b47bf4-b110-4209-b4df-ae0898570aa6']",55,,,,,,,,,,,,,,,,,Liverpool,24,00:27:55.980,Carry,
,,,"[97.9, 53.1]",,,,,,,,,,,,0.681715,,,,,,,,,,,5647cc24-4bb7-42ee-b517-a44f643d440a,2904,,"[95.1, 55.1]",3754198,72,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Emre Can,3493.0,Left Center Midfield,192,Liverpool,24,"['94d19c6b-15f5-46d6-9f17-36ff63075b27', '98cd81c2-512e-4551-9b84-ad8b3774a17f']",57,,,,,,,,,,,,,,,,,Liverpool,24,00:27:57.783,Carry,
,,,"[105.9, 58.8]",,,,,,,,,,,,0.06725,,,,,,,,,,,fc0fb1bf-3641-4b07-bb13-30ad9b812f42,2907,,"[105.9, 58.8]",3754198,72,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adam David Lallana,4090.0,Center Attacking Midfield,192,Liverpool,24,"['4242bba0-2b5e-44a9-96c7-18bccf97f17d', '8c955abb-0fb7-421a-83b4-8dc9259edffd']",58,,,,,,,,,,,,,,,,,Liverpool,24,00:27:58.938,Carry,
,,,"[15.4, 21.0]",,,,,,,,,,,,1.047015,,,,,,,,,,,f02d20e4-f2c5-40c3-878e-6e1b1669aa4f,2910,,"[15.4, 21.0]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Bamidele Alli,3094.0,Left Center Midfield,192,Liverpool,24,"['61516b6e-6417-4f74-8fe6-b48b751204e0', 'ea049bc0-95a7-49cd-a456-fe67598c8af2']",0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:28:00.032,Carry,
,,,"[54.8, 35.9]",,,,,,,,,,,,0.176494,,,,,,,,,,,8d05b8f9-3678-4122-b373-24aafc1e87d1,2916,,"[55.3, 35.9]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,192,Liverpool,24,"['57cddc0d-9072-442a-8d7f-7ac5707c6450', 'ccdb40b6-93d5-43cd-986d-a2a19642660b']",6,,,,,,,,,,,,,,,,,Liverpool,24,00:28:06.283,Carry,
,,,"[43.5, 42.2]",,,,,,,,,,,,0.637707,,,,,,,,,,,6e461868-d7f3-4e65-8663-c09edf74b8b2,2919,,"[40.2, 42.3]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mamadou Sakho,3483.0,Left Center Back,192,Liverpool,24,"['2c382ae1-fdb4-4692-b9a5-dfcb27944149', '441d61ea-b985-430f-8c4a-cd44dbb93760']",7,,,,,,,,,,,,,,,,,Liverpool,24,00:28:07.988,Carry,
,,,"[57.7, 24.8]",,,,,,,,,,,,2.18558,,,,,,,,,,,b2573481-0fc3-4e46-af07-4084df44c247,2922,,"[61.7, 36.1]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Emre Can,3493.0,Left Center Midfield,192,Liverpool,24,"['d226a432-4ba7-42e3-aaec-27d340c423be', 'd4b4478c-b841-49ad-b35a-5ae78f446dd7']",9,,,,,,,,,,,,,,,,,Liverpool,24,00:28:09.686,Carry,
,,,"[100.7, 11.7]",,,,,,,,,,,,4.005033,,,,,,,,,,,b7cc9f25-7470-4150-acee-22ac0c2145ab,2925,,"[70.4, 8.4]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,192,Liverpool,24,"['48af5309-04c3-46a1-a151-2bfbf74cce22', 'f803e59a-6ddd-4912-bc58-57c948895482']",13,,,,,,,,,,,,,,,,,Liverpool,24,00:28:13.327,Carry,
,,,"[7.1, 26.3]",,,,,,,,,,,,1.37382,,,,,,,,,,,d4bfd03b-108e-4abd-bb23-f5006387c394,2928,,"[12.8, 31.2]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Danny Rose,3594.0,Left Back,192,Liverpool,24,"['66cd4e61-323a-42a0-985e-e2dbc7271877', 'ee49bc0b-69ed-49e5-b7e6-9e97d9e5e310']",19,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:28:19.420,Carry,
,,,"[34.8, 17.4]",,,,,,,,,,,,0.178597,,,,,,,,,,,8dea1b49-5f6f-4555-8f65-c3918e77968e,2934,,"[41.1, 17.5]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mamadou Sakho,3483.0,Left Center Back,192,Liverpool,24,"['0817d7ee-a626-4568-b762-c2d8e19a5250', '5dcac629-08c6-4e51-8226-1d5fe3e5d0bd']",30,,,,,,,,,,,,,,,,,Liverpool,24,00:28:30.922,Carry,
,,,"[40.4, 40.1]",,,,,,,,,,,,0.056419,,,,,,,,,,,eb3c6782-4570-4066-a4d8-199624d602aa,2937,,"[40.4, 40.1]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lucas Pezzini Leiva,7780.0,Right Center Midfield,192,Liverpool,24,"['6a96e814-0f8a-42d8-bace-54b2c9857f96', '6e6f64bd-863d-4921-85c6-b68d371bb890']",32,,,,,,,,,,,,,,,,,Liverpool,24,00:28:32.166,Carry,
,,,"[26.7, 34.4]",,,,,,,,,,,,0.305667,,,,,,,,,,,3a311dbc-f439-4571-a204-d79667a1423e,2940,,"[26.7, 34.4]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Martin Škrtel,18872.0,Right Center Back,192,Liverpool,24,"['89190664-585e-4a94-8ee4-f225863fb554', '96a9d5a5-756b-4e33-b3ec-44b4eb826dc9']",33,,,,,,,,,,,,,,,,,Liverpool,24,00:28:33.281,Carry,
