50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c9964931-7ac2-4327-97fb-7044124e9b49,4629,,,2302764,120,,,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,294,Liverpool,24,['e0c8040f-bf1b-4680-8f5b-5b629c39189b'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e0c8040f-bf1b-4680-8f5b-5b629c39189b,4630,,,2302764,120,,,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,294,Liverpool,24,['c9964931-7ac2-4327-97fb-7044124e9b49'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.303598,,,,,,,,,,,,,,,09046e92-8c49-4ca4-93d1-f2f2f16fde61,5,,"[61.0, 40.1]",2302764,0,,,,,-2.9147937,,Right Foot,,,,"[59.7, 39.8]",,Ground Pass,,1.3341664,,,,,Harry Kewell,34391.0,,,,,Kick Off,1,From Kick Off,Milan Baroš,19735.0,Center Forward,2,Liverpool,24,['44cc6f44-fadb-40f5-aeaa-6b8f8f822484'],0,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.683,Pass,
,,,,,,,,,,,,,,,,,,1.067566,,,,,,,,,,,,,,,ea9437d0-cf7e-4f2a-837e-ad4a23dc376f,8,,"[59.4, 40.0]",2302764,0,,,,,2.6374266,,Left Foot,,,,"[53.6, 43.2]",,Ground Pass,,6.624198,,,,,Steven Gerrard,19109.0,,,,,,1,From Kick Off,Harry Kewell,34391.0,Center Attacking Midfield,2,Liverpool,24,['65f428ac-aa17-4ec5-8a56-75b29d3f82e6'],1,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.116,Pass,
,,,,,,,,,,,,,,,,,,1.765321,,,,,,,,,,,,,,,bf5e97ae-6148-423b-94d7-7dde5c640695,11,,"[53.1, 43.9]",2302764,0,,,,,-1.8319858,,Right Foot,,,,"[44.6, 12.1]",,Ground Pass,,32.91641,,,,,Djimi Traoré,34387.0,,,,,,1,From Kick Off,Steven Gerrard,19109.0,Right Center Midfield,2,Liverpool,24,['7c46c26b-612c-4c20-a5ca-e5b0d5ab34f8'],2,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:02.733,Pass,
,,,,,,,,,,,,,,,,,,1.6631,,,,,,,,,,,,,,,bc64dcc0-6e41-4975-8bbd-ece0f2e0a08e,14,,"[44.6, 12.1]",2302764,0,,,,,0.40683052,,Left Foot,,,,"[75.7, 25.5]",,High Pass,,33.86399,,,Incomplete,,Milan Baroš,19735.0,,,,,,1,From Kick Off,Djimi Traoré,34387.0,Left Back,2,Liverpool,24,"['4be47cae-7166-41b4-ac35-3680f5e00410', 'aff7db4c-6cc1-4b16-8fe9-6959933c1e9b']",5,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:05.853,Pass,
,,,,,,,,,,,,,,,,,,1.279382,,,,,,,,,,,,,,,4be47cae-7166-41b4-ac35-3680f5e00410,16,,"[44.4, 54.6]",2302764,0,,,,,0.59197086,,Head,,,,"[56.0, 62.4]",,Low Pass,,13.978555,,,,,Ricardo Izecson dos Santos Leite,26712.0,,,,,Recovery,1,Regular Play,Andrea Pirlo,19849.0,Center Defensive Midfield,3,AC Milan,243,"['bc64dcc0-6e41-4975-8bbd-ece0f2e0a08e', 'f2da55ef-50b5-4231-9f95-74ddb7ec52cd']",7,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:07.516,Pass,
,,,,,,,,,,,,,,,,,,0.85905,,,,,,,,,,,,,,,280e4ea8-0454-4eb7-8663-af40e9e6e689,19,,"[51.9, 66.6]",2302764,0,,,,,2.1726549,,Right Foot,,,,"[45.1, 76.5]",,Ground Pass,,12.010412,,,,,Marcos Evangelista de Moraes,34395.0,,,,,,1,Regular Play,Ricardo Izecson dos Santos Leite,26712.0,Center Attacking Midfield,3,AC Milan,243,['02bb2a7b-9323-4fd6-bb7c-9c78fc077d00'],9,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:09.897,Pass,
,,,,,,,,,,,,,,,,,,1.117415,,,,,,,,,,,,,,,d82c18dd-c1c7-4464-a410-2f3e5b7e9020,22,,"[46.8, 76.5]",2302764,0,,,,,-0.41287458,,Right Foot,,,,"[69.4, 66.6]",,High Pass,,24.673265,,,,,Andriy Shevchenko,20295.0,,,,,,1,Regular Play,Marcos Evangelista de Moraes,34395.0,Right Back,3,AC Milan,243,['ae1a8c17-e5f8-41ef-92f0-51c3ba6ecbb9'],10,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:10.836,Pass,
,,,,,,,,,,,,,,,,,,1.224519,,,,,,,,,,,,,,,02c8a3e6-afb4-4313-9663-e472d8df3dca,28,,"[64.1, 57.8]",2302764,0,,,,,-1.0393676,,Right Foot,,,,"[72.8, 43.0]",,Low Pass,,17.167702,,,,,Clarence Seedorf,15046.0,,,,,Recovery,1,Regular Play,Ivan Gennaro Gattuso,20142.0,Right Center Midfield,3,AC Milan,243,['3d5f91c5-959d-4761-b704-85919beb4be1'],14,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:14.735,Pass,
