50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.245098,,,,,,,,,,,,33e84159-f23a-44b9-a447-aa91069d64d8,18,,,"[48.0, 12.8]",3754098,0,,,,,-2.9857244,,Right Foot,,,,"[34.0, 10.6]",,Ground Pass,,14.1718025,,,,,Mamadou Sakho,3483.0,,,,,,,1,From Kick Off,Emre Can,3493.0,Left Center Midfield,2,Liverpool,24,['14affcf6-0600-404b-8cc4-717455240e41'],9,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:09.888,Pass,
,,,,,,,,,,,,,,,,,1.062818,,,,,,,,,,,,19a78de5-b802-46b0-8b33-6d288ac3dfd1,21,,,"[33.1, 12.3]",3754098,0,,,,,-0.93355817,,Right Foot,,,,"[38.8, 4.6]",,Ground Pass,,9.580188,,,,,Emre Can,3493.0,,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,['bd3bf7fc-d869-4af9-87a3-0f0cb949c3a9'],14,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:14.855,Pass,
,,,,,,,,,,,,,,,,,1.173992,,,,,,,,,,,,ccb04e94-812d-4e03-8ab3-12aa0ea415a5,24,,,"[38.8, 4.6]",3754098,0,,,,,2.2597208,,Left Foot,,,,"[30.4, 14.8]",,Ground Pass,,13.21363,,,,,Mamadou Sakho,3483.0,,,,,,,1,From Kick Off,Emre Can,3493.0,Left Center Midfield,2,Liverpool,24,['bee34cec-60cf-49f5-9d1a-3e92130d99f0'],16,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:16.278,Pass,
,,,,,,,,,,,,,,,,,1.965385,,,,,,,,,,,,b1509c21-99f5-487d-a3cd-57028191c97a,27,,,"[30.4, 14.8]",3754098,0,,,,,1.8072525,,Left Foot,,,,"[22.4, 48.0]",,Ground Pass,,34.150257,,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,['33dad2e1-2c4c-4b0e-83ab-9845f9438e0a'],18,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:18.043,Pass,
,,,,,,,,,,,,,,,,,1.775481,,,,,,,,,,,,80f8eb5b-4e19-4077-b0d7-4e5b097cac76,30,,,"[24.1, 48.4]",3754098,0,,,,,0.8044435,,Right Foot,,,,"[44.7, 69.8]",,Ground Pass,,29.703873,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Right Center Back,2,Liverpool,24,['a256c147-8482-4e91-8e3c-4816d6aba66a'],20,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:20.720,Pass,
,,,,,,,,,,,,,,,,,1.948978,,,,,,,,,,,,654d325f-5d17-4819-9b04-5967230057f1,33,,,"[45.5, 71.5]",3754098,0,,,,,-2.7921414,,Right Foot,,,,"[21.9, 62.9]",,Ground Pass,,25.11812,,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,Nathaniel Edwin Clyne,4590.0,Right Back,2,Liverpool,24,['2757fb07-2938-4d03-b2d9-ff3695858738'],23,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:23.358,Pass,
,,,,,,,,,,,,,,,,,2.09791,,,,,,,,,,,,c311a747-c3cc-491e-9706-27cc027f0043,36,,,"[21.9, 62.9]",3754098,0,,,,,-2.3229742,,Right Foot,,,,"[5.9, 45.8]",,Ground Pass,,23.418156,,,,,Simon Mignolet,3539.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Right Center Back,2,Liverpool,24,['516f15ae-813a-4412-a89e-178e4f51a5c8'],26,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:26.103,Pass,
,,,,,,,,,,,,,,,,,1.226679,,,,,,,,,,,,ab162769-3fe8-4b44-b03f-14475ef93d39,39,,,"[5.9, 45.8]",3754098,0,,,,,0.0,,Right Foot,,,,"[24.0, 45.8]",,Ground Pass,,18.1,,,,,Emre Can,3493.0,,,,,,,1,From Kick Off,Simon Mignolet,3539.0,Goalkeeper,2,Liverpool,24,['f3c8df2c-599e-4141-b7cc-dd0857432331'],29,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:29.051,Pass,
,,,,,,,,,,,,,,,,,1.380515,,,,,,,,,,,,3ac9ff20-b8e6-4351-89e9-265f914980c2,42,,,"[21.8, 47.0]",3754098,0,,,,,1.4643302,,Right Foot,,,,"[23.2, 60.1]",,Ground Pass,,13.174597,,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,Emre Can,3493.0,Left Center Midfield,2,Liverpool,24,['e23e9721-95cb-4e51-8c7e-931762d1dd1f'],31,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:31.008,Pass,
,,,,,,,,,,,,,,,,,0.815255,,,,,,,,,,,,8879e563-f077-43eb-a97b-b3cb76fae689,45,,,"[38.8, 61.6]",3754098,0,,,,,-0.5051992,,Right Foot,,,,"[56.7, 51.7]",,Ground Pass,,20.455317,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Right Center Back,2,Liverpool,24,['6fada4db-8488-48b8-bec2-84b131a713a5'],35,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:35.923,Pass,
,,,,,,,,,,,,,,,,,1.574683,,,,,,,,,,,,9c19c251-c3f5-4f93-b049-7745435eb31b,47,,,"[56.7, 51.7]",3754098,0,,,,,3.0309355,,Right Foot,,,,"[40.5, 53.5]",,Ground Pass,,16.299694,,,,,Martin Škrtel,18872.0,,,,,,,1,From Kick Off,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,2,Liverpool,24,['369ded05-e748-4e18-9ffe-2c3d596e0a95'],36,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:36.738,Pass,
,,,,,,,,,,,,,,,,,1.723419,,,,,,,,,,,,36ef0701-c7f6-4c16-95c2-21ff8fe796eb,50,,,"[40.0, 53.5]",3754098,0,,,,,-1.7503239,,Right Foot,,,,"[35.1, 26.5]",,Ground Pass,,27.441029,,,,,Mamadou Sakho,3483.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Right Center Back,2,Liverpool,24,['dae4b52d-adc0-4718-8f31-23c54f785577'],39,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:39.446,Pass,
,,,,,,,,,,,,,,,,,1.237252,,,,,,,,,,,,e2d5064d-42d1-4ee9-85bf-7bcf8f3962ea,53,,,"[35.3, 24.4]",3754098,0,,,,,-1.1071488,,Right Foot,,,,"[43.0, 9.0]",,Ground Pass,,17.217724,,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Kick Off,Mamadou Sakho,3483.0,Left Center Back,2,Liverpool,24,['ed373976-dd96-4fba-a306-1a03d7e82093'],44,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:44.303,Pass,
,,,,,,,,,,,,,,,,,1.567902,,,,,,,,,,,,6893027b-1e65-47c2-9ec0-7b4fdda3fd36,56,,,"[46.0, 8.6]",3754098,0,,,,,-0.17219082,,Right Foot,,,,"[71.3, 4.2]",,Ground Pass,,25.679758,,,,,Alberto Moreno Pérez,3515.0,,,,,,,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,2,Liverpool,24,['cb265163-3de9-4fd3-a2a4-3ea203b28249'],46,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:46.902,Pass,
,,,,,,,,,,,,,,,,,2.522164,,,,,,,,,,,,4d0c9ea5-2d00-4630-b040-d87621573a34,59,,,"[71.3, 4.2]",3754098,0,,,,,-0.046561304,,Left Foot,,,,"[99.2, 2.9]",,Ground Pass,,27.930271,,,Incomplete,,Adam David Lallana,4090.0,,,,,,,1,From Kick Off,Alberto Moreno Pérez,3515.0,Left Back,2,Liverpool,24,"['6d282dd4-3ab7-4642-bf62-eca06192352a', '7250b103-1a36-44fd-9b25-80bb3233a4c1']",50,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:50.012,Pass,
,,,,,,,,,,,,,,,,,0.185115,,,,,,,,,,,,99d85ecf-4964-46de-9bd6-1eb2a3727bf1,63,,,"[19.1, 77.5]",3754098,0,,,,,-0.08550529,,Right Foot,,,,"[22.6, 77.2]",,High Pass,,3.5128336,,,Incomplete,,Eden Hazard,3621.0,,,,,,,1,Regular Play,Gary Cahill,3645.0,Right Center Back,3,Chelsea,33,"['32d7fc92-9d05-4cfe-82ad-12c8cfc92a42', '5c6a0a95-f079-4ce4-b2b9-e1b98706d6f0']",53,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:53.068,Pass,
,,,,,,,,,,,,,,,,,3.891832,,,,,,,,,,,,15faef5d-7fd8-411f-9138-fe809aaaff43,66,,,"[81.2, 2.9]",3754098,0,,,,,0.71723086,,Left Foot,,,,"[94.5, 14.5]",,High Pass,,17.647945,,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Alberto Moreno Pérez,3515.0,Left Back,3,Chelsea,33,['f8425160-09f1-49ca-9694-a0eae208c867'],55,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:55.469,Pass,
