bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.965013,,,,,,,,,,,,,,,b747009f-d1bd-4ae5-8579-893b67038f9d,17,,,"[36.2, 27.2]",3754129,0,,,,-1.0494903,,Right Foot,,,,"[50.5, 2.3]",Ground Pass,,28.714108,,,,Ignacio Monreal Eraso,3498.0,,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Left Center Back,2,Arsenal,1,['0384cf89-5f73-4e4a-9e17-03a4f2c48a8e'],6,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:06.619,Pass,
,,,,,,,,,,,,,,,,,,2.400706,,,,,,,,,,,,,,,ad164557-6fe8-4f1e-83ad-85461a0ec3bf,21,,,"[45.5, 3.3]",3754129,0,,,,3.0755126,,Left Foot,,,,"[18.3, 5.1]",Ground Pass,,27.259493,,,,Gabriel Armando de Abreu,6746.0,,,,,,,1,From Kick Off,Ignacio Monreal Eraso,3498.0,Left Back,2,Arsenal,1,['30652bde-1de8-40cc-9528-687cf4b527b6'],10,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:10.148,Pass,
,,,,,,,,,,,,,,,,,,1.763194,,,,,,,,,,,,,,,9daafa2f-db60-45a2-accf-1495c626fd29,24,,,"[18.3, 5.1]",3754129,0,,,,2.026111,,Right Foot,,,,"[6.5, 29.2]",Ground Pass,,26.833748,,,,Petr Čech,3461.0,,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Left Center Back,2,Arsenal,1,['54beed34-4f1f-4937-866f-2f97e8be3dc9'],12,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:12.564,Pass,
,,,,,,,,,,,,,,,,,,2.603226,,,,,,,,,,,,,,,ec033bcf-e70c-4d55-89d1-4eea6200baea,27,,,"[6.7, 29.4]",3754129,0,,,,0.2266573,,Left Foot,,,,"[58.3, 41.3]",High Pass,,52.954414,,Incomplete,,Mesut Özil,3496.0,,,,,,,1,From Kick Off,Petr Čech,3461.0,Goalkeeper,2,Arsenal,1,"['2b77c232-1bdd-4edb-a41a-007602db14a5', '9857ff08-ba62-45e5-9f8f-21c66250fef7']",14,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:14.367,Pass,
,,,,,,,,,,,,,,,,,,1.680611,,,,,,,,,,,,,,,2b77c232-1bdd-4edb-a41a-007602db14a5,29,,,"[61.8, 38.8]",3754129,0,,,,-0.70690805,,Other,,,,"[71.4, 30.6]",Low Pass,,12.625371,,,,Emre Can,3493.0,,,,,,Recovery,1,Regular Play,Dejan Lovren,3471.0,Left Center Back,3,Liverpool,24,"['15715e9c-094e-49d3-a7b5-d1cd26e46ed5', 'ec033bcf-e70c-4d55-89d1-4eea6200baea']",16,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:16.971,Pass,
,,,,,,,,,,,,,,,,,,1.36173,,,,,,,,,,,,,,,88e9b013-4907-43fb-bdce-d0e078316ac6,31,,,"[71.2, 30.6]",3754129,0,,,,-3.074579,,Right Foot,,,,"[56.3, 29.6]",Low Pass,,14.933519,,,,Dejan Lovren,3471.0,,,,,,,1,Regular Play,Emre Can,3493.0,Left Center Midfield,3,Liverpool,24,['542d0147-cae3-4b8b-a3c6-0722c8b789a1'],18,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:18.651,Pass,
,,,,,,,,,,,,,,,,,,1.723812,,,,,,,,,,,,,,,c2054965-8cd0-4e69-b61c-5f39a09277f5,35,,,"[55.5, 29.0]",3754129,0,,,,-0.25580856,,Left Foot,,,,"[75.0, 23.9]",Ground Pass,,20.155893,,Incomplete,,Emre Can,3493.0,,,,,,,1,Regular Play,Dejan Lovren,3471.0,Left Center Back,3,Liverpool,24,"['af0d3bac-a074-4e36-8bd7-f580dd8ef062', 'e93ad359-9eda-40f1-8a1f-60ac9ec183b8', 'ecbd3c33-4782-4fca-9363-34b871533fa4']",20,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:20.088,Pass,True
,,,,,,,,,,,,,,,,,,0.983299,,,,,,,,,,,,,,,af0d3bac-a074-4e36-8bd7-f580dd8ef062,37,,,"[45.1, 56.2]",3754129,0,,,,-0.029620964,,Right Foot,,,,"[58.6, 55.8]",Ground Pass,,13.505924,,,,Aaron Ramsey,3517.0,,,,,,Recovery,1,Regular Play,Héctor Bellerín Moruno,3511.0,Right Back,4,Arsenal,1,"['afae7e2e-ade9-4283-873e-415acda9027e', 'c2054965-8cd0-4e69-b61c-5f39a09277f5']",21,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:21.812,Pass,
,,,,,,,,,,,,,,,,,,1.729516,,,,,,,,,,,,,,,70be8acf-028a-4a6a-936f-6be11b037d04,40,,,"[63.2, 55.2]",3754129,0,,,,0.6500187,,Left Foot,,,,"[80.3, 68.2]",Ground Pass,,21.480455,,,,Olivier Giroud,3604.0,,,,,,,1,Regular Play,Aaron Ramsey,3517.0,Right Wing,4,Arsenal,1,['ab88e8c2-2784-416b-9cba-f37f5eb98f61'],23,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:23.933,Pass,
,,,,,,,,,,,,,,,,,,0.216134,,,,,,,,,,,,,,,d5dad731-03be-493a-a62b-df4a135b5242,44,,,"[80.5, 67.4]",3754129,0,,,,-0.7853982,,Left Foot,,,,"[82.1, 65.8]",Low Pass,,2.2627418,,Incomplete,,Mesut Özil,3496.0,,,,,,,1,Regular Play,Olivier Giroud,3604.0,Center Forward,4,Arsenal,1,"['035d665d-8a92-42c3-aeed-ada5db20ed63', '82b47fef-8a61-4532-93e1-f5dfe12c3f4c']",25,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:25.748,Pass,
