50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[26.4, 32.0]",,,,,,,,,,,,2.393787,,,,,,,,,,,8ad99d01-0eca-4ace-92bb-5421c3b64ce9,3377,,"[28.6, 38.0]",3754214,77,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mamadou Sakho,3483.0,Left Center Back,124,Liverpool,24,"['16cf8a67-d452-495a-9953-0009e76c35c0', '87e21df9-4087-43e3-bed9-f04125044a54']",54,,,,,,,,,,,,,,,,,,Liverpool,24,00:32:54.577,Carry,
,,,,,"[14.3, 37.0]",,,,,,,,,,,,0.075093,,,,,,,,,,,cac0f9bd-28a5-4e01-af95-bb78bc79ec59,3380,,"[14.3, 37.0]",3754214,77,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Simon Mignolet,3539.0,Goalkeeper,124,Liverpool,24,"['c78a5bef-a0e0-4437-8ac2-4c3ae5a9c191', 'f2ec1ea4-3280-48a8-a92b-2455234d930a']",58,,,,,,,,,,,,,,,,,,Liverpool,24,00:32:58.827,Carry,
,,,,,"[21.2, 29.1]",,,,,,,,,,,,1.18745,,,,,,,,,,,7bb8b1e5-0e4f-488a-b4a5-72a759f037c5,3383,,"[29.0, 31.6]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mamadou Sakho,3483.0,Left Center Back,124,Liverpool,24,"['21e40f7d-5beb-4285-b17a-356a7e8f6b29', 'bcd65cb3-2639-4640-b4c5-382fa33b145d']",0,,,,,,,,,,,,,,,,,,Liverpool,24,00:33:00.030,Carry,
,,,,,"[43.4, 64.1]",,,,,,,,,,,,4.007368,,,,,,,,,,,40fe2fd5-f380-43c5-b073-3dc8142b35fa,3386,,"[26.6, 51.2]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kolo Habib Touré,38412.0,Right Center Back,124,Liverpool,24,"['1623c60c-c9e8-4d63-9f17-90c9a6de1065', 'ed822284-da38-4c98-9179-886f78bd6e1b']",3,,,,,,,,,,,,,,,,,,Liverpool,24,00:33:03.260,Carry,
,,,,,"[82.1, 22.5]",,,,,,,,,,,,3.368,,,,,,,,,,,3b9f8471-4ba3-4205-827a-7e30c8a2cde4,3391,,"[69.4, 17.4]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carles Gil de Pareja Vicent,6800.0,Center Attacking Midfield,125,Aston Villa,59,"['04d81eb6-b1b5-45f3-a37b-741dabc5a915', '5af0c7f1-b7f2-4ebb-b438-bce52e27b39a', '91ac5a44-ec2d-4935-be0e-1656e831cbf6']",9,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:09.903,Carry,True
,,,,,"[73.2, 20.4]",,,,,,,,,,,,0.191285,,,,,,,,,,,431ecdff-b112-40da-9979-aabcb14a241a,3395,,"[71.2, 19.8]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ashley Westwood,3583.0,Right Defensive Midfield,125,Aston Villa,59,"['5906c1e3-0fb3-4cbd-98e4-530203318ddc', 'dab3e4b5-45bd-480c-9690-2c9b862c8a3e']",14,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:14.375,Carry,
,,,,,"[81.3, 10.2]",,,,,,,,,,,,1.18548,,,,,,,,,,,91686181-6c38-473d-97c1-f5e1e321dab5,3398,,"[81.3, 9.2]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jordan Veretout,7153.0,Left Midfield,125,Aston Villa,59,"['238d3d00-772a-4b28-a375-b5e551329f20', '33739f49-e458-4a9b-a45c-d8fddacc9701']",15,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:15.427,Carry,
,,,,,"[79.5, 19.8]",,,,,,,,,,,,1.073942,,,,,,,,,,,a29f8651-db07-4310-af98-b24d05409bcc,3401,,"[77.9, 19.6]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carles Gil de Pareja Vicent,6800.0,Center Attacking Midfield,125,Aston Villa,59,"['09343c56-b773-4e0f-84a6-1f529a800623', 'e408a8bd-8898-43d5-aa1b-27c5562f19d8']",17,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:17.337,Carry,
,,,,,"[87.3, 10.2]",,,,,,,,,,,,1.18184,,,,,,,,,,,e4d35dec-35fb-4521-a765-f7b74adae9b4,3404,,"[88.1, 8.8]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jordan Veretout,7153.0,Left Midfield,125,Aston Villa,59,"['9cba4766-161d-4b7d-b2bf-b1d9161c9212', 'd72dc728-c582-4364-bf33-326116f6d436']",19,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:19.381,Carry,
,,,,,"[75.5, 22.7]",,,,,,,,,,,,1.101603,,,,,,,,,,,fcf81c7b-76e5-4e53-9c59-65c7b389cca2,3407,,"[79.9, 20.7]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carles Gil de Pareja Vicent,6800.0,Center Attacking Midfield,125,Aston Villa,59,"['b19e8122-cd40-4bc5-a273-f16cbd73015c', 'df2ea70f-9339-403a-b980-d869a824752e']",21,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:21.422,Carry,
,,,,,"[72.8, 39.9]",,,,,,,,,,,,1.182503,,,,,,,,,,,e2695e7b-fd4b-4fd5-ab59-9a5349955854,3410,,"[75.3, 37.7]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Idrissa Gana Gueye,3436.0,Left Defensive Midfield,125,Aston Villa,59,"['13cc908e-a632-4687-b9f2-734d1e887faa', 'ef4c1bce-81f8-4d6d-95c7-6b030e3080ff']",23,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:23.518,Carry,
,,,,,"[81.1, 73.0]",,,,,,,,,,,,0.977318,,,,,,,,,,,ef0949ab-0012-471c-8ec9-48c2de973539,3413,,"[80.5, 74.0]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Micah Richards,42700.0,Right Back,125,Aston Villa,59,"['3afd612e-8763-456c-8c07-f9d51880fdd2', 'd55faa02-56e2-40a5-a189-9d2ed7492625', 'ef784602-b3fa-47c0-9ee4-2c33bbefb566']",26,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:26.571,Carry,True
,,,,,"[108.6, 74.8]",,,,,,,,,,,,1.577981,,,,,,,,,,,2adc9891-3efe-4a63-bef3-994570f8adc9,3418,,"[94.9, 73.0]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jordan Lyden,20951.0,Right Midfield,125,Aston Villa,59,"['1b541972-a72b-4da9-a0d3-289ffbad8aa3', 'e909bbd9-0e84-4271-abad-6f73b8059bd9']",28,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:28.734,Carry,
,,,,,"[59.8, 24.1]",,,,,,,,,,,,1.781726,,,,,,,,,,,af07ef3e-2c93-4a1a-94b8-1fec317bd4d1,3429,,"[56.4, 24.5]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joleon Lescott,20285.0,Left Center Back,127,Aston Villa,59,"['995520ef-95d8-461d-9acb-c76b30667510', 'a2c10817-a94c-4d92-9170-d09ccb0477fe']",55,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:55.465,Carry,
,,,,,"[63.4, 9.6]",,,,,,,,,,,,1.308993,,,,,,,,,,,d2465606-8f5a-48d6-8024-c6b26db638fd,3432,,"[69.0, 8.4]",3754214,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jordan Veretout,7153.0,Left Midfield,127,Aston Villa,59,"['06d36296-b9fa-449e-bc30-0142adb491f9', 'b3375c03-2c28-41ea-985f-f38591c3d5d3']",58,,,,,,,,,,,,,,,,,,Aston Villa,59,00:33:58.665,Carry,
,,,,,"[70.4, 18.6]",,,,,,,,,,,,0.116615,,,,,,,,,,,f3dcc9e3-fe81-4219-b5fe-b7528cf5f58f,3435,,"[69.2, 18.4]",3754214,79,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joleon Lescott,20285.0,Left Center Back,127,Aston Villa,59,"['24048b94-e366-49a4-bea3-682bb6ac18c3', 'b3b6e56a-f1da-4be8-a6ed-905b7945fce2']",0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:34:00.914,Carry,
,,,,,"[93.3, 8.2]",,,,,,,,,,,,2.70248,,,,,,,,,,,b44e8269-0175-4199-87f7-780638f5fbf6,3438,,"[80.7, 7.0]",3754214,79,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Scott Sinclair,11117.0,Center Forward,127,Aston Villa,59,"['a6897a0a-8023-4e35-8596-659ce9610d64', 'c3a3ce92-1ac9-4600-9881-d84f8d838648', 'e4c6b110-1d12-44f5-ac3e-ea192193ecf3']",1,,,,,,,,,,,,,,,,,,Aston Villa,59,00:34:01.909,Carry,True
,,,,,"[101.3, 18.0]",,,,,,,,,,,,1.0035,,,,,,,,,,,8a861bca-d751-4a9e-8069-39474413535d,3442,,"[100.5, 17.2]",3754214,79,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joleon Lescott,20285.0,Left Center Back,127,Aston Villa,59,"['31d95f4f-7ee7-4867-b8b2-9497f4b1d04c', '3feae697-a767-45a1-a0d2-49477544d81d']",5,,,,,,,,,,,,,,,,,,Aston Villa,59,00:34:05.381,Carry,
,,,,,"[46.6, 57.0]",,,,,,,,,,,,0.029435,,,,,,,,,,,27094664-6e4c-4cd6-bb20-fe9eee4f96b6,3454,,"[47.4, 57.0]",3754214,79,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Jordan Lyden,20951.0,Right Midfield,128,Liverpool,24,"['331366ae-b53b-4545-94d0-2ae6dcac9987', 'c3395ef1-4455-4adc-a68d-92a14cdcee71']",50,,,,,,,,,,,,,,,,,,Aston Villa,59,00:34:50.079,Carry,
,,,,,"[12.1, 35.2]",,,,,,,,,,,,1.166555,,,,,,,,,,,ca32bfd8-797d-472e-9c8e-a6ef0b45403f,3459,,"[11.9, 35.2]",3754214,79,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Simon Mignolet,3539.0,Goalkeeper,128,Liverpool,24,"['643cd024-70a5-4292-a902-bf3508f475ef', '9a5fe53b-89b0-4cf1-b9e1-a4135efe0985']",55,,,,,,,,,,,,,,,,,,Liverpool,24,00:34:55.253,Carry,
,,,,,"[20.2, 53.4]",,,,,,,,,,,,1.402291,,,,,,,,,,,d3fa5954-9d36-4692-a16c-b2a51302ae67,3462,,"[20.2, 51.2]",3754214,79,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Kolo Habib Touré,38412.0,Right Center Back,128,Liverpool,24,"['5fd4f401-13c3-42d8-b6b0-47d007d99960', '635907df-5a8c-4233-a591-67acc6d6bc71']",57,,,,,,,,,,,,,,,,,,Liverpool,24,00:34:57.568,Carry,
,,,,,"[37.8, 71.9]",,,,,,,,,,,,2.345852,,,,,,,,,,,2c8d83b8-33ae-4425-aa75-4558b00bf0f5,3465,,"[32.4, 70.1]",3754214,80,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Nathaniel Edwin Clyne,4590.0,Right Back,128,Liverpool,24,"['716d5e0e-567d-4713-bb4e-da1f7bf28775', '91d89067-3048-440b-99f1-e9a1808c51d7']",0,,,,,,,,,,,,,,,,,,Liverpool,24,00:35:00.402,Carry,
,,,,,"[32.2, 76.3]",,,,,,,,,,,,1.454851,,,,,,,,,,,2fb0b355-296d-428b-adb3-0069c4dacfb6,3470,,"[33.8, 70.7]",3754214,80,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Nathaniel Edwin Clyne,4590.0,Right Back,128,Liverpool,24,"['28da0b16-09a3-4368-913f-33c74454cc17', '581f7e9c-d97c-4b45-ac3f-1e34a43d2ed5', 'e9a26294-4bb3-4cb3-b99a-5951072bff98']",5,,,,,,,,,,,,,,,,,,Liverpool,24,00:35:05.327,Carry,True
,,,,,"[66.9, 67.7]",,,,,,,,,,,,1.359362,,,,,,,,,,,3c9854f1-b6a3-4a63-ba34-9d3c29a8dbf0,3474,,"[67.1, 67.7]",3754214,80,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Divock Okoth Origi,4747.0,Right Center Forward,128,Liverpool,24,"['7da1d7b8-571f-4d45-92f4-f3f29dce70d5', '9db2d983-bd38-4099-bddc-1fa8fb7e2734', 'b588fcde-c881-4fc3-af7c-a27ca73edf6c']",8,,,,,,,,,,,,,,,,,,Liverpool,24,00:35:08.745,Carry,True
,,,,,"[21.5, 62.4]",,,,,,,,,,,,1.145395,,,,,,,,,,,d06c6697-c9fc-46e1-9d1e-47d49abb2ae2,3482,,"[20.7, 61.6]",3754214,80,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Micah Richards,42700.0,Right Back,130,Aston Villa,59,"['12155bb4-5c06-41b2-8e4a-c15498c1d15c', 'd32c0396-1d0d-4c6b-898e-bae0e6e9ad7e']",29,,,,,,,,,,,,,,,,,,Aston Villa,59,00:35:29.331,Carry,
,,,,,"[32.3, 63.2]",,,,,,,,,,,,0.020848,,,,,,,,,,,bcbdfb16-90e6-434e-a675-8030481ecce0,3486,,"[28.5, 60.8]",3754214,80,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Idrissa Gana Gueye,3436.0,Left Defensive Midfield,130,Aston Villa,59,"['1eb7d095-5328-47ee-a827-d3ce5eafe41f', '850fb91c-d86b-4715-9c93-fc831f021352', 'dd1e0eb9-7a5f-4e61-862d-bc0794269ab9']",31,,,,,,,,,,,,,,,,,,Aston Villa,59,00:35:31.684,Carry,True
,,,,,"[44.5, 54.0]",,,,,,,,,,,,3.845585,,,,,,,,,,,be351056-8753-47a8-90f2-8bb193dfbf1d,3492,,"[32.5, 75.0]",3754214,80,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Idrissa Gana Gueye,3436.0,Left Defensive Midfield,131,Aston Villa,59,"['846114d9-df8f-4b6d-81f3-b5e4aa2743d0', 'c098c8ca-a97d-4653-a623-14bccf34562e', 'c0c6f95a-d709-4f7a-80bf-e73730650715']",41,,,,,,,,,,,,,,,,,,Aston Villa,59,00:35:41.726,Carry,True
,,,,,"[75.3, 15.4]",,,,,,,,,,,,4.04963,,,,,,,,,,,583dfb08-9253-4fa4-961f-562e8723b6ea,3498,,"[50.4, 8.2]",3754214,80,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Aly Cissokho,27146.0,Left Back,132,Aston Villa,59,"['03da36f5-c1f4-4d51-8909-3a3a2158d6fe', 'b27c832c-629f-4f96-a1ca-968317a03450', 'c3478b02-67c2-4ee6-a19e-14194cbfd287']",50,,,,,,,,,,,,,,,,,,Aston Villa,59,00:35:50.529,Carry,True
,,,,,"[76.5, 31.5]",,,,,,,,,,,,2.90091,,,,,,,,,,,424be673-8288-4937-a81c-aeec6e51407a,3502,,"[80.1, 7.8]",3754214,80,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jordan Veretout,7153.0,Left Midfield,132,Aston Villa,59,"['6ab9e8eb-8148-4946-a18e-ae1de6e7160b', 'f605531e-c82d-4e35-92e1-65c7395bdcbd']",55,,,,,,,,,,,,,,,,,,Aston Villa,59,00:35:55.683,Carry,
,,,,,"[80.5, 55.0]",,,,,,,,,,,,2.279979,,,,,,,,,,,1b0c2416-c885-40a9-804d-478a8c14a3c8,3505,,"[71.0, 47.5]",3754214,81,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Idrissa Gana Gueye,3436.0,Left Defensive Midfield,132,Aston Villa,59,"['012c0116-7517-4ed9-be47-fd1b5a1f46ad', 'adabf062-c388-4b96-86dd-d98bdf245c38']",0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:36:00.095,Carry,
,,,,,"[88.5, 61.4]",,,,,,,,,,,,0.065259,,,,,,,,,,,39081e71-5d99-45ed-8aeb-f870f150b02f,3508,,"[87.7, 61.2]",3754214,81,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jordan Lyden,20951.0,Right Midfield,132,Aston Villa,59,"['8580b0dc-6ba0-42e6-88a2-ba47d2321d7e', 'a5749760-8130-486d-9ec0-dca2b2b561bf']",2,,,,,,,,,,,,,,,,,,Aston Villa,59,00:36:02.957,Carry,
,,,,,"[90.9, 54.4]",,,,,,,,,,,,0.102585,,,,,,,,,,,4c70e141-ad6e-49f4-a85a-df7d214968b9,3511,,"[89.1, 57.0]",3754214,81,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Idrissa Gana Gueye,3436.0,Left Defensive Midfield,132,Aston Villa,59,"['688e393d-eadf-41e1-b68a-dcdf19d73c45', '83b57b89-ae60-42c3-be30-a43fca8d88c5']",3,,,,,,,,,,,,,,,,,,Aston Villa,59,00:36:03.750,Carry,
,,,,,"[113.0, 78.5]",,,,,,,,,,,,2.827958,,,,,,,,,,,321f2000-4a42-4330-8c6a-93f73bad0b2a,3514,,"[110.2, 78.5]",3754214,81,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Micah Richards,42700.0,Right Back,132,Aston Villa,59,"['4bc5e5ec-bf34-4add-91cd-8179f714260c', 'a957b75e-2495-42c5-8073-a9c08be2103b', 'f6dc1c84-f73a-462a-9cf0-15e57cbea0ff']",7,,,,,,,,,,,,,,,,,,Aston Villa,59,00:36:07.290,Carry,True
,,,,,"[4.9, 8.3]",,,,,,,,,,,,3.253423,,,,,,,,,,,b69e7720-03cd-4e03-b2db-0519fd24822a,3518,,"[7.1, 1.6]",3754214,81,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,James Philip Milner,3473.0,Right Midfield,133,Liverpool,24,"['69de4546-0739-4fc4-82d6-4c9f1f4bbedc', 'aad1b624-5e0f-46c3-831a-69b5534ff1e7', 'd7600c61-7711-45d3-82c1-57faa640af46']",10,,,,,,,,,,,,,,,,,,Liverpool,24,00:36:10.118,Carry,True
,,,,,"[7.9, 2.6]",,,,,,,,,,,,0.96569,,,,,,,,,,,44ed96e3-97fc-47fd-8b8a-083f3303465f,3522,,"[6.3, 2.6]",3754214,81,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kevin Linford Stewart,11992.0,Left Midfield,133,Liverpool,24,"['480ef62b-2ab7-4747-9a70-213be67f40a0', '9ea8dc09-1631-47fa-857d-c07978e474c7']",14,,,,,,,,,,,,,,,,,,Liverpool,24,00:36:14.605,Carry,
,,,,,"[9.7, 19.9]",,,,,,,,,,,,0.84332,,,,,,,,,,,97eaaec0-7c52-4dab-8b3a-e329c5ac8e45,3537,,"[7.5, 18.1]",3754214,81,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mamadou Sakho,3483.0,Left Center Back,134,Liverpool,24,"['2eb1d813-7192-4b1f-9424-3cd24c03046e', 'b0af21f8-7b3a-407f-b3c8-cd1c5466587b']",50,,,,,,,,,,,,,,,,,,Liverpool,24,00:36:50.962,Carry,
,,,,,"[35.8, 6.1]",,,,,,,,,,,,1.393008,,,,,,,,,,,50eda5b2-7ae7-4d5f-a001-3bdcd5a20c1c,3540,,"[30.2, 8.5]",3754214,81,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kevin Linford Stewart,11992.0,Left Midfield,134,Liverpool,24,"['168f30da-8823-46e5-8464-feb4a61dc1f2', '774e66a5-48cb-41cc-93d4-d7eac174ffdc']",53,,,,,,,,,,,,,,,,,,Liverpool,24,00:36:53.218,Carry,
