bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.703021,,,,,,,,,,,,6bae8017-7a75-4b66-93c7-1c5146ee7ba7,18,,,"[39.2, 0.1]",3754343,0,,,,,0.3168245,,,,"[63.6, 8.1]",,High Pass,,25.678005,,,Shinji Okazaki,3810.0,,,,,,Throw-in,1,From Throw In,Christian Fuchs,3812.0,Left Back,3,Leicester City,22,['d26f24b4-9098-4bc0-a0f2-395fcab56857'],21,,,,,,,,,,,,,,,,,Leicester City,22,00:00:21.038,Pass,
,,,,,,,,,,,,,,,,,,1.457097,,,,,,,,,,,,30ef2da4-d8f1-4d09-a27a-ce8c87a35093,22,,,"[69.5, 7.8]",3754343,0,,,,,0.87605804,,Left Foot,,"[78.0, 18.0]",,Ground Pass,,13.277425,,,Jamie Vardy,10960.0,,,,,,,1,From Throw In,Shinji Okazaki,3810.0,Right Center Forward,3,Leicester City,22,['5e6d6d2e-32d3-4439-bfb8-e96b599b3cca'],23,,,,,,,,,,,,,,,,,Leicester City,22,00:00:23.595,Pass,
,,,,,,,,,,,,,,,,,,1.379802,,,,,,,,,,,,0049444a-65b6-414a-b8c4-2dd30199a04e,29,,,"[39.7, 62.9]",3754343,0,,,,,-2.1879878,,Right Foot,,"[33.1, 53.6]",,Low Pass,,11.403947,,,Mamadou Sakho,3483.0,,,,,,,1,Regular Play,Emre Can,3493.0,Left Defensive Midfield,4,Liverpool,24,['f9b2fb58-a3b9-414f-8ba2-7f208d6cf1d5'],25,,,,,,,,,,,,,,,,,Liverpool,24,00:00:25.971,Pass,
,,,,,,,,,,,,,,,,,,2.227113,,,,,,,,,,,,3ce6f831-05ab-440e-b40a-8b8308875751,32,,,"[27.2, 51.7]",3754343,0,,,,,-3.0625498,,Left Foot,,"[7.0, 50.1]",,Ground Pass,,20.263268,,,Simon Mignolet,3539.0,,,,,,,1,Regular Play,Mamadou Sakho,3483.0,Left Center Back,4,Liverpool,24,['d7269417-6b58-4c5f-9bb7-c5d2705067be'],28,,,,,,,,,,,,,,,,,Liverpool,24,00:00:28.431,Pass,
,,,,,,,,,,,,,,,,,,3.864044,,,,,,,,,,,,4fca8ef7-ded6-44bb-a541-31b8cf334a73,36,,,"[7.0, 52.2]",3754343,0,,,,,0.07945024,,Right Foot,,"[69.8, 57.2]",,High Pass,,62.99873,Incomplete,,Divock Okoth Origi,4747.0,,,,,,,1,Regular Play,Simon Mignolet,3539.0,Goalkeeper,4,Liverpool,24,"['8d5fbfc3-078d-40a8-8f28-b50d94a3361c', '8d798ca3-8db2-41da-bd8a-30791b87a28a', 'a20a6c62-9d70-4c50-8565-c9cc02063d75']",30,,,,,,,,,,,,,,,,,Liverpool,24,00:00:30.778,Pass,True
,,,,,,,,,,,,,,,,,,1.291452,,,,,,,,,,,,a23c85f5-5210-40f3-9c4f-3c788cb49203,42,,,"[61.0, 39.0]",3754343,0,,,,,2.2322776,,Right Foot,,"[48.7, 54.8]",,Ground Pass,,20.023237,,,Dejan Lovren,3471.0,,,,,,,1,Regular Play,Emre Can,3493.0,Left Defensive Midfield,4,Liverpool,24,['98e14548-ef8e-47da-9d2c-590cf8f63cd9'],39,,,,,,,,,,,,,,,,,Liverpool,24,00:00:39.997,Pass,
,,,,,,,,,,,,,,,,,,1.684997,,,,,,,,,,,,3578fca1-7f47-4fc8-91e8-c4551d9b95e6,45,,,"[48.4, 56.9]",3754343,0,,,,,1.0289503,,Right Foot,,"[60.8, 77.5]",,Ground Pass,,24.044127,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,Regular Play,Dejan Lovren,3471.0,Right Center Back,4,Liverpool,24,['6493dff3-c245-4e39-be7d-84ff12425161'],41,,,,,,,,,,,,,,,,,Liverpool,24,00:00:41.871,Pass,
,,,,,,,,,,,,,,,,,,0.929708,,,,,,,,,,,,a76f95c5-ba9e-43f6-bcbf-ab793428876f,48,,,"[62.0, 77.8]",3754343,0,,,,,-0.12970254,,Right Foot,,"[71.2, 76.6]",,Ground Pass,,9.277931,,,Adam David Lallana,4090.0,,,,,,,1,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,4,Liverpool,24,['bd7df18e-582f-41b2-8d9e-583089a18514'],44,,,,,,,,,,,,,,,,,Liverpool,24,00:00:44.352,Pass,
,,,,,,,,,,,,,,,,,,1.006444,,,,,,,,,,,,8b8758ff-67fe-4aa0-9540-e9fa247c2098,52,,,"[69.2, 76.6]",3754343,0,,,,,0.39741808,,Right Foot,,"[77.3, 80.0]",,Ground Pass,,8.784646,Out,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,Regular Play,Adam David Lallana,4090.0,Right Wing,4,Liverpool,24,"['42190f31-e138-4ead-ab75-5fda4333bda9', '6e99ec24-dfc3-4da1-9d2c-fed81a279ded']",46,,,,,,,,,,,,,,,,,Liverpool,24,00:00:46.240,Pass,True
,,,,,,,,,,,,,,,,,,3.459132,,,,,,,,,,,,91bde994-0c20-49c8-a3ba-3af1e3414f72,54,,,"[42.3, 0.1]",3754343,1,,,,,2.2920885,,,,"[9.5, 37.4]",,High Pass,,49.67021,,,Kasper Schmeichel,3815.0,,,,,,Throw-in,1,From Throw In,Christian Fuchs,3812.0,Left Back,5,Leicester City,22,['3c255bde-8da1-41d5-bd0b-6b1b712442e7'],8,,,,,,,,,,,,,,,,,Leicester City,22,00:01:08.365,Pass,
,,,,,,,,,,,,,,,,,,3.649642,,,,,,,,,,,,179f2172-d67e-4645-b893-aafda3feeb2b,57,,,"[27.7, 48.3]",3754343,1,,,,,0.2321757,,Right Foot,,"[99.6, 65.3]",,High Pass,,73.88241,Incomplete,,,,,,,,,,1,From Throw In,Kasper Schmeichel,3815.0,Goalkeeper,5,Leicester City,22,['f5d828ed-72f5-4dc2-9148-c5eb47666729'],26,,,,,,,,,,,,,,,,,Leicester City,22,00:01:26.636,Pass,
,,,,,,,,,,,,,,,,,,2.351553,,,,,,,,,,,,f5d828ed-72f5-4dc2-9148-c5eb47666729,58,,,"[20.5, 14.8]",3754343,1,,,,,-0.3064009,,Head,,"[48.0, 6.1]",,High Pass,,28.84337,Incomplete,,,,,,,,,Recovery,1,From Throw In,Mamadou Sakho,3483.0,Left Center Back,5,Leicester City,22,"['179f2172-d67e-4645-b893-aafda3feeb2b', '3b3dedd1-65c2-4548-885d-4f490392c87b']",30,,,,,,,,,,,,,,,,,Liverpool,24,00:01:30.286,Pass,
,,,,,,,,,,,,,,,,,,1.589845,,,,,,,,,,,,3b3dedd1-65c2-4548-885d-4f490392c87b,59,,,"[72.1, 74.0]",3754343,1,,,,,-1.969757,,Head,,"[67.8, 63.8]",,High Pass,,11.069327,,,Andrew Philip King,3665.0,,,,,,Recovery,1,From Throw In,Danny Simpson,3270.0,Right Back,5,Leicester City,22,"['a5823171-dec0-406a-9916-2a9a08b63930', 'f5d828ed-72f5-4dc2-9148-c5eb47666729']",32,,,,,,,,,,,,,,,,,Leicester City,22,00:01:32.637,Pass,
,,,,,,,,,,,,,,,,,,1.141297,,,,,,,,,,,,51c9e770-ae82-43c2-863b-3f8fa001b4ca,64,,,"[61.7, 67.4]",3754343,1,,,,,0.48803303,,Right Foot,,"[69.8, 71.7]",,High Pass,,9.170606,,,N''Golo Kanté,3961.0,,,,,,,1,From Throw In,Andrew Philip King,3665.0,Right Defensive Midfield,5,Leicester City,22,"['f2ba5cce-67db-49a4-8ea6-3224d612da5b', 'f5b464e7-5206-4005-89ed-7e7da58eba02']",35,,,,,,,,,,,,,,,,,Leicester City,22,00:01:35.190,Pass,True
,,,,,,,,,,,,,,,,,,0.60015,,,,,,,,,,,,45ffc5d0-0d06-4347-9a53-9e9a6556457a,67,,,"[70.5, 71.7]",3754343,1,,,,,0.64987046,,Right Foot,,"[73.0, 73.6]",,Low Pass,,3.1400638,,,Riyad Mahrez,3814.0,,,,,,,1,From Throw In,N''Golo Kanté,3961.0,Left Defensive Midfield,5,Leicester City,22,['e3a0a4be-42ac-4b12-aebf-43621819af4d'],36,,,,,,,,,,,,,,,,,Leicester City,22,00:01:36.431,Pass,
