50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[93.7, 17.5]",,,,,,,,,,,,0.08,,,,,,,,,,,,,5bd5ec42-909a-40c3-89b5-813b5b442ebb,2826,,"[93.7, 17.5]",3754316,70,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Wahbi Khazri,3196.0,Left Wing,131,Sunderland,41,"['7e523178-436e-4155-8298-04fd27186ec8', 'bb82ff6b-9583-4c91-b817-7b9d044c55fb']",29,,,,,,,,,,,,,,,,,Sunderland,41,00:25:29.209,Carry,
,,,,"[82.6, 10.0]",,,,,,,,,,,,1.406068,,,,,,,,,,,,,eab33f52-5d4c-4616-98c0-2b705d121c2b,2829,,"[83.8, 17.5]",3754316,70,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Adam Johnson,42902.0,Center Attacking Midfield,131,Sunderland,41,"['3f06b8f1-3508-4ef7-8a62-d6a056885892', 'ad977049-a639-4b9f-ab38-843e654063b4', 'd07ad909-4c39-4ede-a67b-996b0d562187']",30,,,,,,,,,,,,,,,,,Sunderland,41,00:25:30.055,Carry,True
,,,,"[73.1, 7.7]",,,,,,,,,,,,2.045856,,,,,,,,,,,,,433fc35a-1c87-470d-82bb-8a7ca7272eec,2833,,"[82.6, 10.0]",3754316,70,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Adam Johnson,42902.0,Center Attacking Midfield,131,Sunderland,41,"['c7747540-08bd-402e-ba26-fe664d573f7b', 'd07ad909-4c39-4ede-a67b-996b0d562187', 'e2d8d266-463f-48ce-83bc-1a74c6500707']",31,,,,,,,,,,,,,,,,,Sunderland,41,00:25:31.461,Carry,True
,,,,"[72.1, 33.5]",,,,,,,,,,,,0.744047,,,,,,,,,,,,,ab10c50f-79d5-4daa-bce4-8164e834765b,2837,,"[72.4, 29.5]",3754316,70,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Yann Gérard M''Vila,4429.0,Left Defensive Midfield,131,Sunderland,41,"['8627d989-b4a4-4897-bc81-315e1b52544b', 'd7a3ed25-4fd5-419c-bf20-44f72f0fbe83', 'eb38628a-c2cf-4351-ab8e-9bc69a7a9601']",35,,,,,,,,,,,,,,,,,Sunderland,41,00:25:35.466,Carry,True
,,,,"[88.1, 68.6]",,,,,,,,,,,,2.405567,,,,,,,,,,,,,7e7c82be-7b2c-4860-970a-d3ad357cb20c,2840,,"[82.9, 73.8]",3754316,70,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Billy Jones,10503.0,Right Back,131,Sunderland,41,"['38cdc96a-a234-46e0-a7e1-3fed05496a0d', 'f64fb842-d457-4459-a96b-87113a898722']",38,,,,,,,,,,,,,,,,,Sunderland,41,00:25:38.633,Carry,
,,,,"[85.2, 63.8]",,,,,,,,,,,,0.644482,,,,,,,,,,,,,fa081d2f-ec75-4b24-97f0-7541bee0d153,2843,,"[83.8, 58.1]",3754316,70,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Yann Gérard M''Vila,4429.0,Left Defensive Midfield,131,Sunderland,41,"['68ef1232-1e16-4e42-8a00-fa2e7f10ac95', 'b230a2de-bed7-4ad2-9fc2-3037620413b1', 'ec7bfbca-b72a-4373-9bfa-c0c7a899c62d']",41,,,,,,,,,,,,,,,,,Sunderland,41,00:25:41.998,Carry,True
,,,,"[117.5, 72.9]",,,,,,,,,,,,3.290624,,,,,,,,,,,,,295988bb-cfe1-4cef-821e-efac3e1d44af,2847,,"[95.5, 69.5]",3754316,70,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Billy Jones,10503.0,Right Back,131,Sunderland,41,"['625e5e0e-55b1-4a4e-a19d-fbada2faa807', 'ca64b5eb-0a94-4fa1-8180-cd80186f1345', 'd8a0da6e-a125-4b33-96db-57b0d83be2a8']",43,,,,,,,,,,,,,,,,,Sunderland,41,00:25:43.547,Carry,True
,,,,"[113.6, 62.4]",,,,,,,,,,,,0.159999,,,,,,,,,,,,,020f5c6d-36b7-4742-8985-b444e1b22a6a,2854,,"[113.6, 62.4]",3754316,71,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Dame N''Doye,16295.0,Right Wing,132,Sunderland,41,"['1e7fe59e-907f-4d1b-b0a6-27098bda7ebf', 'fe469fc2-414c-4d7a-867b-b5f1390dc8ff']",9,,,,,,,,,,,,,,,,,Sunderland,41,00:26:09.590,Carry,
,,,,"[10.0, 15.7]",,,,,,,,,,,,2.588346,,,,,,,,,,,,,a7314c2d-4f0b-4bda-804a-6ff966fe9367,2857,,"[7.4, 22.3]",3754316,71,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mamadou Sakho,3483.0,Left Center Back,132,Sunderland,41,"['5d4c5b63-d32a-4ae0-a86c-cf6984998155', 'bf764e36-d250-4e1e-adb3-829950dc9d11']",9,,,,,,,,,,,,,,,,,Liverpool,24,00:26:09.994,Carry,
,,,,"[81.8, 67.3]",,,,,,,,,,,,0.08,,,,,,,,,,,,,c5a3c89a-94d2-4985-850d-b10f8b97d124,2863,,"[81.8, 67.3]",3754316,71,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Yann Gérard M''Vila,4429.0,Left Defensive Midfield,132,Sunderland,41,"['8139317e-9720-44f3-b5f7-a4673e6225f5', 'f9624859-513d-4b20-bd86-432c41f17245']",16,,,,,,,,,,,,,,,,,Sunderland,41,00:26:16.463,Carry,
